Generated by pymatgen.io.lammps.data.LammpsData

3024  atoms

   4  atom types

0.000000 26.357091  xlo xhi
0.000000 32.526849  ylo yhi
0.000000 39.225468  zlo zhi
-0.042147 -0.403026 -0.490371  xy xz yz

Masses

1   6.941000
2  10.811000
3  30.973762
4  15.999400

Atoms

1     1  0.5250  7.683720  7.052352  3.734591
2     1  0.5250  7.549378  6.888895 16.809747
3     1  0.5250  7.415036  6.725438 29.884903
4     1  0.5250  7.669671 17.894635  3.734591
5     1  0.5250  7.535329 17.731178 16.809747
6     1  0.5250  7.400987 17.567721 29.884903
7     1  0.5250  7.655622 28.736918  3.734591
8     1  0.5250  7.521280 28.573461 16.809747
9     1  0.5250  7.386938 28.410004 29.884903
10    1  0.5250 16.469417  7.052352  3.734591
11    1  0.5250 16.335075  6.888895 16.809747
12    1  0.5250 16.200733  6.725438 29.884903
13    1  0.5250 16.455368 17.894635  3.734591
14    1  0.5250 16.321026 17.731178 16.809747
15    1  0.5250 16.186684 17.567721 29.884903
16    1  0.5250 16.441319 28.736918  3.734591
17    1  0.5250 16.306977 28.573461 16.809747
18    1  0.5250 16.172635 28.410004 29.884903
19    1  0.5250 25.255114  7.052352  3.734591
20    1  0.5250 25.120772  6.888895 16.809747
21    1  0.5250 24.986430  6.725438 29.884903
22    1  0.5250 25.241065 17.894635  3.734591
23    1  0.5250 25.106723 17.731178 16.809747
24    1  0.5250 24.972381 17.567721 29.884903
25    1  0.5250 25.227016 28.736918  3.734591
26    1  0.5250 25.092674 28.573461 16.809747
27    1  0.5250 24.958332 28.410004 29.884903
28    1  0.5250  0.953586  3.626474  9.340565
29    1  0.5250  0.819244  3.463017 22.415721
30    1  0.5250  0.684902  3.299560 35.490877
31    1  0.5250  0.939537 14.468757  9.340565
32    1  0.5250  0.805195 14.305300 22.415721
33    1  0.5250  0.670853 14.141843 35.490877
34    1  0.5250  0.925488 25.311040  9.340565
35    1  0.5250  0.791146 25.147583 22.415721
36    1  0.5250  0.656804 24.984126 35.490877
37    1  0.5250  9.739283  3.626474  9.340565
38    1  0.5250  9.604941  3.463017 22.415721
39    1  0.5250  9.470599  3.299560 35.490877
40    1  0.5250  9.725234 14.468757  9.340565
41    1  0.5250  9.590892 14.305300 22.415721
42    1  0.5250  9.456550 14.141843 35.490877
43    1  0.5250  9.711185 25.311040  9.340565
44    1  0.5250  9.576843 25.147583 22.415721
45    1  0.5250  9.442501 24.984126 35.490877
46    1  0.5250 18.524980  3.626474  9.340565
47    1  0.5250 18.390638  3.463017 22.415721
48    1  0.5250 18.256296  3.299560 35.490877
49    1  0.5250 18.510931 14.468757  9.340565
50    1  0.5250 18.376589 14.305300 22.415721
51    1  0.5250 18.242247 14.141843 35.490877
52    1  0.5250 18.496882 25.311040  9.340565
53    1  0.5250 18.362540 25.147583 22.415721
54    1  0.5250 18.228198 24.984126 35.490877
55    1  0.5250  7.496831  2.347939  9.629539
56    1  0.5250  7.362489  2.184482 22.704695
57    1  0.5250  7.228147  2.021025 35.779851
58    1  0.5250  7.482782 13.190222  9.629539
59    1  0.5250  7.348440 13.026765 22.704695
60    1  0.5250  7.214098 12.863308 35.779851
61    1  0.5250  7.468733 24.032505  9.629539
62    1  0.5250  7.334391 23.869048 22.704695
63    1  0.5250  7.200049 23.705591 35.779851
64    1  0.5250 16.282528  2.347939  9.629539
65    1  0.5250 16.148186  2.184482 22.704695
66    1  0.5250 16.013844  2.021025 35.779851
67    1  0.5250 16.268479 13.190222  9.629539
68    1  0.5250 16.134137 13.026765 22.704695
69    1  0.5250 15.999795 12.863308 35.779851
70    1  0.5250 16.254430 24.032505  9.629539
71    1  0.5250 16.120088 23.869048 22.704695
72    1  0.5250 15.985746 23.705591 35.779851
73    1  0.5250 25.068225  2.347939  9.629539
74    1  0.5250 24.933883  2.184482 22.704695
75    1  0.5250 24.799541  2.021025 35.779851
76    1  0.5250 25.054176 13.190222  9.629539
77    1  0.5250 24.919834 13.026765 22.704695
78    1  0.5250 24.785492 12.863308 35.779851
79    1  0.5250 25.040127 24.032505  9.629539
80    1  0.5250 24.905785 23.869048 22.704695
81    1  0.5250 24.771443 23.705591 35.779851
82    1  0.5250  1.140475  8.330887  3.445617
83    1  0.5250  1.006133  8.167430 16.520773
84    1  0.5250  0.871791  8.003973 29.595929
85    1  0.5250  1.126426 19.173170  3.445617
86    1  0.5250  0.992084 19.009713 16.520773
87    1  0.5250  0.857742 18.846256 29.595929
88    1  0.5250  1.112377 30.015453  3.445617
89    1  0.5250  0.978035 29.851996 16.520773
90    1  0.5250  0.843693 29.688539 29.595929
91    1  0.5250  9.926172  8.330887  3.445617
92    1  0.5250  9.791830  8.167430 16.520773
93    1  0.5250  9.657488  8.003973 29.595929
94    1  0.5250  9.912123 19.173170  3.445617
95    1  0.5250  9.777781 19.009713 16.520773
96    1  0.5250  9.643439 18.846256 29.595929
97    1  0.5250  9.898074 30.015453  3.445617
