Generated by pymatgen.io.lammps.data.LammpsData

5760  atoms

   4  atom types

0.000000 37.842116  xlo xhi
0.000000 34.078072  ylo yhi
0.000000 53.795460  zlo zhi
-18.534996 -1.724976 -11.150760  xy xz yz

Masses

1   6.941000
2  30.973762
3   1.007940
4  14.006700

Atoms

1     1  0.5250   2.276556   7.098646  1.011772
2     1  0.5250   1.845312   4.310956 14.460637
3     1  0.5250   1.414068   1.523266 27.909502
4     1  0.5250   0.982824  -1.264424 41.358367
5     1  0.5250  -2.357193  15.618164  1.011772
6     1  0.5250  -2.788437  12.830474 14.460637
7     1  0.5250  -3.219681  10.042784 27.909502
8     1  0.5250  -3.650925   7.255094 41.358367
9     1  0.5250  -6.990942  24.137682  1.011772
10    1  0.5250  -7.422186  21.349992 14.460637
11    1  0.5250  -7.853430  18.562302 27.909502
12    1  0.5250  -8.284674  15.774612 41.358367
13    1  0.5250 -11.624691  32.657200  1.011772
14    1  0.5250 -12.055935  29.869510 14.460637
15    1  0.5250 -12.487179  27.081820 27.909502
16    1  0.5250 -12.918423  24.294130 41.358367
17    1  0.5250  11.737085   7.098646  1.011772
18    1  0.5250  11.305841   4.310956 14.460637
19    1  0.5250  10.874597   1.523266 27.909502
20    1  0.5250  10.443353  -1.264424 41.358367
21    1  0.5250   7.103336  15.618164  1.011772
22    1  0.5250   6.672092  12.830474 14.460637
23    1  0.5250   6.240848  10.042784 27.909502
24    1  0.5250   5.809604   7.255094 41.358367
25    1  0.5250   2.469587  24.137682  1.011772
26    1  0.5250   2.038343  21.349992 14.460637
27    1  0.5250   1.607099  18.562302 27.909502
28    1  0.5250   1.175855  15.774612 41.358367
29    1  0.5250  -2.164162  32.657200  1.011772
30    1  0.5250  -2.595406  29.869510 14.460637
31    1  0.5250  -3.026650  27.081820 27.909502
32    1  0.5250  -3.457894  24.294130 41.358367
33    1  0.5250  21.197614   7.098646  1.011772
34    1  0.5250  20.766370   4.310956 14.460637
35    1  0.5250  20.335126   1.523266 27.909502
36    1  0.5250  19.903882  -1.264424 41.358367
37    1  0.5250  16.563865  15.618164  1.011772
38    1  0.5250  16.132621  12.830474 14.460637
39    1  0.5250  15.701377  10.042784 27.909502
40    1  0.5250  15.270133   7.255094 41.358367
41    1  0.5250  11.930116  24.137682  1.011772
42    1  0.5250  11.498872  21.349992 14.460637
43    1  0.5250  11.067628  18.562302 27.909502
44    1  0.5250  10.636384  15.774612 41.358367
45    1  0.5250   7.296367  32.657200  1.011772
46    1  0.5250   6.865123  29.869510 14.460637
47    1  0.5250   6.433879  27.081820 27.909502
48    1  0.5250   6.002635  24.294130 41.358367
49    1  0.5250  30.658143   7.098646  1.011772
50    1  0.5250  30.226899   4.310956 14.460637
51    1  0.5250  29.795655   1.523266 27.909502
52    1  0.5250  29.364411  -1.264424 41.358367
53    1  0.5250  26.024394  15.618164  1.011772
54    1  0.5250  25.593150  12.830474 14.460637
55    1  0.5250  25.161906  10.042784 27.909502
56    1  0.5250  24.730662   7.255094 41.358367
57    1  0.5250  21.390645  24.137682  1.011772
58    1  0.5250  20.959401  21.349992 14.460637
59    1  0.5250  20.528157  18.562302 27.909502
60    1  0.5250  20.096913  15.774612 41.358367
61    1  0.5250  16.756896  32.657200  1.011772
62    1  0.5250  16.325652  29.869510 14.460637
63    1  0.5250  15.894408  27.081820 27.909502
64    1  0.5250  15.463164  24.294130 41.358367
65    1  0.5250   2.118980  -1.366818 12.437093
66    1  0.5250   1.687736  -4.154508 25.885958
67    1  0.5250   1.256492  -6.942198 39.334823
68    1  0.5250   0.825248  -9.729888 52.783688
69    1  0.5250  -2.514769   7.152700 12.437093
70    1  0.5250  -2.946013   4.365010 25.885958
71    1  0.5250  -3.377257   1.577320 39.334823
72    1  0.5250  -3.808501  -1.210370 52.783688
73    1  0.5250  -7.148518  15.672218 12.437093
74    1  0.5250  -7.579762  12.884528 25.885958
75    1  0.5250  -8.011006  10.096838 39.334823
76    1  0.5250  -8.442250   7.309148 52.783688
77    1  0.5250 -11.782267  24.191736 12.437093
78    1  0.5250 -12.213511  21.404046 25.885958
79    1  0.5250 -12.644755  18.616356 39.334823
80    1  0.5250 -13.075999  15.828666 52.783688
81    1  0.5250  11.579509  -1.366818 12.437093
82    1  0.5250  11.148265  -4.154508 25.885958
83    1  0.5250  10.717021  -6.942198 39.334823
84    1  0.5250  10.285777  -9.729888 52.783688
85    1  0.5250   6.945760   7.152700 12.437093
86    1  0.5250   6.514516   4.365010 25.885958
87    1  0.5250   6.083272   1.577320 39.334823
88    1  0.5250   5.652028  -1.210370 52.783688
89    1  0.5250   2.312011  15.672218 12.437093
90    1  0.5250   1.880767  12.884528 25.885958
91    1  0.5250   1.449523  10.096838 39.334823
92    1  0.5250   1.018279   7.309148 52.783688
93    1  0.5250  -2.321738  24.191736 12.437093
94    1  0.5250  -2.752982  21.404046 25.885958
95    1  0.5250  -3.184226  18.616356 39.334823
