Generated by pymatgen.io.lammps.data.LammpsData

4000  atoms

   4  atom types

0.000000 37.921542  xlo xhi
0.000000 37.813515  ylo yhi
0.000000 32.592855  zlo zhi
-2.860237 17.530894 18.906933  xy xz yz

Masses

1   6.941000
2  54.938045
3  72.640000
4  15.999400

Atoms

1     1  0.5250  4.565119  6.298030  4.886301
2     1  0.5250  8.071298 10.079417 11.404872
3     1  0.5250 11.577477 13.860803 17.923443
4     1  0.5250 15.083656 17.642190 24.442014
5     1  0.5250 18.589834 21.423577 30.960585
6     1  0.5250  3.993072 13.860733  4.886301
7     1  0.5250  7.499251 17.642120 11.404872
8     1  0.5250 11.005429 21.423506 17.923443
9     1  0.5250 14.511608 25.204893 24.442014
10    1  0.5250 18.017787 28.986280 30.960585
11    1  0.5250  3.421025 21.423436  4.886301
12    1  0.5250  6.927203 25.204822 11.404872
13    1  0.5250 10.433382 28.986209 17.923443
14    1  0.5250 13.939561 32.767596 24.442014
15    1  0.5250 17.445739 36.548983 30.960585
16    1  0.5250  2.848977 28.986139  4.886301
17    1  0.5250  6.355156 32.767525 11.404872
18    1  0.5250  9.861335 36.548912 17.923443
19    1  0.5250 13.367513 40.330299 24.442014
20    1  0.5250 16.873692 44.111685 30.960585
21    1  0.5250  2.276930 36.548842  4.886301
22    1  0.5250  5.783109 40.330228 11.404872
23    1  0.5250  9.289287 44.111615 17.923443
24    1  0.5250 12.795466 47.893002 24.442014
25    1  0.5250 16.301645 51.674388 30.960585
26    1  0.5250 12.149428  6.298030  4.886301
27    1  0.5250 15.655607 10.079417 11.404872
28    1  0.5250 19.161785 13.860803 17.923443
29    1  0.5250 22.667964 17.642190 24.442014
30    1  0.5250 26.174143 21.423577 30.960585
31    1  0.5250 11.577381 13.860733  4.886301
32    1  0.5250 15.083559 17.642120 11.404872
33    1  0.5250 18.589738 21.423506 17.923443
34    1  0.5250 22.095917 25.204893 24.442014
35    1  0.5250 25.602095 28.986280 30.960585
36    1  0.5250 11.005333 21.423436  4.886301
37    1  0.5250 14.511512 25.204822 11.404872
38    1  0.5250 18.017691 28.986209 17.923443
39    1  0.5250 21.523869 32.767596 24.442014
40    1  0.5250 25.030048 36.548983 30.960585
41    1  0.5250 10.433286 28.986139  4.886301
42    1  0.5250 13.939464 32.767525 11.404872
43    1  0.5250 17.445643 36.548912 17.923443
44    1  0.5250 20.951822 40.330299 24.442014
45    1  0.5250 24.458001 44.111685 30.960585
46    1  0.5250  9.861238 36.548842  4.886301
47    1  0.5250 13.367417 40.330228 11.404872
48    1  0.5250 16.873596 44.111615 17.923443
49    1  0.5250 20.379774 47.893002 24.442014
50    1  0.5250 23.885953 51.674388 30.960585
51    1  0.5250 19.733736  6.298030  4.886301
52    1  0.5250 23.239915 10.079417 11.404872
53    1  0.5250 26.746094 13.860803 17.923443
54    1  0.5250 30.252273 17.642190 24.442014
55    1  0.5250 33.758451 21.423577 30.960585
56    1  0.5250 19.161689 13.860733  4.886301
57    1  0.5250 22.667868 17.642120 11.404872
58    1  0.5250 26.174046 21.423506 17.923443
59    1  0.5250 29.680225 25.204893 24.442014
60    1  0.5250 33.186404 28.986280 30.960585
61    1  0.5250 18.589642 21.423436  4.886301
62    1  0.5250 22.095820 25.204822 11.404872
63    1  0.5250 25.601999 28.986209 17.923443
64    1  0.5250 29.108178 32.767596 24.442014
65    1  0.5250 32.614356 36.548983 30.960585
66    1  0.5250 18.017594 28.986139  4.886301
67    1  0.5250 21.523773 32.767525 11.404872
68    1  0.5250 25.029952 36.548912 17.923443
69    1  0.5250 28.536130 40.330299 24.442014
70    1  0.5250 32.042309 44.111685 30.960585
71    1  0.5250 17.445547 36.548842  4.886301
72    1  0.5250 20.951726 40.330228 11.404872
73    1  0.5250 24.457904 44.111615 17.923443
74    1  0.5250 27.964083 47.893002 24.442014
75    1  0.5250 31.470262 51.674388 30.960585
76    1  0.5250 27.318045  6.298030  4.886301
77    1  0.5250 30.824224 10.079417 11.404872
78    1  0.5250 34.330402 13.860803 17.923443
79    1  0.5250 37.836581 17.642190 24.442014
80    1  0.5250 41.342760 21.423577 30.960585
81    1  0.5250 26.745998 13.860733  4.886301
82    1  0.5250 30.252176 17.642120 11.404872
83    1  0.5250 33.758355 21.423506 17.923443
84    1  0.5250 37.264534 25.204893 24.442014
85    1  0.5250 40.770712 28.986280 30.960585
86    1  0.5250 26.173950 21.423436  4.886301
87    1  0.5250 29.680129 25.204822 11.404872
88    1  0.5250 33.186308 28.986209 17.923443
89    1  0.5250 36.692486 32.767596 24.442014
90    1  0.5250 40.198665 36.548983 30.960585
91    1  0.5250 25.601903 28.986139  4.886301
92    1  0.5250 29.108081 32.767525 11.404872
93    1  0.5250 32.614260 36.548912 17.923443
94    1  0.5250 36.120439 40.330299 24.442014
95    1  0.5250 39.626618 44.111685 30.960585
96    1  0.5250 25.029855 36.548842  4.886301
97    1  0.5250 28.536034 40.330228 11.404872
