# Time-averaged data for fix frdf
# TimeStep Number-of-rows
# Row c_gr[1] c_gr[2] c_gr[3]
41400 200
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0 0
26 1.53 0 0
27 1.59 0 0
28 1.65 0 0
29 1.71 0 0
30 1.77 0 0
31 1.83 0 0
32 1.89 0.000149338 3.76157e-05
33 1.95 0.0034317 0.000957755
34 2.01 0.0492204 0.0149797
35 2.07 0.306176 0.107488
36 2.13 0.905455 0.397153
37 2.19 1.784 1.00048
38 2.25 2.60925 1.9319
39 2.31 3.05712 3.08217
40 2.37 3.10888 4.31347
41 2.43 2.89229 5.51772
42 2.49 2.5816 6.64634
43 2.55 2.21669 7.6627
44 2.61 1.85239 8.55246
45 2.67 1.52738 9.32022
46 2.73 1.26445 9.9847
47 2.79 1.06051 10.5668
48 2.85 0.893971 11.0788
49 2.91 0.768273 11.5375
50 2.97 0.672843 11.956
51 3.03 0.599018 12.3438
52 3.09 0.547513 12.7124
53 3.15 0.517305 13.0743
54 3.21 0.497765 13.436
55 3.27 0.490071 13.8055
56 3.33 0.487647 14.1867
57 3.39 0.496613 14.5891
58 3.45 0.513589 15.0202
59 3.51 0.536974 15.4866
60 3.57 0.565797 15.9951
61 3.63 0.60177 16.5542
62 3.69 0.650956 17.1792
63 3.75 0.706387 17.8796
64 3.81 0.769382 18.667
65 3.87 0.840181 19.5543
66 3.93 0.910622 20.546
67 3.99 0.982358 21.6487
68 4.05 1.06509 22.8805
69 4.11 1.14777 24.2476
70 4.17 1.23297 25.7593
71 4.23 1.31787 27.4219
72 4.29 1.38524 29.2195
73 4.35 1.43237 31.1306
74 4.41 1.45289 33.1229
75 4.47 1.45019 35.166
76 4.53 1.43258 37.2388
77 4.59 1.39331 39.3086
78 4.65 1.34569 41.3602
79 4.71 1.27775 43.3588
80 4.77 1.19844 45.2815
81 4.83 1.11873 47.1217
82 4.89 1.03882 48.8731
83 4.95 0.972764 50.5537
84 5.01 0.915229 52.1735
85 5.07 0.864965 53.7412
86 5.13 0.821911 55.2663
87 5.19 0.78482 56.7569
88 5.25 0.756303 58.2267
89 5.31 0.735164 59.6882
90 5.37 0.721646 61.1555
91 5.43 0.718081 62.6484
92 5.49 0.729089 64.1978
93 5.55 0.747595 65.8215
94 5.61 0.771762 67.5341
95 5.67 0.8034 69.3552
96 5.73 0.837443 71.2939
97 5.79 0.878432 73.3703
98 5.85 0.925791 75.6042
99 5.91 0.971727 77.9973
100 5.97 1.01667 80.5522
101 6.03 1.05923 83.2678
102 6.09 1.10102 86.1471
103 6.15 1.13706 89.1794
104 6.21 1.16731 92.3534
105 6.27 1.18304 95.6327
106 6.33 1.1927 99.0023
107 6.39 1.19487 102.442
108 6.45 1.18838 105.928
109 6.51 1.1815 109.459
110 6.57 1.16462 113.003
111 6.63 1.1445 116.551
112 6.69 1.11778 120.078
113 6.75 1.09388 123.592
114 6.81 1.0635 127.07
115 6.87 1.03499 130.514
116 6.93 1.0103 133.935
117 6.99 0.981009 137.315
118 7.05 0.955912 140.665
119 7.11 0.932687 143.989
120 7.17 0.914267 147.303
121 7.23 0.896475 150.607
122 7.29 0.88479 153.923
123 7.35 0.874989 157.255
124 7.41 0.86955 160.622
125 7.47 0.871146 164.049
126 7.53 0.876729 167.554
127 7.59 0.886502 171.155
128 7.65 0.896472 174.854
129 7.71 0.911584 178.675
130 7.77 0.930459 182.636
131 7.83 0.949174 186.739
132 7.89 0.968289 190.989
133 7.95 0.989296 195.398
134 8.01 1.01054 199.969
135 8.07 1.02987 204.698
136 8.13 1.05527 209.616
137 8.19 1.07002 214.677
138 8.25 1.08486 219.883
139 8.31 1.09617 225.22
140 8.37 1.10332 230.67
141 8.43 1.10042 236.184
142 8.49 1.09418 241.745
143 8.55 1.08637 247.345
