Generated by pymatgen.io.lammps.data.LammpsData

4000  atoms

   4  atom types

0.000000 37.618140  xlo xhi
0.000000 37.495856  ylo yhi
0.000000 32.520327  zlo zhi
-3.029578 17.300197 18.754369  xy xz yz

Masses

1   6.9410
2  55.8450
3  72.6400
4  15.9994

Atoms

1     1  0.5250  4.504945  6.251305  4.879812
2     1  0.5250  7.964984 10.002178 11.383877
3     1  0.5250 11.425023 13.753052 17.887942
4     1  0.5250 14.885063 17.503926 24.392008
5     1  0.5250 18.345102 21.254800 30.896073
6     1  0.5250  3.899029 13.750476  4.879812
7     1  0.5250  7.359068 17.501350 11.383877
8     1  0.5250 10.819108 21.252223 17.887942
9     1  0.5250 14.279147 25.003097 24.392008
10    1  0.5250 17.739186 28.753971 30.896073
11    1  0.5250  3.293113 21.249647  4.879812
12    1  0.5250  6.753153 25.000521 11.383877
13    1  0.5250 10.213192 28.751395 17.887942
14    1  0.5250 13.673231 32.502269 24.392008
15    1  0.5250 17.133271 36.253142 30.896073
16    1  0.5250  2.687198 28.748818  4.879812
17    1  0.5250  6.147237 32.499692 11.383877
18    1  0.5250  9.607276 36.250566 17.887942
19    1  0.5250 13.067316 40.001440 24.392008
20    1  0.5250 16.527355 43.752314 30.896073
21    1  0.5250  2.081282 36.247990  4.879812
22    1  0.5250  5.541321 39.998863 11.383877
23    1  0.5250  9.001361 43.749737 17.887942
24    1  0.5250 12.461400 47.500611 24.392008
25    1  0.5250 15.921439 51.251485 30.896073
26    1  0.5250 12.028573  6.251305  4.879812
27    1  0.5250 15.488612 10.002178 11.383877
28    1  0.5250 18.948651 13.753052 17.887942
29    1  0.5250 22.408691 17.503926 24.392008
30    1  0.5250 25.868730 21.254800 30.896073
31    1  0.5250 11.422657 13.750476  4.879812
32    1  0.5250 14.882696 17.501350 11.383877
33    1  0.5250 18.342736 21.252223 17.887942
34    1  0.5250 21.802775 25.003097 24.392008
35    1  0.5250 25.262815 28.753971 30.896073
36    1  0.5250 10.816741 21.249647  4.879812
37    1  0.5250 14.276781 25.000521 11.383877
38    1  0.5250 17.736820 28.751395 17.887942
39    1  0.5250 21.196859 32.502269 24.392008
40    1  0.5250 24.656899 36.253142 30.896073
41    1  0.5250 10.210826 28.748818  4.879812
42    1  0.5250 13.670865 32.499692 11.383877
43    1  0.5250 17.130904 36.250566 17.887942
44    1  0.5250 20.590944 40.001440 24.392008
45    1  0.5250 24.050983 43.752314 30.896073
46    1  0.5250  9.604910 36.247990  4.879812
47    1  0.5250 13.064949 39.998863 11.383877
48    1  0.5250 16.524989 43.749737 17.887942
49    1  0.5250 19.985028 47.500611 24.392008
50    1  0.5250 23.445068 51.251485 30.896073
51    1  0.5250 19.552201  6.251305  4.879812
52    1  0.5250 23.012240 10.002178 11.383877
53    1  0.5250 26.472280 13.753052 17.887942
54    1  0.5250 29.932319 17.503926 24.392008
55    1  0.5250 33.392358 21.254800 30.896073
56    1  0.5250 18.946285 13.750476  4.879812
57    1  0.5250 22.406324 17.501350 11.383877
58    1  0.5250 25.866364 21.252223 17.887942
59    1  0.5250 29.326403 25.003097 24.392008
60    1  0.5250 32.786443 28.753971 30.896073
61    1  0.5250 18.340369 21.249647  4.879812
62    1  0.5250 21.800409 25.000521 11.383877
63    1  0.5250 25.260448 28.751395 17.887942
64    1  0.5250 28.720488 32.502269 24.392008
65    1  0.5250 32.180527 36.253142 30.896073
66    1  0.5250 17.734454 28.748818  4.879812
67    1  0.5250 21.194493 32.499692 11.383877
68    1  0.5250 24.654532 36.250566 17.887942
69    1  0.5250 28.114572 40.001440 24.392008
70    1  0.5250 31.574611 43.752314 30.896073
71    1  0.5250 17.128538 36.247990  4.879812
72    1  0.5250 20.588577 39.998863 11.383877
73    1  0.5250 24.048617 43.749737 17.887942
74    1  0.5250 27.508656 47.500611 24.392008
75    1  0.5250 30.968696 51.251485 30.896073
76    1  0.5250 27.075829  6.251305  4.879812
77    1  0.5250 30.535868 10.002178 11.383877
78    1  0.5250 33.995908 13.753052 17.887942
79    1  0.5250 37.455947 17.503926 24.392008
80    1  0.5250 40.915986 21.254800 30.896073
81    1  0.5250 26.469913 13.750476  4.879812
82    1  0.5250 29.929953 17.501350 11.383877
83    1  0.5250 33.389992 21.252223 17.887942
84    1  0.5250 36.850031 25.003097 24.392008
85    1  0.5250 40.310071 28.753971 30.896073
86    1  0.5250 25.863997 21.249647  4.879812
87    1  0.5250 29.324037 25.000521 11.383877
88    1  0.5250 32.784076 28.751395 17.887942
89    1  0.5250 36.244116 32.502269 24.392008
90    1  0.5250 39.704155 36.253142 30.896073
91    1  0.5250 25.258082 28.748818  4.879812
92    1  0.5250 28.718121 32.499692 11.383877
93    1  0.5250 32.178161 36.250566 17.887942
94    1  0.5250 35.638200 40.001440 24.392008
95    1  0.5250 39.098239 43.752314 30.896073
96    1  0.5250 24.652166 36.247990  4.879812
97    1  0.5250 28.112205 39.998863 11.383877
