# Time-averaged data for fix frdf
# TimeStep Number-of-rows
# Row c_gr[1] c_gr[2] c_gr[3]
1451400 200
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0 0
26 1.53 0 0
27 1.59 0 0
28 1.65 0 0
29 1.71 0 0
30 1.77 0 0
31 1.83 0 0
32 1.89 0 0
33 1.95 0 0
34 2.01 0 0
35 2.07 0 0
36 2.13 5.03114e-06 3.44828e-07
37 2.19 9.06753e-05 6.89655e-06
38 2.25 0.000996743 8.27586e-05
39 2.31 0.00771706 0.000698966
40 2.37 0.0418573 0.0041969
41 2.43 0.166386 0.0187228
42 2.49 0.494197 0.0638603
43 2.55 1.06263 0.165485
44 2.61 1.70834 0.336569
45 2.67 2.17094 0.564066
46 2.73 2.37618 0.824394
47 2.79 2.33795 1.09196
48 2.85 2.11571 1.34464
49 2.91 1.78124 1.56646
50 2.97 1.42255 1.75102
51 3.03 1.11477 1.90159
52 3.09 0.893591 2.02715
53 3.15 0.754138 2.1373
54 3.21 0.686531 2.24144
55 3.27 0.669656 2.34687
56 3.33 0.686424 2.45894
57 3.39 0.721084 2.58095
58 3.45 0.757547 2.7137
59 3.51 0.800001 2.85881
60 3.57 0.832118 3.01495
61 3.63 0.857846 3.18136
62 3.69 0.878715 3.35749
63 3.75 0.896764 3.54314
64 3.81 0.920694 3.73987
65 3.87 0.949461 3.94919
66 3.93 0.981286 4.17226
67 3.99 1.0195 4.41113
68 4.05 1.06436 4.66803
69 4.11 1.10775 4.94335
70 4.17 1.15075 5.23775
71 4.23 1.19516 5.55234
72 4.29 1.22859 5.88494
73 4.35 1.25944 6.2355
74 4.41 1.28316 6.6026
75 4.47 1.28182 6.97936
76 4.53 1.27181 7.36329
77 4.59 1.24845 7.75023
78 4.65 1.21749 8.1375
79 4.71 1.18576 8.52449
80 4.77 1.15403 8.91078
81 4.83 1.12296 9.29622
82 4.89 1.0982 9.68255
83 4.95 1.07383 10.0697
84 5.01 1.05234 10.4582
85 5.07 1.03611 10.8501
86 5.13 1.02042 11.2451
87 5.19 1.00691 11.6441
88 5.25 0.994891 12.0475
89 5.31 0.980834 12.4544
90 5.37 0.965845 12.8642
91 5.43 0.948942 13.2759
92 5.49 0.93456 13.6903
93 5.55 0.916518 14.1057
94 5.61 0.903847 14.5243
95 5.67 0.892686 14.9466
96 5.73 0.885199 15.3742
97 5.79 0.880366 15.8085
98 5.85 0.879539 16.2515
99 5.91 0.88576 16.7067
100 5.97 0.890888 17.174
101 6.03 0.904644 17.658
102 6.09 0.913621 18.1566
103 6.15 0.928051 18.6732
104 6.21 0.943144 19.2084
105 6.27 0.958325 19.7628
106 6.33 0.972825 20.3363
107 6.39 0.98537 20.9284
108 6.45 0.99957 21.5403
109 6.51 1.01069 22.1705
110 6.57 1.02169 22.8194
111 6.63 1.02783 23.4842
112 6.69 1.03612 24.1665
113 6.75 1.03888 24.8629
114 6.81 1.04157 25.5736
115 6.87 1.04197 26.2971
116 6.93 1.04148 27.0331
117 6.99 1.03648 27.7782
118 7.05 1.03381 28.5342
119 7.11 1.02757 29.2985
120 7.17 1.02381 30.0729
121 7.23 1.0169 30.855
122 7.29 1.01164 31.6461
123 7.35 1.00567 32.4455
124 7.41 1.0001 33.2535
125 7.47 0.996868 34.072
126 7.53 0.993539 34.9009
127 7.59 0.990984 35.7409
128 7.65 0.988161 36.5919
129 7.71 0.987653 37.4558
130 7.77 0.988132 38.3336
131 7.83 0.988804 39.2257
132 7.89 0.990158 40.1326
133 7.95 0.990861 41.0542
134 8.01 0.991838 41.9906
135 8.07 0.994431 42.9435
136 8.13 0.995355 43.9116
137 8.19 0.998301 44.897
138 8.25 0.998815 45.8973
139 8.31 0.998499 46.9119
140 8.37 1.00073 47.9435
141 8.43 1.00043 48.9896
