Generated by pymatgen.io.lammps.data.LammpsData

3584  atoms

   4  atom types

0.000000 32.758555  xlo xhi
0.000000 32.758520  ylo yhi
0.000000 32.758651  zlo zhi
-0.000139 -0.000011 -0.000047  xy xz yz

Masses

1   6.9410
2  58.6934
3  72.6400
4  15.9994

Atoms

1     1  0.5250  4.122541  4.122574  4.122581
2     1  0.5250  4.122538  4.122562 12.312244
3     1  0.5250  4.122535  4.122550 20.501906
4     1  0.5250  4.122533  4.122539 28.691569
5     1  0.5250  4.122506 12.312204  4.122581
6     1  0.5250  4.122503 12.312192 12.312244
7     1  0.5250  4.122500 12.312180 20.501906
8     1  0.5250  4.122498 12.312169 28.691569
9     1  0.5250  4.122471 20.501834  4.122581
10    1  0.5250  4.122468 20.501822 12.312244
11    1  0.5250  4.122466 20.501810 20.501906
12    1  0.5250  4.122463 20.501798 28.691569
13    1  0.5250  4.122436 28.691464  4.122581
14    1  0.5250  4.122433 28.691452 12.312244
15    1  0.5250  4.122431 28.691440 20.501906
16    1  0.5250  4.122428 28.691428 28.691569
17    1  0.5250 12.312179  4.122574  4.122581
18    1  0.5250 12.312177  4.122562 12.312244
19    1  0.5250 12.312174  4.122550 20.501906
20    1  0.5250 12.312171  4.122539 28.691569
21    1  0.5250 12.312145 12.312204  4.122581
22    1  0.5250 12.312142 12.312192 12.312244
23    1  0.5250 12.312139 12.312180 20.501906
24    1  0.5250 12.312136 12.312169 28.691569
25    1  0.5250 12.312110 20.501834  4.122581
26    1  0.5250 12.312107 20.501822 12.312244
27    1  0.5250 12.312104 20.501810 20.501906
28    1  0.5250 12.312102 20.501798 28.691569
29    1  0.5250 12.312075 28.691464  4.122581
30    1  0.5250 12.312072 28.691452 12.312244
31    1  0.5250 12.312069 28.691440 20.501906
32    1  0.5250 12.312067 28.691428 28.691569
33    1  0.5250 20.501818  4.122574  4.122581
34    1  0.5250 20.501816  4.122562 12.312244
35    1  0.5250 20.501813  4.122550 20.501906
36    1  0.5250 20.501810  4.122539 28.691569
37    1  0.5250 20.501783 12.312204  4.122581
38    1  0.5250 20.501781 12.312192 12.312244
39    1  0.5250 20.501778 12.312180 20.501906
40    1  0.5250 20.501775 12.312169 28.691569
41    1  0.5250 20.501749 20.501834  4.122581
42    1  0.5250 20.501746 20.501822 12.312244
43    1  0.5250 20.501743 20.501810 20.501906
44    1  0.5250 20.501740 20.501798 28.691569
45    1  0.5250 20.501714 28.691464  4.122581
46    1  0.5250 20.501711 28.691452 12.312244
47    1  0.5250 20.501708 28.691440 20.501906
48    1  0.5250 20.501706 28.691428 28.691569
49    1  0.5250 28.691457  4.122574  4.122581
50    1  0.5250 28.691454  4.122562 12.312244
51    1  0.5250 28.691452  4.122550 20.501906
52    1  0.5250 28.691449  4.122539 28.691569
53    1  0.5250 28.691422 12.312204  4.122581
54    1  0.5250 28.691419 12.312192 12.312244
55    1  0.5250 28.691417 12.312180 20.501906
56    1  0.5250 28.691414 12.312169 28.691569
57    1  0.5250 28.691387 20.501834  4.122581
58    1  0.5250 28.691385 20.501822 12.312244
59    1  0.5250 28.691382 20.501810 20.501906
60    1  0.5250 28.691379 20.501798 28.691569
61    1  0.5250 28.691352 28.691464  4.122581
62    1  0.5250 28.691350 28.691452 12.312244
63    1  0.5250 28.691347 28.691440 20.501906
64    1  0.5250 28.691344 28.691428 28.691569
65    1  0.5250  2.075113  2.019679  6.169964
66    1  0.5250  2.075110  2.019668 14.359626
67    1  0.5250  2.075107  2.019656 22.549289
68    1  0.5250  2.075105  2.019644 30.738952
69    1  0.5250  2.075078 10.209309  6.169964
70    1  0.5250  2.075075 10.209297 14.359626
71    1  0.5250  2.075072 10.209286 22.549289
72    1  0.5250  2.075070 10.209274 30.738952
73    1  0.5250  2.075043 18.398939  6.169964
74    1  0.5250  2.075040 18.398927 14.359626
75    1  0.5250  2.075038 18.398916 22.549289
76    1  0.5250  2.075035 18.398904 30.738952
77    1  0.5250  2.075008 26.588569  6.169964
78    1  0.5250  2.075005 26.588557 14.359626
79    1  0.5250  2.075003 26.588546 22.549289
80    1  0.5250  2.075000 26.588534 30.738952
81    1  0.5250 10.264752  2.019679  6.169964
82    1  0.5250 10.264749  2.019668 14.359626
83    1  0.5250 10.264746  2.019656 22.549289
84    1  0.5250 10.264743  2.019644 30.738952
85    1  0.5250 10.264717 10.209309  6.169964
86    1  0.5250 10.264714 10.209297 14.359626
87    1  0.5250 10.264711 10.209286 22.549289
88    1  0.5250 10.264709 10.209274 30.738952
89    1  0.5250 10.264682 18.398939  6.169964
90    1  0.5250 10.264679 18.398927 14.359626
91    1  0.5250 10.264676 18.398916 22.549289
92    1  0.5250 10.264674 18.398904 30.738952
93    1  0.5250 10.264647 26.588569  6.169964
94    1  0.5250 10.264644 26.588557 14.359626
95    1  0.5250 10.264642 26.588546 22.549289
96    1  0.5250 10.264639 26.588534 30.738952
97    1  0.5250 18.454390  2.019679  6.169964
