Generated by pymatgen.io.lammps.data.LammpsData

3888  atoms

   4  atom types

0.000000 33.325006  xlo xhi
0.000000 34.453639  ylo yhi
0.000000 53.784475  zlo zhi
1.570908 13.086226 5.221077  xy xz yz

Masses

1  132.905452
2    6.941000
3   28.085500
4   15.999400

Atoms

1     1  0.7900  3.544875  1.128721  2.550455
2     1  0.7900  5.725913  1.998901 11.514535
3     1  0.7900  7.906950  2.869080 20.478614
4     1  0.7900 10.087988  3.739260 29.442693
5     1  0.7900 12.269026  4.609439 38.406772
6     1  0.7900 14.450063  5.479619 47.370851
7     1  0.7900  3.806693  6.870994  2.550455
8     1  0.7900  5.987731  7.741174 11.514535
9     1  0.7900  8.168768  8.611353 20.478614
10    1  0.7900 10.349806  9.481533 29.442693
11    1  0.7900 12.530844 10.351712 38.406772
12    1  0.7900 14.711881 11.221892 47.370851
13    1  0.7900  4.068511 12.613268  2.550455
14    1  0.7900  6.249548 13.483447 11.514535
15    1  0.7900  8.430586 14.353627 20.478614
16    1  0.7900 10.611624 15.223806 29.442693
17    1  0.7900 12.792662 16.093986 38.406772
18    1  0.7900 14.973699 16.964165 47.370851
19    1  0.7900  4.330329 18.355541  2.550455
20    1  0.7900  6.511366 19.225720 11.514535
21    1  0.7900  8.692404 20.095900 20.478614
22    1  0.7900 10.873442 20.966079 29.442693
23    1  0.7900 13.054480 21.836259 38.406772
24    1  0.7900 15.235517 22.706438 47.370851
25    1  0.7900  4.592147 24.097814  2.550455
26    1  0.7900  6.773184 24.967994 11.514535
27    1  0.7900  8.954222 25.838173 20.478614
28    1  0.7900 11.135260 26.708353 29.442693
29    1  0.7900 13.316298 27.578532 38.406772
30    1  0.7900 15.497335 28.448712 47.370851
31    1  0.7900  4.853965 29.840087  2.550455
32    1  0.7900  7.035002 30.710267 11.514535
33    1  0.7900  9.216040 31.580446 20.478614
34    1  0.7900 11.397078 32.450626 29.442693
35    1  0.7900 13.578115 33.320805 38.406772
36    1  0.7900 15.759153 34.190985 47.370851
37    1  0.7900  9.099042  1.128721  2.550455
38    1  0.7900 11.280080  1.998901 11.514535
39    1  0.7900 13.461118  2.869080 20.478614
40    1  0.7900 15.642156  3.739260 29.442693
41    1  0.7900 17.823193  4.609439 38.406772
42    1  0.7900 20.004231  5.479619 47.370851
43    1  0.7900  9.360860  6.870994  2.550455
44    1  0.7900 11.541898  7.741174 11.514535
45    1  0.7900 13.722936  8.611353 20.478614
46    1  0.7900 15.903973  9.481533 29.442693
47    1  0.7900 18.085011 10.351712 38.406772
48    1  0.7900 20.266049 11.221892 47.370851
49    1  0.7900  9.622678 12.613268  2.550455
50    1  0.7900 11.803716 13.483447 11.514535
51    1  0.7900 13.984754 14.353627 20.478614
52    1  0.7900 16.165791 15.223806 29.442693
53    1  0.7900 18.346829 16.093986 38.406772
54    1  0.7900 20.527867 16.964165 47.370851
55    1  0.7900  9.884496 18.355541  2.550455
56    1  0.7900 12.065534 19.225720 11.514535
57    1  0.7900 14.246572 20.095900 20.478614
58    1  0.7900 16.427609 20.966079 29.442693
59    1  0.7900 18.608647 21.836259 38.406772
60    1  0.7900 20.789685 22.706438 47.370851
61    1  0.7900 10.146314 24.097814  2.550455
62    1  0.7900 12.327352 24.967994 11.514535
63    1  0.7900 14.508390 25.838173 20.478614
64    1  0.7900 16.689427 26.708353 29.442693
65    1  0.7900 18.870465 27.578532 38.406772
66    1  0.7900 21.051503 28.448712 47.370851
67    1  0.7900 10.408132 29.840087  2.550455
68    1  0.7900 12.589170 30.710267 11.514535
69    1  0.7900 14.770208 31.580446 20.478614
70    1  0.7900 16.951245 32.450626 29.442693
71    1  0.7900 19.132283 33.320805 38.406772
72    1  0.7900 21.313321 34.190985 47.370851
73    1  0.7900 14.653210  1.128721  2.550455
74    1  0.7900 16.834248  1.998901 11.514535
75    1  0.7900 19.015285  2.869080 20.478614
76    1  0.7900 21.196323  3.739260 29.442693
77    1  0.7900 23.377361  4.609439 38.406772
78    1  0.7900 25.558398  5.479619 47.370851
79    1  0.7900 14.915028  6.870994  2.550455
80    1  0.7900 17.096066  7.741174 11.514535
81    1  0.7900 19.277103  8.611353 20.478614
82    1  0.7900 21.458141  9.481533 29.442693
83    1  0.7900 23.639179 10.351712 38.406772
84    1  0.7900 25.820216 11.221892 47.370851
85    1  0.7900 15.176846 12.613268  2.550455
86    1  0.7900 17.357884 13.483447 11.514535
87    1  0.7900 19.538921 14.353627 20.478614
88    1  0.7900 21.719959 15.223806 29.442693
89    1  0.7900 23.900997 16.093986 38.406772
90    1  0.7900 26.082034 16.964165 47.370851
91    1  0.7900 15.438664 18.355541  2.550455
92    1  0.7900 17.619702 19.225720 11.514535
93    1  0.7900 19.800739 20.095900 20.478614
94    1  0.7900 21.981777 20.966079 29.442693
95    1  0.7900 24.162815 21.836259 38.406772
96    1  0.7900 26.343852 22.706438 47.370851
97    1  0.7900 15.700482 24.097814  2.550455
