Generated by pymatgen.io.lammps.data.LammpsData

3200  atoms

   4  atom types

0.000000 23.385772  xlo xhi
0.000000 20.252675  ylo yhi
0.000000 97.359952  zlo zhi
-11.692883 0.000000 0.000000  xy xz yz

Masses

1  137.3270
2    6.9410
3  183.8400
4   15.9994

Atoms

1     1 0.0000   0.000000  0.000000  3.644524
2     1 0.0000   0.000000  0.000000 27.984512
3     1 0.0000   0.000000  0.000000 52.324500
4     1 0.0000   0.000000  0.000000 76.664488
5     1 0.0000  20.462552  5.063169  3.644524
6     1 0.0000  20.462552  5.063169 27.984512
7     1 0.0000  20.462552  5.063169 52.324500
8     1 0.0000  20.462552  5.063169 76.664488
9     1 0.0000  17.539331 10.126338  3.644524
10    1 0.0000  17.539331 10.126338 27.984512
11    1 0.0000  17.539331 10.126338 52.324500
12    1 0.0000  17.539331 10.126338 76.664488
13    1 0.0000  -8.769662 15.189506  3.644524
14    1 0.0000  -8.769662 15.189506 27.984512
15    1 0.0000  -8.769662 15.189506 52.324500
16    1 0.0000  -8.769662 15.189506 76.664488
17    1 0.0000  -5.846440 20.252675  3.644524
18    1 0.0000  -5.846440 20.252675 27.984512
19    1 0.0000  -5.846440 20.252675 52.324500
20    1 0.0000  -5.846440 20.252675 76.664488
21    1 0.0000   2.923222  5.063169  3.644524
22    1 0.0000   2.923222  5.063169 27.984512
23    1 0.0000   2.923222  5.063169 52.324500
24    1 0.0000   2.923222  5.063169 76.664488
25    1 0.0000   0.000002 10.126338  3.644524
26    1 0.0000   0.000002 10.126338 27.984512
27    1 0.0000   0.000002 10.126338 52.324500
28    1 0.0000   0.000002 10.126338 76.664488
29    1 0.0000  -2.923219 15.189506  3.644524
30    1 0.0000  -2.923219 15.189506 27.984512
31    1 0.0000  -2.923219 15.189506 52.324500
32    1 0.0000  -2.923219 15.189506 76.664488
33    1 0.0000   0.000004 20.252675  3.644524
34    1 0.0000   0.000004 20.252675 27.984512
35    1 0.0000   0.000004 20.252675 52.324500
36    1 0.0000   0.000004 20.252675 76.664488
37    1 0.0000   8.769666  5.063169  3.644524
38    1 0.0000   8.769666  5.063169 27.984512
39    1 0.0000   8.769666  5.063169 52.324500
40    1 0.0000   8.769666  5.063169 76.664488
41    1 0.0000   5.846445 10.126338  3.644524
42    1 0.0000   5.846445 10.126338 27.984512
43    1 0.0000   5.846445 10.126338 52.324500
44    1 0.0000   5.846445 10.126338 76.664488
45    1 0.0000   2.923224 15.189506  3.644524
46    1 0.0000   2.923224 15.189506 27.984512
47    1 0.0000   2.923224 15.189506 52.324500
48    1 0.0000   2.923224 15.189506 76.664488
49    1 0.0000  17.539329  0.000000  3.644524
50    1 0.0000  17.539329  0.000000 27.984512
51    1 0.0000  17.539329  0.000000 52.324500
52    1 0.0000  17.539329  0.000000 76.664488
53    1 0.0000  14.616109  5.063169  3.644524
54    1 0.0000  14.616109  5.063169 27.984512
55    1 0.0000  14.616109  5.063169 52.324500
56    1 0.0000  14.616109  5.063169 76.664488
57    1 0.0000  11.692888 10.126338  3.644524
58    1 0.0000  11.692888 10.126338 27.984512
59    1 0.0000  11.692888 10.126338 52.324500
60    1 0.0000  11.692888 10.126338 76.664488
61    1 0.0000   8.769667 15.189506  3.644524
62    1 0.0000   8.769667 15.189506 27.984512
63    1 0.0000   8.769667 15.189506 52.324500
64    1 0.0000   8.769667 15.189506 76.664488
65    1 0.0000   0.000000  0.000000 20.685996
66    1 0.0000   0.000000  0.000000 45.025984
67    1 0.0000   0.000000  0.000000 69.365972
68    1 0.0000   0.000000  0.000000 93.705960
69    1 0.0000  20.462552  5.063169 20.685996
70    1 0.0000  20.462552  5.063169 45.025984
71    1 0.0000  20.462552  5.063169 69.365972
72    1 0.0000  20.462552  5.063169 93.705960
73    1 0.0000  17.539331 10.126338 20.685996
74    1 0.0000  17.539331 10.126338 45.025984
75    1 0.0000  17.539331 10.126338 69.365972
76    1 0.0000  17.539331 10.126338 93.705960
77    1 0.0000  -8.769662 15.189506 20.685996
78    1 0.0000  -8.769662 15.189506 45.025984
79    1 0.0000  -8.769662 15.189506 69.365972
80    1 0.0000  -8.769662 15.189506 93.705960
81    1 0.0000  -5.846440 20.252675 20.685996
82    1 0.0000  -5.846440 20.252675 45.025984
83    1 0.0000  -5.846440 20.252675 69.365972
84    1 0.0000  -5.846440 20.252675 93.705960
85    1 0.0000   2.923222  5.063169 20.685996
86    1 0.0000   2.923222  5.063169 45.025984
87    1 0.0000   2.923222  5.063169 69.365972
88    1 0.0000   2.923222  5.063169 93.705960
89    1 0.0000   0.000002 10.126338 20.685996
90    1 0.0000   0.000002 10.126338 45.025984
91    1 0.0000   0.000002 10.126338 69.365972
92    1 0.0000   0.000002 10.126338 93.705960
93    1 0.0000  -2.923219 15.189506 20.685996
94    1 0.0000  -2.923219 15.189506 45.025984
95    1 0.0000  -2.923219 15.189506 69.365972
96    1 0.0000  -2.923219 15.189506 93.705960
