Generated by pymatgen.io.lammps.data.LammpsData

3072  atoms

   4  atom types

0.000000 32.733538  xlo xhi
0.000000 28.348074  ylo yhi
0.000000 43.054100  zlo zhi
-16.366771 0.000000 0.000000  xy xz yz

Masses

1  137.3270
2    6.9410
3   28.0855
4   15.9994

Atoms

1     1 0.0000 -12.846017 28.348074  7.818883
2     1 0.0000 -12.846017 28.348074 18.582408
3     1 0.0000 -12.846017 28.348074 29.345933
4     1 0.0000 -12.846017 28.348074 40.109458
5     1 0.0000  -0.570939  7.087019  7.818883
6     1 0.0000  -0.570939  7.087019 18.582408
7     1 0.0000  -0.570939  7.087019 29.345933
8     1 0.0000  -0.570939  7.087019 40.109458
9     1 0.0000  -4.662632 14.174037  7.818883
10    1 0.0000  -4.662632 14.174037 18.582408
11    1 0.0000  -4.662632 14.174037 29.345933
12    1 0.0000  -4.662632 14.174037 40.109458
13    1 0.0000  -8.754324 21.261056  7.818883
14    1 0.0000  -8.754324 21.261056 18.582408
15    1 0.0000  -8.754324 21.261056 29.345933
16    1 0.0000  -8.754324 21.261056 40.109458
17    1 0.0000  -4.662633 28.348074  7.818883
18    1 0.0000  -4.662633 28.348074 18.582408
19    1 0.0000  -4.662633 28.348074 29.345933
20    1 0.0000  -4.662633 28.348074 40.109458
21    1 0.0000   7.612446  7.087019  7.818883
22    1 0.0000   7.612446  7.087019 18.582408
23    1 0.0000   7.612446  7.087019 29.345933
24    1 0.0000   7.612446  7.087019 40.109458
25    1 0.0000   3.520753 14.174037  7.818883
26    1 0.0000   3.520753 14.174037 18.582408
27    1 0.0000   3.520753 14.174037 29.345933
28    1 0.0000   3.520753 14.174037 40.109458
29    1 0.0000  -0.570940 21.261056  7.818883
30    1 0.0000  -0.570940 21.261056 18.582408
31    1 0.0000  -0.570940 21.261056 29.345933
32    1 0.0000  -0.570940 21.261056 40.109458
33    1 0.0000   3.520752 28.348074  7.818883
34    1 0.0000   3.520752 28.348074 18.582408
35    1 0.0000   3.520752 28.348074 29.345933
36    1 0.0000   3.520752 28.348074 40.109458
37    1 0.0000  15.795830  7.087019  7.818883
38    1 0.0000  15.795830  7.087019 18.582408
39    1 0.0000  15.795830  7.087019 29.345933
40    1 0.0000  15.795830  7.087019 40.109458
41    1 0.0000  11.704137 14.174037  7.818883
42    1 0.0000  11.704137 14.174037 18.582408
43    1 0.0000  11.704137 14.174037 29.345933
44    1 0.0000  11.704137 14.174037 40.109458
45    1 0.0000   7.612445 21.261056  7.818883
46    1 0.0000   7.612445 21.261056 18.582408
47    1 0.0000   7.612445 21.261056 29.345933
48    1 0.0000   7.612445 21.261056 40.109458
49    1 0.0000  11.704136 28.348074  7.818883
50    1 0.0000  11.704136 28.348074 18.582408
51    1 0.0000  11.704136 28.348074 29.345933
52    1 0.0000  11.704136 28.348074 40.109458
53    1 0.0000  23.979215  7.087019  7.818883
54    1 0.0000  23.979215  7.087019 18.582408
55    1 0.0000  23.979215  7.087019 29.345933
56    1 0.0000  23.979215  7.087019 40.109458
57    1 0.0000  19.887522 14.174037  7.818883
58    1 0.0000  19.887522 14.174037 18.582408
59    1 0.0000  19.887522 14.174037 29.345933
60    1 0.0000  19.887522 14.174037 40.109458
61    1 0.0000  15.795829 21.261056  7.818883
62    1 0.0000  15.795829 21.261056 18.582408
63    1 0.0000  15.795829 21.261056 29.345933
64    1 0.0000  15.795829 21.261056 40.109458
65    1 0.0000 -11.704140 28.348074  2.437120
66    1 0.0000 -11.704140 28.348074 13.200645
67    1 0.0000 -11.704140 28.348074 23.964170
68    1 0.0000 -11.704140 28.348074 34.727695
69    1 0.0000   0.570938  7.087019  2.437120
70    1 0.0000   0.570938  7.087019 13.200645
71    1 0.0000   0.570938  7.087019 23.964170
72    1 0.0000   0.570938  7.087019 34.727695
73    1 0.0000  -3.520755 14.174037  2.437120
74    1 0.0000  -3.520755 14.174037 13.200645
75    1 0.0000  -3.520755 14.174037 23.964170
76    1 0.0000  -3.520755 14.174037 34.727695
77    1 0.0000  -7.612448 21.261056  2.437120
78    1 0.0000  -7.612448 21.261056 13.200645
79    1 0.0000  -7.612448 21.261056 23.964170
80    1 0.0000  -7.612448 21.261056 34.727695
81    1 0.0000  -3.520756 28.348074  2.437120
82    1 0.0000  -3.520756 28.348074 13.200645
83    1 0.0000  -3.520756 28.348074 23.964170
84    1 0.0000  -3.520756 28.348074 34.727695
85    1 0.0000   8.754322  7.087019  2.437120
86    1 0.0000   8.754322  7.087019 13.200645
87    1 0.0000   8.754322  7.087019 23.964170
88    1 0.0000   8.754322  7.087019 34.727695
89    1 0.0000   4.662630 14.174037  2.437120
90    1 0.0000   4.662630 14.174037 13.200645
91    1 0.0000   4.662630 14.174037 23.964170
92    1 0.0000   4.662630 14.174037 34.727695
93    1 0.0000   0.570937 21.261056  2.437120
94    1 0.0000   0.570937 21.261056 13.200645
95    1 0.0000   0.570937 21.261056 23.964170
