Generated by pymatgen.io.lammps.data.LammpsData

3625  atoms

   4  atom types

0.000000 27.046030  xlo xhi
0.000000 31.754985  ylo yhi
0.000000 61.874740  zlo zhi
-11.842060 -10.069765 -9.446500  xy xz yz

Masses

1    6.941000
2  238.028910
3   30.973762
4   15.999400

Atoms

1     1  0.5250  -0.452727  5.524145  2.338642
2     1  0.5250  -2.466680  3.634845 14.713590
3     1  0.5250  -4.480633  1.745545 27.088538
4     1  0.5250  -6.494586 -0.143755 39.463486
5     1  0.5250  -8.508539 -2.033055 51.838434
6     1  0.5250  -2.821139 11.875142  2.338642
7     1  0.5250  -4.835092  9.985842 14.713590
8     1  0.5250  -6.849045  8.096542 27.088538
9     1  0.5250  -8.862998  6.207242 39.463486
10    1  0.5250 -10.876951  4.317942 51.838434
11    1  0.5250  -5.189551 18.226139  2.338642
12    1  0.5250  -7.203504 16.336839 14.713590
13    1  0.5250  -9.217457 14.447539 27.088538
14    1  0.5250 -11.231410 12.558239 39.463486
15    1  0.5250 -13.245363 10.668939 51.838434
16    1  0.5250  -7.557963 24.577136  2.338642
17    1  0.5250  -9.571916 22.687836 14.713590
18    1  0.5250 -11.585869 20.798536 27.088538
19    1  0.5250 -13.599822 18.909236 39.463486
20    1  0.5250 -15.613775 17.019936 51.838434
21    1  0.5250  -9.926375 30.928133  2.338642
22    1  0.5250 -11.940328 29.038833 14.713590
23    1  0.5250 -13.954281 27.149533 27.088538
24    1  0.5250 -15.968234 25.260233 39.463486
25    1  0.5250 -17.982187 23.370933 51.838434
26    1  0.5250   4.956479  5.524145  2.338642
27    1  0.5250   2.942526  3.634845 14.713590
28    1  0.5250   0.928573  1.745545 27.088538
29    1  0.5250  -1.085380 -0.143755 39.463486
30    1  0.5250  -3.099333 -2.033055 51.838434
31    1  0.5250   2.588067 11.875142  2.338642
32    1  0.5250   0.574114  9.985842 14.713590
33    1  0.5250  -1.439839  8.096542 27.088538
34    1  0.5250  -3.453792  6.207242 39.463486
35    1  0.5250  -5.467745  4.317942 51.838434
36    1  0.5250   0.219655 18.226139  2.338642
37    1  0.5250  -1.794298 16.336839 14.713590
38    1  0.5250  -3.808251 14.447539 27.088538
39    1  0.5250  -5.822204 12.558239 39.463486
40    1  0.5250  -7.836157 10.668939 51.838434
41    1  0.5250  -2.148757 24.577136  2.338642
42    1  0.5250  -4.162710 22.687836 14.713590
43    1  0.5250  -6.176663 20.798536 27.088538
44    1  0.5250  -8.190616 18.909236 39.463486
45    1  0.5250 -10.204569 17.019936 51.838434
46    1  0.5250  -4.517169 30.928133  2.338642
47    1  0.5250  -6.531122 29.038833 14.713590
48    1  0.5250  -8.545075 27.149533 27.088538
49    1  0.5250 -10.559028 25.260233 39.463486
50    1  0.5250 -12.572981 23.370933 51.838434
51    1  0.5250  10.365685  5.524145  2.338642
52    1  0.5250   8.351732  3.634845 14.713590
53    1  0.5250   6.337779  1.745545 27.088538
54    1  0.5250   4.323826 -0.143755 39.463486
55    1  0.5250   2.309873 -2.033055 51.838434
56    1  0.5250   7.997273 11.875142  2.338642
57    1  0.5250   5.983320  9.985842 14.713590
58    1  0.5250   3.969367  8.096542 27.088538
59    1  0.5250   1.955414  6.207242 39.463486
60    1  0.5250  -0.058539  4.317942 51.838434
61    1  0.5250   5.628861 18.226139  2.338642
62    1  0.5250   3.614908 16.336839 14.713590
63    1  0.5250   1.600955 14.447539 27.088538
64    1  0.5250  -0.412998 12.558239 39.463486
65    1  0.5250  -2.426951 10.668939 51.838434
66    1  0.5250   3.260449 24.577136  2.338642
67    1  0.5250   1.246496 22.687836 14.713590
68    1  0.5250  -0.767457 20.798536 27.088538
69    1  0.5250  -2.781410 18.909236 39.463486
70    1  0.5250  -4.795363 17.019936 51.838434
71    1  0.5250   0.892037 30.928133  2.338642
72    1  0.5250  -1.121916 29.038833 14.713590
73    1  0.5250  -3.135869 27.149533 27.088538
74    1  0.5250  -5.149822 25.260233 39.463486
75    1  0.5250  -7.163775 23.370933 51.838434
76    1  0.5250  15.774891  5.524145  2.338642
77    1  0.5250  13.760938  3.634845 14.713590
78    1  0.5250  11.746985  1.745545 27.088538
79    1  0.5250   9.733032 -0.143755 39.463486
80    1  0.5250   7.719079 -2.033055 51.838434
81    1  0.5250  13.406479 11.875142  2.338642
82    1  0.5250  11.392526  9.985842 14.713590
83    1  0.5250   9.378573  8.096542 27.088538
84    1  0.5250   7.364620  6.207242 39.463486
85    1  0.5250   5.350667  4.317942 51.838434
86    1  0.5250  11.038067 18.226139  2.338642
87    1  0.5250   9.024114 16.336839 14.713590
88    1  0.5250   7.010161 14.447539 27.088538
89    1  0.5250   4.996208 12.558239 39.463486
90    1  0.5250   2.982255 10.668939 51.838434
91    1  0.5250   8.669655 24.577136  2.338642
92    1  0.5250   6.655702 22.687836 14.713590
93    1  0.5250   4.641749 20.798536 27.088538
94    1  0.5250   2.627796 18.909236 39.463486
