Generated by pymatgen.io.lammps.data.LammpsData

3625  atoms

   4  atom types

0.000000 27.729401  xlo xhi
0.000000 32.557337  ylo yhi
0.000000 63.438127  zlo zhi
-12.141273 -10.324197 -9.685184  xy xz yz

Masses

1    6.941000
2  238.028910
3   30.973762
4   15.999400

Atoms

1     1  0.5250  -0.565976  4.894996  0.786268
2     3  1.5750  -0.874427  3.020174  8.355241
3     4 -0.3675  -1.302107  4.790848  6.233258
4     4 -0.3675  -2.525021  5.123778  8.801571
5     3  1.5750  -1.367875  0.916178  6.541558
6     2 -0.0000  -0.624202  4.833243  3.540688
7     4 -0.3675  -0.598210 -1.098592  8.683234
8     4 -0.3675  -0.896453  2.435271  1.973236
9     3  1.5750  -1.858234  2.692355  4.590408
10    1  0.5250  -0.170788  5.187409  9.999655
11    4 -0.3675  -0.196596  0.411984  4.090500
12    4 -0.3675   0.817436  0.275429  1.503761
13    4 -0.3675   0.570162  2.671009  5.828559
14    4 -0.3675   1.051578  0.932567  7.919652
15    1  0.5250   5.330093  4.759055  1.005141
16    2 -0.0000   1.055561  4.902426  7.545227
17    2 -0.0000   5.967724  5.140803  7.472484
18    3  1.5750   4.844654  0.508565  6.826456
19    3  1.5750   5.337189  2.730121  8.534283
20    3  1.5750   3.179127  0.361041  2.749699
21    3  1.5750   8.031289  0.633511  2.709566
22    3  1.5750   3.695545  2.646985  4.361294
23    3  1.5750   8.449237  2.867590  4.428927
24    4 -0.3675   5.617759  0.720637  1.081312
25    4 -0.3675   1.808947  5.010240  2.106456
26    4 -0.3675   7.800330  5.003165  2.376883
27    4 -0.3675   2.279761  0.576345  5.504644
28    4 -0.3675   7.666695  0.489814  5.456225
29    4 -0.3675   1.415999  2.812750  0.376098
30    4 -0.3675   7.408898  2.661468  0.635623
31    4 -0.3675   5.635937  0.544588  3.929704
32    4 -0.3675   3.503296  1.011460  9.346417
33    4 -0.3675   2.946104  2.787617  7.128315
34    4 -0.3675   7.911077  2.900667  7.159899
35    4 -0.3675   7.215856  0.467453  8.109905
36    4 -0.3675   3.828593  5.038188  6.147366
37    4 -0.3675   1.285262  2.506670  3.290909
38    4 -0.3675   6.153703  2.916481  2.920786
39    4 -0.3675   3.446881  4.964015  9.050997
40    4 -0.3675   8.160680  5.259019  8.765600
41    4 -0.3675   5.762181  2.712331  5.829911
42    4 -0.3675   3.703152  2.722648  1.654689
43    2 -0.0000   4.234415  5.120841  3.444731
44    4 -0.3675   1.624440  4.863395  4.779360
45    4 -0.3675   6.838741  5.097994  4.898651
46    4 -0.3675   1.583709  3.005340  9.620441
47    4 -0.3675   7.713570  2.830230  9.884051
48    1  0.5250   1.684664 -1.044507 10.058862
49    1  0.5250   7.870524 -1.150389 10.142309
50    1  0.5250   5.870478  4.993719 10.355308
51    4 -0.3675  -0.118874  1.006343 10.531689
52    4 -0.3675   5.766897  0.927912 10.602237
53    4 -0.3675   9.193982  0.339982  0.162765
54    4 -0.3675   9.704971  2.619896  2.002449
55    4 -0.3675   9.352646  5.142178  6.340830
56    4 -0.3675   9.655391  0.661013  9.602374
57    3  1.5750   9.888490  0.782199  6.870498
58    1  0.5250  10.093715  5.068718  0.773530
59    1  0.5250  16.414477  4.804340  0.976153
60    2 -0.0000  11.766448  5.023313  7.698258
61    2 -0.0000  16.898260  5.182828  7.466151
62    3  1.5750  15.317472  0.532247  6.760097
63    3  1.5750  10.076469  3.054698  8.496293
64    3  1.5750  16.128800  2.769822  8.590159
65    3  1.5750  13.949241  0.436881  2.743633
66    3  1.5750  14.431907  2.755379  4.402028
67    4 -0.3675  11.544834  0.442115  1.536899
68    4 -0.3675  16.382493  0.839399  1.145143
69    4 -0.3675  12.492439  4.978654  2.157444
70    4 -0.3675  12.913295  0.698313  5.370100
71    4 -0.3675  12.099219  2.965302  0.344256
72    4 -0.3675  18.348763  2.736561  0.653535
73    4 -0.3675  10.417939  0.833772  4.208601
74    4 -0.3675  16.082640  0.603254  4.038099
75    4 -0.3675  14.361442  0.690523  9.303725
76    4 -0.3675  12.504157  3.041131  9.724270
77    4 -0.3675  13.668735  2.819522  7.131791
78    4 -0.3675  12.152350  0.748925  8.010785
79    4 -0.3675  17.882297  0.652520  7.975633
80    4 -0.3675  14.635617  5.136246  6.178359
81    4 -0.3675  12.105342  2.671084  3.297325
82    4 -0.3675  14.320324  4.986559  8.982647
83    4 -0.3675  11.079993  2.975794  5.882031
84    4 -0.3675  16.472611  2.835164  5.925299
85    4 -0.3675  14.400746  2.849061  1.579385
86    2 -0.0000  18.822459  9.491489 20.499195
87    4 -0.3675  16.878905  3.061770  3.083060
88    2 -0.0000  10.009729  4.862436  3.712662
89    2 -0.0000  14.885250  5.166821  3.245920
90    4 -0.3675  12.397801  4.974934  4.982223
91    4 -0.3675  17.454619  5.211865  4.740108
92    1  0.5250  10.515894  5.345464 10.097284
93    1  0.5250  16.697358  5.053334 10.326253
