Generated by pymatgen.io.lammps.data.LammpsData

3240  atoms

   4  atom types

0.000000 33.051444  xlo xhi
0.000000 34.443983  ylo yhi
0.000000 45.922397  zlo zhi
-9.039970 -8.819329 -18.572139  xy xz yz

Masses

1    6.94100
2  238.02891
3   95.94000
4   15.99940

Atoms

1     1  0.5250   1.682490  -0.076668  3.249132
2     1  0.5250   0.212601  -3.172025 10.902865
3     1  0.5250  -1.257287  -6.267381 18.556598
4     1  0.5250  -2.727175  -9.362738 26.210331
5     1  0.5250  -4.197063 -12.458095 33.864064
6     1  0.5250  -5.666952 -15.553451 41.517797
7     1  0.5250   0.175828   5.663995  3.249132
8     1  0.5250  -1.294060   2.568639 10.902865
9     1  0.5250  -2.763949  -0.526718 18.556598
10    1  0.5250  -4.233837  -3.622074 26.210331
11    1  0.5250  -5.703725  -6.717431 33.864064
12    1  0.5250  -7.173613  -9.812787 41.517797
13    1  0.5250  -1.330834  11.404659  3.249132
14    1  0.5250  -2.800722   8.309303 10.902865
15    1  0.5250  -4.270610   5.213946 18.556598
16    1  0.5250  -5.740499   2.118590 26.210331
17    1  0.5250  -7.210387  -0.976767 33.864064
18    1  0.5250  -8.680275  -4.072123 41.517797
19    1  0.5250  -2.837496  17.145323  3.249132
20    1  0.5250  -4.307384  14.049967 10.902865
21    1  0.5250  -5.777272  10.954610 18.556598
22    1  0.5250  -7.247160   7.859253 26.210331
23    1  0.5250  -8.717049   4.763897 33.864064
24    1  0.5250 -10.186937   1.668540 41.517797
25    1  0.5250  -4.344157  22.885987  3.249132
26    1  0.5250  -5.814046  19.790630 10.902865
27    1  0.5250  -7.283934  16.695274 18.556598
28    1  0.5250  -8.753822  13.599917 26.210331
29    1  0.5250 -10.223710  10.504561 33.864064
30    1  0.5250 -11.693599   7.409204 41.517797
31    1  0.5250  -5.850819  28.626651  3.249132
32    1  0.5250  -7.320707  25.531294 10.902865
33    1  0.5250  -8.790596  22.435938 18.556598
34    1  0.5250 -10.260484  19.340581 26.210331
35    1  0.5250 -11.730372  16.245225 33.864064
36    1  0.5250 -13.200260  13.149868 41.517797
37    1  0.5250   7.191064  -0.076668  3.249132
38    1  0.5250   5.721175  -3.172025 10.902865
39    1  0.5250   4.251287  -6.267381 18.556598
40    1  0.5250   2.781399  -9.362738 26.210331
41    1  0.5250   1.311511 -12.458095 33.864064
42    1  0.5250  -0.158378 -15.553451 41.517797
43    1  0.5250   5.684402   5.663995  3.249132
44    1  0.5250   4.214514   2.568639 10.902865
45    1  0.5250   2.744625  -0.526718 18.556598
46    1  0.5250   1.274737  -3.622074 26.210331
47    1  0.5250  -0.195151  -6.717431 33.864064
48    1  0.5250  -1.665039  -9.812787 41.517797
49    1  0.5250   4.177740  11.404659  3.249132
50    1  0.5250   2.707852   8.309303 10.902865
51    1  0.5250   1.237964   5.213946 18.556598
52    1  0.5250  -0.231925   2.118590 26.210331
53    1  0.5250  -1.701813  -0.976767 33.864064
54    1  0.5250  -3.171701  -4.072123 41.517797
55    1  0.5250   2.671078  17.145323  3.249132
56    1  0.5250   1.201190  14.049967 10.902865
57    1  0.5250  -0.268698  10.954610 18.556598
58    1  0.5250  -1.738586   7.859253 26.210331
59    1  0.5250  -3.208475   4.763897 33.864064
60    1  0.5250  -4.678363   1.668540 41.517797
61    1  0.5250   1.164417  22.885987  3.249132
62    1  0.5250  -0.305472  19.790630 10.902865
63    1  0.5250  -1.775360  16.695274 18.556598
64    1  0.5250  -3.245248  13.599917 26.210331
65    1  0.5250  -4.715136  10.504561 33.864064
66    1  0.5250  -6.185025   7.409204 41.517797
67    1  0.5250  -0.342245  28.626651  3.249132
68    1  0.5250  -1.812133  25.531294 10.902865
69    1  0.5250  -3.282022  22.435938 18.556598
70    1  0.5250  -4.751910  19.340581 26.210331
71    1  0.5250  -6.221798  16.245225 33.864064
72    1  0.5250  -7.691686  13.149868 41.517797
73    1  0.5250  12.699638  -0.076668  3.249132
74    1  0.5250  11.229749  -3.172025 10.902865
75    1  0.5250   9.759861  -6.267381 18.556598
76    1  0.5250   8.289973  -9.362738 26.210331
77    1  0.5250   6.820085 -12.458095 33.864064
78    1  0.5250   5.350196 -15.553451 41.517797
79    1  0.5250  11.192976   5.663995  3.249132
80    1  0.5250   9.723088   2.568639 10.902865
81    1  0.5250   8.253199  -0.526718 18.556598
82    1  0.5250   6.783311  -3.622074 26.210331
83    1  0.5250   5.313423  -6.717431 33.864064
84    1  0.5250   3.843535  -9.812787 41.517797
85    1  0.5250   9.686314  11.404659  3.249132
86    1  0.5250   8.216426   8.309303 10.902865
87    1  0.5250   6.746538   5.213946 18.556598
88    1  0.5250   5.276649   2.118590 26.210331
89    1  0.5250   3.806761  -0.976767 33.864064
90    1  0.5250   2.336873  -4.072123 41.517797
91    1  0.5250   8.179652  17.145323  3.249132
92    1  0.5250   6.709764  14.049967 10.902865
93    1  0.5250   5.239876  10.954610 18.556598
