Generated by pymatgen.io.lammps.data.LammpsData

3240  atoms

   4  atom types

0.000000 33.680420  xlo xhi
0.000000 35.099460  ylo yhi
0.000000 46.796311  zlo zhi
-9.212003 -8.987163 -18.925571  xy xz yz

Masses

1    6.94100
2  238.02891
3   95.94000
4   15.99940

Atoms

1     4 -0.5442  -0.349575   0.272073  4.632674
2     4 -0.5442  -1.376877  -1.319600  6.517771
3     2 -0.0000  -2.052841   1.235509  6.575848
4     4 -0.5442   0.779410   1.299786  6.736798
5     3  2.1960   5.434932   0.656462  4.643455
6     4 -0.5442   4.418930  -0.245159  2.120348
7     4 -0.5442   8.077224   0.258611  4.283612
8     4 -0.5442   7.358234  -0.525933  1.570278
9     4 -0.5442   1.745566  -1.545347  6.292792
10    2 -0.0000   4.435925  -1.098598  6.277426
11    4 -0.5442   2.451137   0.414162  4.358911
12    4 -0.5442   6.286911   1.328086  7.064014
13    4 -0.5442   7.129269  -1.260902  6.420320
14    3  2.1960   3.524487   1.469332  6.791825
15    4 -0.5442   1.680603  -0.501649  1.877108
16    3  2.1960  10.987382   0.260164  3.937946
17    3  2.1960  15.744945  -1.202372  6.127799
18    4 -0.5442  12.678503  -1.400262  6.342144
19    4 -0.5442  13.766732   0.260835  4.235232
20    4 -0.5442  16.481220   0.505009  4.217943
21    1  0.5250  12.969777  -0.578103  1.780488
22    2 -0.0000  10.069820  -1.489353  5.865443
23    3  2.1960  14.593384   1.254037  6.584530
24    4 -0.5442  11.792628   1.118617  6.656519
25    4 -0.5442  10.059507  -0.302245  1.438544
26    4 -0.5442  17.345008   1.437704  6.693858
27    4 -0.5442  18.622882  -1.031170  6.097705
28    4 -0.5442  21.257894  -0.049539  1.325565
29    4 -0.5442  22.186483   0.784842  3.871353
30    4 -0.5442  19.362503   0.781351  4.095419
31    4 -0.5442  21.333707  -0.815650  6.105414
32    3  2.1960  24.188234  -0.555251  5.869912
33    1  0.5250  12.510829  13.689469  9.318339
34    4 -0.5442  25.009133   1.290104  3.799980
35    1  0.5250  18.464630  -0.493048  1.504478
36    1  0.5250  11.235777  -4.515559 11.201813
37    3  2.1960  29.562107  -0.755477  5.702121
38    4 -0.5442  27.063737  -0.090828  1.545913
39    4 -0.5442  30.617456   0.672244  3.751506
40    4 -0.5442  27.645024   0.669930  4.152012
41    4 -0.5442  30.019210  -0.046691  1.002691
42    2 -0.0000  26.800962  -1.365311  6.175462
43    2 -0.0000  26.154617   1.455198  6.357952
44    4 -0.5442  28.995254   1.789732  6.284805
45    1  0.5250  -0.776846   4.566537  2.137276
46    1  0.5250  -0.226790   8.291962  5.102821
47    3  2.1960  -2.385680   5.311356  4.874792
48    4 -0.5442  -1.263640   7.068343  2.736616
49    4 -0.5442  -1.316984   2.948153  4.279855
50    4 -0.5442  -3.236481   7.908526  5.147884
51    4 -0.5442  -0.744568   8.890148  0.743673
52    4 -0.5442  -0.275476   3.929323  6.827982
53    4 -0.5442   0.302043   6.152137  0.134007
54    4 -0.5442  -1.078667   6.417256  7.145344
55    4 -0.5442  -3.010333   3.803965  6.864034
56    1  0.5250  -1.968966   9.279910  7.357014
57    1  0.5250   0.211197   1.963234  2.120557
58    4 -0.5442   0.355469   5.506185  4.554541
59    3  2.1960   8.868519   0.869426  6.766958
60    4 -0.5442   4.377957   3.271881  4.523741
61    4 -0.5442   7.140269   2.872591  4.479309
62    4 -0.5442   1.262996   7.394226  2.704821
63    1  0.5250   3.146594   2.134317  2.268520
64    1  0.5250   5.795171   2.151056  1.953244
65    1  0.5250   5.581683   8.331874  4.687707
66    3  2.1960   4.031276   7.366211  2.710600
67    3  2.1960   1.596453   2.931753  4.482018
68    3  2.1960   6.090523   5.693205  4.691158
69    4 -0.5442   1.927440   4.645972  2.198924
70    4 -0.5442   7.797036   4.909876  2.644377
71    4 -0.5442   3.080535   5.581616  4.907004
72    4 -0.5442   2.782921   8.649055  4.969519
73    4 -0.5442   4.934270   4.815175  2.158640
74    4 -0.5442   5.921123   6.292670  0.188318
75    4 -0.5442   6.912550   7.431915  2.540108
76    2 -0.0000   2.212192   9.038091  0.472269
77    4 -0.5442   5.176160   8.906157  0.654798
78    4 -0.5442   3.070813   6.214604  0.279012
79    4 -0.5442   8.170946   8.094371  5.116017
80    3  2.1960   8.153271   8.990995  0.549428
81    2 -0.0000   2.395354   4.199805  7.114509
82    3  2.1960   4.622871   7.115015  6.563213
83    4 -0.5442   5.432912   3.944357  6.903443
84    3  2.1960   1.429097   6.994423  7.071239
85    2 -0.0000   8.054277   3.473605  7.240241
86    4 -0.5442   8.632060   6.189148  0.220790
87    4 -0.5442   8.714737   5.381951  5.119573
88    4 -0.5442  27.136983  10.320782  9.953437
89    4 -0.5442   6.956170   6.457390  7.712993
90    1  0.5250  24.237967   0.050495  1.447734
91    4 -0.5442   2.304375   6.213638 14.913826
92    3  2.1960  28.127035  11.927281  7.651734
93    4 -0.5442   8.745529   2.031443  2.096015
