Generated by pymatgen.io.lammps.data.LammpsData

4875  atoms

   4  atom types

0.000000 28.359704  xlo xhi
0.000000 24.560222  ylo yhi
0.000000 106.392380  zlo zhi
-14.179856 0.000000 0.000000  xy xz yz

Masses

1    6.941000
2  180.947880
3   15.999400
4   18.998403

Atoms

1     1 0.0000   1.251054  2.224508   3.021395
2     1 0.0000   1.251054  2.224508  24.299871
3     1 0.0000   1.251054  2.224508  45.578347
4     1 0.0000   1.251054  2.224508  66.856823
5     1 0.0000   1.251054  2.224508  88.135299
6     1 0.0000  -1.584917  7.136552   3.021395
7     1 0.0000  -1.584917  7.136552  24.299871
8     1 0.0000  -1.584917  7.136552  45.578347
9     1 0.0000  -1.584917  7.136552  66.856823
10    1 0.0000  -1.584917  7.136552  88.135299
11    1 0.0000  -4.420888 12.048596   3.021395
12    1 0.0000  -4.420888 12.048596  24.299871
13    1 0.0000  -4.420888 12.048596  45.578347
14    1 0.0000  -4.420888 12.048596  66.856823
15    1 0.0000  -4.420888 12.048596  88.135299
16    1 0.0000  -7.256859 16.960641   3.021395
17    1 0.0000  -7.256859 16.960641  24.299871
18    1 0.0000  -7.256859 16.960641  45.578347
19    1 0.0000  -7.256859 16.960641  66.856823
20    1 0.0000  -7.256859 16.960641  88.135299
21    1 0.0000 -10.092831 21.872685   3.021395
22    1 0.0000 -10.092831 21.872685  24.299871
23    1 0.0000 -10.092831 21.872685  45.578347
24    1 0.0000 -10.092831 21.872685  66.856823
25    1 0.0000 -10.092831 21.872685  88.135299
26    1 0.0000   6.922995  2.224508   3.021395
27    1 0.0000   6.922995  2.224508  24.299871
28    1 0.0000   6.922995  2.224508  45.578347
29    1 0.0000   6.922995  2.224508  66.856823
30    1 0.0000   6.922995  2.224508  88.135299
31    1 0.0000   4.087024  7.136552   3.021395
32    1 0.0000   4.087024  7.136552  24.299871
33    1 0.0000   4.087024  7.136552  45.578347
34    1 0.0000   4.087024  7.136552  66.856823
35    1 0.0000   4.087024  7.136552  88.135299
36    1 0.0000   1.251052 12.048596   3.021395
37    1 0.0000   1.251052 12.048596  24.299871
38    1 0.0000   1.251052 12.048596  45.578347
39    1 0.0000   1.251052 12.048596  66.856823
40    1 0.0000   1.251052 12.048596  88.135299
41    1 0.0000  -1.584919 16.960641   3.021395
42    1 0.0000  -1.584919 16.960641  24.299871
43    1 0.0000  -1.584919 16.960641  45.578347
44    1 0.0000  -1.584919 16.960641  66.856823
45    1 0.0000  -1.584919 16.960641  88.135299
46    1 0.0000  -4.420890 21.872685   3.021395
47    1 0.0000  -4.420890 21.872685  24.299871
48    1 0.0000  -4.420890 21.872685  45.578347
49    1 0.0000  -4.420890 21.872685  66.856823
50    1 0.0000  -4.420890 21.872685  88.135299
51    1 0.0000  12.594935  2.224508   3.021395
52    1 0.0000  12.594935  2.224508  24.299871
53    1 0.0000  12.594935  2.224508  45.578347
54    1 0.0000  12.594935  2.224508  66.856823
55    1 0.0000  12.594935  2.224508  88.135299
56    1 0.0000   9.758964  7.136552   3.021395
57    1 0.0000   9.758964  7.136552  24.299871
58    1 0.0000   9.758964  7.136552  45.578347
59    1 0.0000   9.758964  7.136552  66.856823
60    1 0.0000   9.758964  7.136552  88.135299
61    1 0.0000   6.922993 12.048596   3.021395
62    1 0.0000   6.922993 12.048596  24.299871
63    1 0.0000   6.922993 12.048596  45.578347
64    1 0.0000   6.922993 12.048596  66.856823
65    1 0.0000   6.922993 12.048596  88.135299
66    1 0.0000   4.087022 16.960641   3.021395
67    1 0.0000   4.087022 16.960641  24.299871
68    1 0.0000   4.087022 16.960641  45.578347
69    1 0.0000   4.087022 16.960641  66.856823
70    1 0.0000   4.087022 16.960641  88.135299
71    1 0.0000   1.251051 21.872685   3.021395
72    1 0.0000   1.251051 21.872685  24.299871
73    1 0.0000   1.251051 21.872685  45.578347
74    1 0.0000   1.251051 21.872685  66.856823
75    1 0.0000   1.251051 21.872685  88.135299
76    1 0.0000  18.266876  2.224508   3.021395
77    1 0.0000  18.266876  2.224508  24.299871
78    1 0.0000  18.266876  2.224508  45.578347
79    1 0.0000  18.266876  2.224508  66.856823
80    1 0.0000  18.266876  2.224508  88.135299
81    1 0.0000  15.430905  7.136552   3.021395
82    1 0.0000  15.430905  7.136552  24.299871
83    1 0.0000  15.430905  7.136552  45.578347
84    1 0.0000  15.430905  7.136552  66.856823
85    1 0.0000  15.430905  7.136552  88.135299
86    1 0.0000  12.594934 12.048596   3.021395
87    1 0.0000  12.594934 12.048596  24.299871
88    1 0.0000  12.594934 12.048596  45.578347
89    1 0.0000  12.594934 12.048596  66.856823
90    1 0.0000  12.594934 12.048596  88.135299
91    1 0.0000   9.758963 16.960641   3.021395
92    1 0.0000   9.758963 16.960641  24.299871
93    1 0.0000   9.758963 16.960641  45.578347
94    1 0.0000   9.758963 16.960641  66.856823
95    1 0.0000   9.758963 16.960641  88.135299
96    1 0.0000   6.922992 21.872685   3.021395
