Generated by pymatgen.io.lammps.data.LammpsData

3500  atoms

   4  atom types

0.000000 30.195263  xlo xhi
0.000000 51.402916  ylo yhi
0.000000 25.778042  zlo zhi
15.064948 15.087062 4.428094  xy xz yz

Masses

1    6.9410
2   50.9415
3  121.7600
4   15.9994

Atoms

1     1 0.0000  6.033721  7.542924  2.240586
2     1 0.0000  9.051134  8.428543  7.396195
3     1 0.0000 12.068546  9.314162 12.551803
4     1 0.0000 15.085959 10.199781 17.707411
5     1 0.0000 18.103371 11.085399 22.863020
6     1 0.0000  9.046711 17.823507  2.240586
7     1 0.0000 12.064123 18.709126  7.396195
8     1 0.0000 15.081536 19.594745 12.551803
9     1 0.0000 18.098948 20.480364 17.707411
10    1 0.0000 21.116360 21.365983 22.863020
11    1 0.0000 12.059701 28.104090  2.240586
12    1 0.0000 15.077113 28.989709  7.396195
13    1 0.0000 18.094525 29.875328 12.551803
14    1 0.0000 21.111938 30.760947 17.707411
15    1 0.0000 24.129350 31.646566 22.863020
16    1 0.0000 15.072690 38.384673  2.240586
17    1 0.0000 18.090103 39.270292  7.396195
18    1 0.0000 21.107515 40.155911 12.551803
19    1 0.0000 24.124927 41.041530 17.707411
20    1 0.0000 27.142340 41.927149 22.863020
21    1 0.0000 18.085680 48.665256  2.240586
22    1 0.0000 21.103092 49.550875  7.396195
23    1 0.0000 24.120504 50.436494 12.551803
24    1 0.0000 27.137917 51.322113 17.707411
25    1 0.0000 30.155329 52.207732 22.863020
26    1 0.0000 12.072774  7.542924  2.240586
27    1 0.0000 15.090186  8.428543  7.396195
28    1 0.0000 18.107599  9.314162 12.551803
29    1 0.0000 21.125011 10.199781 17.707411
30    1 0.0000 24.142423 11.085399 22.863020
31    1 0.0000 15.085764 17.823507  2.240586
32    1 0.0000 18.103176 18.709126  7.396195
33    1 0.0000 21.120588 19.594745 12.551803
34    1 0.0000 24.138001 20.480364 17.707411
35    1 0.0000 27.155413 21.365983 22.863020
36    1 0.0000 18.098753 28.104090  2.240586
37    1 0.0000 21.116165 28.989709  7.396195
38    1 0.0000 24.133578 29.875328 12.551803
39    1 0.0000 27.150990 30.760947 17.707411
40    1 0.0000 30.168403 31.646566 22.863020
41    1 0.0000 21.111743 38.384673  2.240586
42    1 0.0000 24.129155 39.270292  7.396195
43    1 0.0000 27.146567 40.155911 12.551803
44    1 0.0000 30.163980 41.041530 17.707411
45    1 0.0000 33.181392 41.927149 22.863020
46    1 0.0000 24.124732 48.665256  2.240586
47    1 0.0000 27.142145 49.550875  7.396195
48    1 0.0000 30.159557 50.436494 12.551803
49    1 0.0000 33.176969 51.322113 17.707411
50    1 0.0000 36.194382 52.207732 22.863020
51    1 0.0000 18.111826  7.542924  2.240586
52    1 0.0000 21.129239  8.428543  7.396195
53    1 0.0000 24.146651  9.314162 12.551803
54    1 0.0000 27.164064 10.199781 17.707411
55    1 0.0000 30.181476 11.085399 22.863020
56    1 0.0000 21.124816 17.823507  2.240586
57    1 0.0000 24.142228 18.709126  7.396195
58    1 0.0000 27.159641 19.594745 12.551803
59    1 0.0000 30.177053 20.480364 17.707411
60    1 0.0000 33.194466 21.365983 22.863020
61    1 0.0000 24.137806 28.104090  2.240586
62    1 0.0000 27.155218 28.989709  7.396195
63    1 0.0000 30.172630 29.875328 12.551803
64    1 0.0000 33.190043 30.760947 17.707411
65    1 0.0000 36.207455 31.646566 22.863020
66    1 0.0000 27.150795 38.384673  2.240586
67    1 0.0000 30.168208 39.270292  7.396195
68    1 0.0000 33.185620 40.155911 12.551803
69    1 0.0000 36.203032 41.041530 17.707411
70    1 0.0000 39.220445 41.927149 22.863020
71    1 0.0000 30.163785 48.665256  2.240586
72    1 0.0000 33.181197 49.550875  7.396195
73    1 0.0000 36.198609 50.436494 12.551803
74    1 0.0000 39.216022 51.322113 17.707411
75    1 0.0000 42.233434 52.207732 22.863020
76    1 0.0000 24.150879  7.542924  2.240586
77    1 0.0000 27.168291  8.428543  7.396195
78    1 0.0000 30.185704  9.314162 12.551803
79    1 0.0000 33.203116 10.199781 17.707411
80    1 0.0000 36.220528 11.085399 22.863020
81    1 0.0000 27.163869 17.823507  2.240586
82    1 0.0000 30.181281 18.709126  7.396195
83    1 0.0000 33.198693 19.594745 12.551803
84    1 0.0000 36.216106 20.480364 17.707411
85    1 0.0000 39.233518 21.365983 22.863020
86    1 0.0000 30.176858 28.104090  2.240586
87    1 0.0000 33.194271 28.989709  7.396195
88    1 0.0000 36.211683 29.875328 12.551803
89    1 0.0000 39.229095 30.760947 17.707411
90    1 0.0000 42.246508 31.646566 22.863020
91    1 0.0000 33.189848 38.384673  2.240586
92    1 0.0000 36.207260 39.270292  7.396195
93    1 0.0000 39.224672 40.155911 12.551803
94    1 0.0000 42.242085 41.041530 17.707411
95    1 0.0000 45.259497 41.927149 22.863020
96    1 0.0000 36.202837 48.665256  2.240586
97    1 0.0000 39.220250 49.550875  7.396195
