Generated by pymatgen.io.lammps.data.LammpsData

3000  atoms

   4  atom types

0.000000 25.838570  xlo xhi
0.000000 29.758665  ylo yhi
0.000000 36.477960  zlo zhi
0.032340 -12.850355 -7.418770  xy xz yz

Masses

1   6.9410
2  51.9961
3  55.8450
4  15.9994

Atoms

1     1  0.5250   1.293885  3.713613  3.639815
2     1  0.5250  -1.276186  2.229859 10.935407
3     1  0.5250  -3.846257  0.746105 18.230999
4     1  0.5250  -6.416328 -0.737649 25.526591
5     1  0.5250  -8.986399 -2.221403 32.822183
6     1  0.5250   1.300353  9.665346  3.639815
7     1  0.5250  -1.269718  8.181592 10.935407
8     1  0.5250  -3.839789  6.697838 18.230999
9     1  0.5250  -6.409860  5.214084 25.526591
10    1  0.5250  -8.979931  3.730330 32.822183
11    1  0.5250   1.306821 15.617079  3.639815
12    1  0.5250  -1.263250 14.133325 10.935407
13    1  0.5250  -3.833321 12.649571 18.230999
14    1  0.5250  -6.403392 11.165817 25.526591
15    1  0.5250  -8.973463  9.682063 32.822183
16    1  0.5250   1.313289 21.568812  3.639815
17    1  0.5250  -1.256782 20.085058 10.935407
18    1  0.5250  -3.826853 18.601304 18.230999
19    1  0.5250  -6.396924 17.117550 25.526591
20    1  0.5250  -8.966995 15.633796 32.822183
21    1  0.5250   1.319757 27.520545  3.639815
22    1  0.5250  -1.250314 26.036791 10.935407
23    1  0.5250  -3.820385 24.553037 18.230999
24    1  0.5250  -6.390456 23.069283 25.526591
25    1  0.5250  -8.960527 21.585529 32.822183
26    1  0.5250   6.461599  3.713613  3.639815
27    1  0.5250   3.891528  2.229859 10.935407
28    1  0.5250   1.321457  0.746105 18.230999
29    1  0.5250  -1.248614 -0.737649 25.526591
30    1  0.5250  -3.818685 -2.221403 32.822183
31    1  0.5250   6.468067  9.665346  3.639815
32    1  0.5250   3.897996  8.181592 10.935407
33    1  0.5250   1.327925  6.697838 18.230999
34    1  0.5250  -1.242146  5.214084 25.526591
35    1  0.5250  -3.812217  3.730330 32.822183
36    1  0.5250   6.474535 15.617079  3.639815
37    1  0.5250   3.904464 14.133325 10.935407
38    1  0.5250   1.334393 12.649571 18.230999
39    1  0.5250  -1.235678 11.165817 25.526591
40    1  0.5250  -3.805749  9.682063 32.822183
41    1  0.5250   6.481003 21.568812  3.639815
42    1  0.5250   3.910932 20.085058 10.935407
43    1  0.5250   1.340861 18.601304 18.230999
44    1  0.5250  -1.229210 17.117550 25.526591
45    1  0.5250  -3.799281 15.633796 32.822183
46    1  0.5250   6.487471 27.520545  3.639815
47    1  0.5250   3.917400 26.036791 10.935407
48    1  0.5250   1.347329 24.553037 18.230999
49    1  0.5250  -1.222742 23.069283 25.526591
50    1  0.5250  -3.792813 21.585529 32.822183
51    1  0.5250  11.629313  3.713613  3.639815
52    1  0.5250   9.059242  2.229859 10.935407
53    1  0.5250   6.489171  0.746105 18.230999
54    1  0.5250   3.919100 -0.737649 25.526591
55    1  0.5250   1.349029 -2.221403 32.822183
56    1  0.5250  11.635781  9.665346  3.639815
57    1  0.5250   9.065710  8.181592 10.935407
58    1  0.5250   6.495639  6.697838 18.230999
59    1  0.5250   3.925568  5.214084 25.526591
60    1  0.5250   1.355497  3.730330 32.822183
61    1  0.5250  11.642249 15.617079  3.639815
62    1  0.5250   9.072178 14.133325 10.935407
63    1  0.5250   6.502107 12.649571 18.230999
64    1  0.5250   3.932036 11.165817 25.526591
65    1  0.5250   1.361965  9.682063 32.822183
66    1  0.5250  11.648717 21.568812  3.639815
67    1  0.5250   9.078646 20.085058 10.935407
68    1  0.5250   6.508575 18.601304 18.230999
69    1  0.5250   3.938504 17.117550 25.526591
70    1  0.5250   1.368433 15.633796 32.822183
71    1  0.5250  11.655185 27.520545  3.639815
72    1  0.5250   9.085114 26.036791 10.935407
73    1  0.5250   6.515043 24.553037 18.230999
74    1  0.5250   3.944972 23.069283 25.526591
75    1  0.5250   1.374901 21.585529 32.822183
76    1  0.5250  16.797027  3.713613  3.639815
77    1  0.5250  14.226956  2.229859 10.935407
78    1  0.5250  11.656885  0.746105 18.230999
79    1  0.5250   9.086814 -0.737649 25.526591
80    1  0.5250   6.516743 -2.221403 32.822183
81    1  0.5250  16.803495  9.665346  3.639815
82    1  0.5250  14.233424  8.181592 10.935407
83    1  0.5250  11.663353  6.697838 18.230999
84    1  0.5250   9.093282  5.214084 25.526591
85    1  0.5250   6.523211  3.730330 32.822183
86    1  0.5250  16.809963 15.617079  3.639815
87    1  0.5250  14.239892 14.133325 10.935407
88    1  0.5250  11.669821 12.649571 18.230999
89    1  0.5250   9.099750 11.165817 25.526591
90    1  0.5250   6.529679  9.682063 32.822183
91    1  0.5250  16.816431 21.568812  3.639815
92    1  0.5250  14.246360 20.085058 10.935407
93    1  0.5250  11.676289 18.601304 18.230999
94    1  0.5250   9.106218 17.117550 25.526591
95    1  0.5250   6.536147 15.633796 32.822183
