Generated by pymatgen.io.lammps.data.LammpsData

3000  atoms

   4  atom types

0.000000 26.839531  xlo xhi
0.000000 30.911487  ylo yhi
0.000000 37.891080  zlo zhi
0.033593 -13.348165 -7.706166  xy xz yz

Masses

1   6.9410
2  51.9961
3  55.8450
4  15.9994

Atoms

1     1  0.5250   1.065773  1.462948  2.742839
2     1  0.5250   0.463614 -0.423682  4.133223
3     1  0.5250  -1.354610  3.604968 11.564078
4     1  0.5250   0.356990  3.849521  1.221520
5     1  0.5250  -1.225617  2.352820  7.344556
6     1  0.5250  -0.041468 -0.252002  1.412644
7     1  0.5250  -0.051968 -0.980785  8.598385
8     1  0.5250  -0.337645  4.001816  5.622800
9     1  0.5250  -0.519429  0.299636  6.300808
10    2  1.5750   1.432098  0.707631 10.447850
11    2  1.5750  -3.190733  0.801575 10.447154
12    2  1.5750   0.494444  1.169523  8.333204
13    3  1.5750   2.299258  2.880833 10.642378
14    3  1.5750   1.520167  4.647528  9.041306
15    3  1.5750   2.182689  3.519907  5.197066
16    4 -1.0500   0.601145  1.872673  4.997400
17    4 -1.0500   1.931043  0.883374  6.582048
18    4 -1.0500   0.921070  4.302986 11.739479
19    4 -1.0500   3.168300  1.552283  1.751502
20    4 -1.0500  -0.993191  1.093827 10.173895
21    4 -1.0500  -0.316482  3.294099  3.281432
22    4 -1.0500  -2.254970  3.028775  9.505778
23    4 -1.0500   0.162455  2.965371  9.715957
24    4 -1.0500   0.979282  3.247485  7.278077
25    4 -1.0500  -2.110970 -1.244461  9.810028
26    4 -1.0500   2.607956 -0.314903  8.594558
27    1  0.5250  19.795631 12.181364  7.106079
28    4 -1.0500  -2.259387  0.520862  8.395053
29    4 -1.0500  22.477223  8.425457  5.726625
30    1  0.5250   1.413218 -1.725753 10.345443
31    2  1.5750   2.822076  1.524202  4.163032
32    3  1.5750   2.253358  3.518659  2.777905
33    4 -1.0500   2.848476  3.356462  0.316704
34    4 -1.0500   2.799392  2.113804  8.281199
35    4 -1.0500  -3.524793  3.152051 11.550988
36    4 -1.0500   1.101548  1.830786  0.400709
37    4 -1.0500   2.940320  5.223218 11.150617
38    2  1.5750   2.692727 -0.605027  4.934541
39    2  1.5750   1.128146  5.251480  4.001150
40    4 -1.0500  -0.350994 -0.632934 11.399613
41    4 -1.0500  -0.738452  4.701104  7.992998
42    4 -1.0500  -0.546122  5.378922 10.105900
43    4 -1.0500   3.138679  4.393084  7.107412
44    4 -1.0500   2.286893  5.426945  1.151142
45    4 -1.0500  -2.725919  5.724922 10.559227
46    2  1.5750   1.081630  5.682328  6.652700
47    4 -1.0500  -1.134832  5.688369  4.084939
48    1  0.5250   0.131602  6.091366  1.972580
49    4 -1.0500   0.358028  2.026523 12.247833
50    3  1.5750   2.724356  1.526581 12.494868
51    2  1.5750  -1.166084  1.016962  3.330196
52    1  0.5250  -2.396698 -0.785685 12.410157
53    4 -1.0500   2.997718  6.196773  8.758031
54    4 -1.0500   2.885593  6.355932  5.284881
55    1  0.5250  -1.832939  1.393789 12.291959
56    4 -1.0500  26.009341  7.561250  0.534082
57    4 -1.0500  -1.309230  6.301676  6.376793
58    4 -1.0500  17.006557 -1.854099  9.740938
59    4 -1.0500   4.905946 -2.167451 12.256911
60    4 -1.0500   3.980388  3.843726  9.365678
61    1  0.5250   7.128614  2.279899  2.388895
62    1  0.5250   3.904187  1.317539 10.153991
63    1  0.5250   8.171097  2.741168 10.360780
64    1  0.5250   6.832699  4.216874  0.927955
65    1  0.5250   5.284484  3.788900  7.184203
66    1  0.5250   9.314310  1.602274  8.540806
67    1  0.5250   4.144773 -0.337625  7.055946
68    1  0.5250   8.845159 -0.462921  7.419196
69    1  0.5250   6.607310 -0.303083  1.570735
70    1  0.5250   4.368415  4.196647  4.926833
71    1  0.5250   3.994752  2.074382  6.176523
72    2  1.5750   9.523532  1.451834  3.274370
73    2  1.5750   5.051540 -0.521688  9.218157
74    2  1.5750   5.321033  1.718563  1.124405
75    2  1.5750   6.160310  3.743517  9.653730
76    2  1.5750   9.526377 -0.261727  4.869385
77    3  1.5750  10.303461  3.749831  3.002718
78    3  1.5750   6.310011  1.657035 10.745567
79    3  1.5750   6.873548 -1.425448  7.910524
80    3  1.5750   7.299407  2.649260  7.767923
81    3  1.5750   8.336934  3.220792  4.225398
82    4 -1.0500   6.370206  4.405247  3.410343
83    4 -1.0500   7.151532  0.823333  3.939099
84    4 -1.0500   6.376442  2.548682  5.500098
85    4 -1.0500   5.068265  0.187038  5.110591
86    4 -1.0500   8.811681  0.460731  1.205757
87    4 -1.0500   5.279233  1.744967  8.337514
88    4 -1.0500   5.049481  2.220611  3.703586
89    4 -1.0500   9.760039  4.561302 10.946951
90    4 -1.0500  10.810800  1.475951  1.098170
91    4 -1.0500   5.229973  5.800393  9.377841
92    4 -1.0500   9.008007  2.911646  1.265583
93    4 -1.0500   6.380628  0.620737  6.919876
