Generated by pymatgen.io.lammps.data.LammpsData

3500  atoms

   4  atom types

0.000000 30.147895  xlo xhi
0.000000 26.108910  ylo yhi
0.000000 49.015660  zlo zhi
-15.073913 0.000436 -0.000760  xy xz yz

Masses

1    6.941000
2   54.938045
3  121.760000
4   15.999400

Atoms

1     1 0.0000  -0.000001  3.481110  8.870697
2     1 0.0000   0.000086  3.480957 18.673829
3     1 0.0000   0.000174  3.480805 28.476961
4     1 0.0000   0.000261  3.480653 38.280093
5     1 0.0000   0.000348  3.480501 48.083225
6     1 0.0000  -3.014783  8.702892  8.870697
7     1 0.0000  -3.014696  8.702739 18.673829
8     1 0.0000  -3.014609  8.702587 28.476961
9     1 0.0000  -3.014522  8.702435 38.280093
10    1 0.0000  -3.014434  8.702283 48.083225
11    1 0.0000  -6.029566 13.924674  8.870697
12    1 0.0000  -6.029479 13.924521 18.673829
13    1 0.0000  -6.029391 13.924369 28.476961
14    1 0.0000  -6.029304 13.924217 38.280093
15    1 0.0000  -6.029217 13.924065 48.083225
16    1 0.0000  -9.044348 19.146456  8.870697
17    1 0.0000  -9.044261 19.146303 18.673829
18    1 0.0000  -9.044174 19.146151 28.476961
19    1 0.0000  -9.044087 19.145999 38.280093
20    1 0.0000  -9.043999 19.145847 48.083225
21    1 0.0000 -12.059131 24.368238  8.870697
22    1 0.0000 -12.059044 24.368085 18.673829
23    1 0.0000 -12.058956 24.367933 28.476961
24    1 0.0000 -12.058869 24.367781 38.280093
25    1 0.0000 -12.058782 24.367629 48.083225
26    1 0.0000   6.029578  3.481110  8.870697
27    1 0.0000   6.029665  3.480957 18.673829
28    1 0.0000   6.029753  3.480805 28.476961
29    1 0.0000   6.029840  3.480653 38.280093
30    1 0.0000   6.029927  3.480501 48.083225
31    1 0.0000   3.014796  8.702892  8.870697
32    1 0.0000   3.014883  8.702739 18.673829
33    1 0.0000   3.014970  8.702587 28.476961
34    1 0.0000   3.015057  8.702435 38.280093
35    1 0.0000   3.015145  8.702283 48.083225
36    1 0.0000   0.000013 13.924674  8.870697
37    1 0.0000   0.000100 13.924521 18.673829
38    1 0.0000   0.000188 13.924369 28.476961
39    1 0.0000   0.000275 13.924217 38.280093
40    1 0.0000   0.000362 13.924065 48.083225
41    1 0.0000  -3.014769 19.146456  8.870697
42    1 0.0000  -3.014682 19.146303 18.673829
43    1 0.0000  -3.014595 19.146151 28.476961
44    1 0.0000  -3.014508 19.145999 38.280093
45    1 0.0000  -3.014420 19.145847 48.083225
46    1 0.0000  -6.029552 24.368238  8.870697
47    1 0.0000  -6.029465 24.368085 18.673829
48    1 0.0000  -6.029377 24.367933 28.476961
49    1 0.0000  -6.029290 24.367781 38.280093
50    1 0.0000  -6.029203 24.367629 48.083225
51    1 0.0000  12.059157  3.481110  8.870697
52    1 0.0000  12.059244  3.480957 18.673829
53    1 0.0000  12.059332  3.480805 28.476961
54    1 0.0000  12.059419  3.480653 38.280093
55    1 0.0000  12.059506  3.480501 48.083225
56    1 0.0000   9.044375  8.702892  8.870697
57    1 0.0000   9.044462  8.702739 18.673829
58    1 0.0000   9.044549  8.702587 28.476961
59    1 0.0000   9.044636  8.702435 38.280093
60    1 0.0000   9.044724  8.702283 48.083225
61    1 0.0000   6.029592 13.924674  8.870697
62    1 0.0000   6.029679 13.924521 18.673829
63    1 0.0000   6.029767 13.924369 28.476961
64    1 0.0000   6.029854 13.924217 38.280093
65    1 0.0000   6.029941 13.924065 48.083225
66    1 0.0000   3.014810 19.146456  8.870697
67    1 0.0000   3.014897 19.146303 18.673829
68    1 0.0000   3.014984 19.146151 28.476961
69    1 0.0000   3.015071 19.145999 38.280093
70    1 0.0000   3.015159 19.145847 48.083225
71    1 0.0000   0.000027 24.368238  8.870697
72    1 0.0000   0.000114 24.368085 18.673829
73    1 0.0000   0.000202 24.367933 28.476961
74    1 0.0000   0.000289 24.367781 38.280093
75    1 0.0000   0.000376 24.367629 48.083225
76    1 0.0000  18.088736  3.481110  8.870697
77    1 0.0000  18.088823  3.480957 18.673829
78    1 0.0000  18.088911  3.480805 28.476961
79    1 0.0000  18.088998  3.480653 38.280093
80    1 0.0000  18.089085  3.480501 48.083225
81    1 0.0000  15.073954  8.702892  8.870697
82    1 0.0000  15.074041  8.702739 18.673829
83    1 0.0000  15.074128  8.702587 28.476961
84    1 0.0000  15.074215  8.702435 38.280093
85    1 0.0000  15.074303  8.702283 48.083225
86    1 0.0000  12.059171 13.924674  8.870697
87    1 0.0000  12.059258 13.924521 18.673829
88    1 0.0000  12.059346 13.924369 28.476961
89    1 0.0000  12.059433 13.924217 38.280093
90    1 0.0000  12.059520 13.924065 48.083225
91    1 0.0000   9.044389 19.146456  8.870697
92    1 0.0000   9.044476 19.146303 18.673829
93    1 0.0000   9.044563 19.146151 28.476961
94    1 0.0000   9.044650 19.145999 38.280093
95    1 0.0000   9.044738 19.145847 48.083225
