Generated by pymatgen.io.lammps.data.LammpsData

3500  atoms

   4  atom types

0.000000 30.031839  xlo xhi
0.000000 26.008336  ylo yhi
0.000000 48.894490  zlo zhi
-15.015918 0.000000 0.000000  xy xz yz

Masses

1    6.9410
2   55.8450
3  121.7600
4   15.9994

Atoms

1     1 0.0000  -0.000003  3.467780  8.828819
2     1 0.0000  -0.000003  3.467780 18.607717
3     1 0.0000  -0.000003  3.467780 28.386615
4     1 0.0000  -0.000003  3.467780 38.165513
5     1 0.0000  -0.000003  3.467780 47.944411
6     1 0.0000  -3.003186  8.669447  8.828819
7     1 0.0000  -3.003186  8.669447 18.607717
8     1 0.0000  -3.003186  8.669447 28.386615
9     1 0.0000  -3.003186  8.669447 38.165513
10    1 0.0000  -3.003186  8.669447 47.944411
11    1 0.0000  -6.006370 13.871114  8.828819
12    1 0.0000  -6.006370 13.871114 18.607717
13    1 0.0000  -6.006370 13.871114 28.386615
14    1 0.0000  -6.006370 13.871114 38.165513
15    1 0.0000  -6.006370 13.871114 47.944411
16    1 0.0000  -9.009554 19.072781  8.828819
17    1 0.0000  -9.009554 19.072781 18.607717
18    1 0.0000  -9.009554 19.072781 28.386615
19    1 0.0000  -9.009554 19.072781 38.165513
20    1 0.0000  -9.009554 19.072781 47.944411
21    1 0.0000 -12.012737 24.274449  8.828819
22    1 0.0000 -12.012737 24.274449 18.607717
23    1 0.0000 -12.012737 24.274449 28.386615
24    1 0.0000 -12.012737 24.274449 38.165513
25    1 0.0000 -12.012737 24.274449 47.944411
26    1 0.0000   6.006365  3.467780  8.828819
27    1 0.0000   6.006365  3.467780 18.607717
28    1 0.0000   6.006365  3.467780 28.386615
29    1 0.0000   6.006365  3.467780 38.165513
30    1 0.0000   6.006365  3.467780 47.944411
31    1 0.0000   3.003181  8.669447  8.828819
32    1 0.0000   3.003181  8.669447 18.607717
33    1 0.0000   3.003181  8.669447 28.386615
34    1 0.0000   3.003181  8.669447 38.165513
35    1 0.0000   3.003181  8.669447 47.944411
36    1 0.0000  -0.000002 13.871114  8.828819
37    1 0.0000  -0.000002 13.871114 18.607717
38    1 0.0000  -0.000002 13.871114 28.386615
39    1 0.0000  -0.000002 13.871114 38.165513
40    1 0.0000  -0.000002 13.871114 47.944411
41    1 0.0000  -3.003186 19.072781  8.828819
42    1 0.0000  -3.003186 19.072781 18.607717
43    1 0.0000  -3.003186 19.072781 28.386615
44    1 0.0000  -3.003186 19.072781 38.165513
45    1 0.0000  -3.003186 19.072781 47.944411
46    1 0.0000  -6.006370 24.274449  8.828819
47    1 0.0000  -6.006370 24.274449 18.607717
48    1 0.0000  -6.006370 24.274449 28.386615
49    1 0.0000  -6.006370 24.274449 38.165513
50    1 0.0000  -6.006370 24.274449 47.944411
51    1 0.0000  12.012733  3.467780  8.828819
52    1 0.0000  12.012733  3.467780 18.607717
53    1 0.0000  12.012733  3.467780 28.386615
54    1 0.0000  12.012733  3.467780 38.165513
55    1 0.0000  12.012733  3.467780 47.944411
56    1 0.0000   9.009549  8.669447  8.828819
57    1 0.0000   9.009549  8.669447 18.607717
58    1 0.0000   9.009549  8.669447 28.386615
59    1 0.0000   9.009549  8.669447 38.165513
60    1 0.0000   9.009549  8.669447 47.944411
61    1 0.0000   6.006365 13.871114  8.828819
62    1 0.0000   6.006365 13.871114 18.607717
63    1 0.0000   6.006365 13.871114 28.386615
64    1 0.0000   6.006365 13.871114 38.165513
65    1 0.0000   6.006365 13.871114 47.944411
66    1 0.0000   3.003182 19.072781  8.828819
67    1 0.0000   3.003182 19.072781 18.607717
68    1 0.0000   3.003182 19.072781 28.386615
69    1 0.0000   3.003182 19.072781 38.165513
70    1 0.0000   3.003182 19.072781 47.944411
71    1 0.0000  -0.000002 24.274449  8.828819
72    1 0.0000  -0.000002 24.274449 18.607717
73    1 0.0000  -0.000002 24.274449 28.386615
74    1 0.0000  -0.000002 24.274449 38.165513
75    1 0.0000  -0.000002 24.274449 47.944411
76    1 0.0000  18.019100  3.467780  8.828819
77    1 0.0000  18.019100  3.467780 18.607717
78    1 0.0000  18.019100  3.467780 28.386615
79    1 0.0000  18.019100  3.467780 38.165513
80    1 0.0000  18.019100  3.467780 47.944411
81    1 0.0000  15.015917  8.669447  8.828819
82    1 0.0000  15.015917  8.669447 18.607717
83    1 0.0000  15.015917  8.669447 28.386615
84    1 0.0000  15.015917  8.669447 38.165513
85    1 0.0000  15.015917  8.669447 47.944411
86    1 0.0000  12.012733 13.871114  8.828819
87    1 0.0000  12.012733 13.871114 18.607717
88    1 0.0000  12.012733 13.871114 28.386615
89    1 0.0000  12.012733 13.871114 38.165513
90    1 0.0000  12.012733 13.871114 47.944411
91    1 0.0000   9.009550 19.072781  8.828819
92    1 0.0000   9.009550 19.072781 18.607717
93    1 0.0000   9.009550 19.072781 28.386615
94    1 0.0000   9.009550 19.072781 38.165513
95    1 0.0000   9.009550 19.072781 47.944411
