# Time-averaged data for fix frdf
# TimeStep Number-of-rows
# Row c_gr[1] c_gr[2] c_gr[3]
265400 200
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0 0
26 1.53 0 0
27 1.59 0 0
28 1.65 0 0
29 1.71 0 0
30 1.77 0 0
31 1.83 0 0
32 1.89 0 0
33 1.95 0 0
34 2.01 0 0
35 2.07 0 0
36 2.13 3.43687e-05 8.03818e-06
37 2.19 0.000458494 0.000121147
38 2.25 0.00419523 0.00121204
39 2.31 0.0229632 0.007489
40 2.37 0.0847506 0.0317942
41 2.43 0.218598 0.0973088
42 2.49 0.423158 0.229183
43 2.55 0.662598 0.44258
44 2.61 0.887485 0.735263
45 2.67 1.07505 1.09456
46 2.73 1.22598 1.50541
47 2.79 1.36307 1.95905
48 2.85 1.49072 2.4487
49 2.91 1.62703 2.97449
50 2.97 1.75745 3.53364
51 3.03 1.88848 4.12709
52 3.09 1.99392 4.74855
53 3.15 2.06486 5.39093
54 3.21 2.09415 6.04498
55 3.27 2.07436 6.69948
56 3.33 2.00871 7.34301
57 3.39 1.89687 7.96308
58 3.45 1.75913 8.55233
59 3.51 1.60649 9.10608
60 3.57 1.44498 9.62032
61 3.63 1.28844 10.0956
62 3.69 1.14545 10.5351
63 3.75 1.01793 10.9428
64 3.81 0.908764 11.324
65 3.87 0.81646 11.684
66 3.93 0.74182 12.0292
67 3.99 0.684501 12.3661
68 4.05 0.641798 12.7009
69 4.11 0.614785 13.0412
70 4.17 0.59799 13.3926
71 4.23 0.593032 13.7616
72 4.29 0.596617 14.1536
73 4.35 0.609034 14.5746
74 4.41 0.62633 15.0282
75 4.47 0.649275 15.5182
76 4.53 0.674507 16.0463
77 4.59 0.702514 16.6144
78 4.65 0.729539 17.2212
79 4.71 0.760691 17.8695
80 4.77 0.78989 18.5575
81 4.83 0.820599 19.2863
82 4.89 0.852096 20.0567
83 4.95 0.885313 20.8708
84 5.01 0.918844 21.7291
85 5.07 0.952991 22.633
86 5.13 0.987814 23.5834
87 5.19 1.01862 24.5762
88 5.25 1.04603 25.6082
89 5.31 1.07146 26.6764
90 5.37 1.09069 27.7744
91 5.43 1.11027 28.902
92 5.49 1.12274 30.0522
93 5.55 1.13409 31.224
94 5.61 1.14059 32.4134
95 5.67 1.14356 33.6175
96 5.73 1.14541 34.8357
97 5.79 1.14357 36.0662
98 5.85 1.1384 37.306
99 5.91 1.13415 38.5585
100 5.97 1.12397 39.8192
101 6.03 1.11435 41.09
102 6.09 1.10369 42.3712
103 6.15 1.09275 43.6649
104 6.21 1.08195 44.9731
105 6.27 1.07162 46.2985
106 6.33 1.06117 47.6424
107 6.39 1.05217 49.0088
108 6.45 1.04368 50.4
109 6.51 1.03484 51.8172
110 6.57 1.02828 53.2638
111 6.63 1.02051 54.7394
112 6.69 1.01183 56.2428
113 6.75 1.00418 57.7753
114 6.81 0.995243 59.3346
115 6.87 0.985898 60.9189
116 6.93 0.976405 62.5272
117 6.99 0.967304 64.1588
118 7.05 0.958114 65.8115
119 7.11 0.949749 67.4851
120 7.17 0.94142 69.1786
121 7.23 0.934759 70.8926
122 7.29 0.929999 72.6295
123 7.35 0.925696 74.3881
124 7.41 0.92334 76.1705
125 7.47 0.922907 77.9799
126 7.53 0.923425 79.8167
127 7.59 0.926242 81.6842
128 7.65 0.929246 83.5826
129 7.71 0.933815 85.5137
130 7.77 0.939733 87.4792
131 7.83 0.94723 89.482
132 7.89 0.953575 91.5188
133 7.95 0.960543 93.5917
134 8.01 0.968191 95.701
135 8.07 0.976144 97.8479
136 8.13 0.984049 100.033
137 8.19 0.991875 102.257
138 8.25 0.998795 104.519
139 8.31 1.00625 106.822
140 8.37 1.01441 109.169
141 8.43 1.02199 111.562
142 8.49 1.02852 114.001
