Generated by pymatgen.io.lammps.data.LammpsData

5250  atoms

   4  atom types

0.000000 38.499960  xlo xhi
0.000000 38.403545  ylo yhi
0.000000 51.705460  zlo zhi
-18.754125 1.774150 -15.550260  xy xz yz

Masses

1   6.941000
2  54.938045
3  78.960000
4  15.999400

Atoms

1     1  0.5250   4.074360   1.285613  9.613048
2     1  0.5250   4.429190  -1.824439 19.954140
3     1  0.5250   4.784020  -4.934491 30.295232
4     1  0.5250   5.138850  -8.044543 40.636324
5     1  0.5250   5.493680 -11.154595 50.977416
6     1  0.5250   0.323535   8.966322  9.613048
7     1  0.5250   0.678365   5.856270 19.954140
8     1  0.5250   1.033195   2.746218 30.295232
9     1  0.5250   1.388025  -0.363834 40.636324
10    1  0.5250   1.742855  -3.473886 50.977416
11    1  0.5250  -3.427290  16.647031  9.613048
12    1  0.5250  -3.072460  13.536979 19.954140
13    1  0.5250  -2.717630  10.426927 30.295232
14    1  0.5250  -2.362800   7.316875 40.636324
15    1  0.5250  -2.007970   4.206823 50.977416
16    1  0.5250  -7.178115  24.327740  9.613048
17    1  0.5250  -6.823285  21.217688 19.954140
18    1  0.5250  -6.468455  18.107636 30.295232
19    1  0.5250  -6.113625  14.997584 40.636324
20    1  0.5250  -5.758795  11.887532 50.977416
21    1  0.5250 -10.928940  32.008449  9.613048
22    1  0.5250 -10.574110  28.898397 19.954140
23    1  0.5250 -10.219280  25.788345 30.295232
24    1  0.5250  -9.864450  22.678293 40.636324
25    1  0.5250  -9.509620  19.568241 50.977416
26    1  0.5250  11.774352   1.285613  9.613048
27    1  0.5250  12.129182  -1.824439 19.954140
28    1  0.5250  12.484012  -4.934491 30.295232
29    1  0.5250  12.838842  -8.044543 40.636324
30    1  0.5250  13.193672 -11.154595 50.977416
31    1  0.5250   8.023527   8.966322  9.613048
32    1  0.5250   8.378357   5.856270 19.954140
33    1  0.5250   8.733187   2.746218 30.295232
34    1  0.5250   9.088017  -0.363834 40.636324
35    1  0.5250   9.442847  -3.473886 50.977416
36    1  0.5250   4.272702  16.647031  9.613048
37    1  0.5250   4.627532  13.536979 19.954140
38    1  0.5250   4.982362  10.426927 30.295232
39    1  0.5250   5.337192   7.316875 40.636324
40    1  0.5250   5.692022   4.206823 50.977416
41    1  0.5250   0.521877  24.327740  9.613048
42    1  0.5250   0.876707  21.217688 19.954140
43    1  0.5250   1.231537  18.107636 30.295232
44    1  0.5250   1.586367  14.997584 40.636324
45    1  0.5250   1.941197  11.887532 50.977416
46    1  0.5250  -3.228948  32.008449  9.613048
47    1  0.5250  -2.874118  28.898397 19.954140
48    1  0.5250  -2.519288  25.788345 30.295232
49    1  0.5250  -2.164458  22.678293 40.636324
50    1  0.5250  -1.809628  19.568241 50.977416
51    1  0.5250  19.474344   1.285613  9.613048
52    1  0.5250  19.829174  -1.824439 19.954140
53    1  0.5250  20.184004  -4.934491 30.295232
54    1  0.5250  20.538834  -8.044543 40.636324
55    1  0.5250  20.893664 -11.154595 50.977416
56    1  0.5250  15.723519   8.966322  9.613048
57    1  0.5250  16.078349   5.856270 19.954140
58    1  0.5250  16.433179   2.746218 30.295232
59    1  0.5250  16.788009  -0.363834 40.636324
60    1  0.5250  17.142839  -3.473886 50.977416
61    1  0.5250  11.972694  16.647031  9.613048
62    1  0.5250  12.327524  13.536979 19.954140
63    1  0.5250  12.682354  10.426927 30.295232
64    1  0.5250  13.037184   7.316875 40.636324
65    1  0.5250  13.392014   4.206823 50.977416
66    1  0.5250   8.221869  24.327740  9.613048
67    1  0.5250   8.576699  21.217688 19.954140
68    1  0.5250   8.931529  18.107636 30.295232
69    1  0.5250   9.286359  14.997584 40.636324
70    1  0.5250   9.641189  11.887532 50.977416
71    1  0.5250   4.471044  32.008449  9.613048
72    1  0.5250   4.825874  28.898397 19.954140
73    1  0.5250   5.180704  25.788345 30.295232
74    1  0.5250   5.535534  22.678293 40.636324
75    1  0.5250   5.890364  19.568241 50.977416
76    1  0.5250  27.174336   1.285613  9.613048
77    1  0.5250  27.529166  -1.824439 19.954140
78    1  0.5250  27.883996  -4.934491 30.295232
79    1  0.5250  28.238826  -8.044543 40.636324
80    1  0.5250  28.593656 -11.154595 50.977416
81    1  0.5250  23.423511   8.966322  9.613048
82    1  0.5250  23.778341   5.856270 19.954140
83    1  0.5250  24.133171   2.746218 30.295232
84    1  0.5250  24.488001  -0.363834 40.636324
85    1  0.5250  24.842831  -3.473886 50.977416
86    1  0.5250  19.672686  16.647031  9.613048
87    1  0.5250  20.027516  13.536979 19.954140
88    1  0.5250  20.382346  10.426927 30.295232
89    1  0.5250  20.737176   7.316875 40.636324
90    1  0.5250  21.092006   4.206823 50.977416
91    1  0.5250  15.921861  24.327740  9.613048
92    1  0.5250  16.276691  21.217688 19.954140
93    1  0.5250  16.631521  18.107636 30.295232
94    1  0.5250  16.986351  14.997584 40.636324
95    1  0.5250  17.341181  11.887532 50.977416
