# Time-averaged data for fix frdf
# TimeStep Number-of-rows
# Row c_gr[1] c_gr[2] c_gr[3]
15000 200
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0 0
26 1.53 0 0
27 1.59 0 0
28 1.65 0 0
29 1.71 0 0
30 1.77 0 0
31 1.83 0 0
32 1.89 0 0
33 1.95 0 0
34 2.01 0 0
35 2.07 0 0
36 2.13 0 0
37 2.19 0 0
38 2.25 0 0
39 2.31 1.83862e-05 5.07937e-06
40 2.37 0.000455112 0.000137143
41 2.43 0.0140539 0.00441651
42 2.49 0.181926 0.0625879
43 2.55 1.10193 0.431891
44 2.61 3.35165 1.60682
45 2.67 5.98624 3.79924
46 2.73 6.87701 6.42701
47 2.79 5.70346 8.6991
48 2.85 3.83451 10.2908
49 2.91 2.14421 11.2175
50 2.97 1.0047 11.669
51 3.03 0.411069 11.8609
52 3.09 0.166094 11.9417
53 3.15 0.0815284 11.983
54 3.21 0.0537868 12.0114
55 3.27 0.0484573 12.038
56 3.33 0.0509398 12.0671
57 3.39 0.0622085 12.1039
58 3.45 0.089616 12.1588
59 3.51 0.148312 12.2529
60 3.57 0.253591 12.4192
61 3.63 0.412912 12.6989
62 3.69 0.597105 13.1164
63 3.75 0.757948 13.6634
64 3.81 0.854518 14.2994
65 3.87 0.866071 14.964
66 3.93 0.831501 15.6217
67 3.99 0.781508 16.2589
68 4.05 0.688597 16.8371
69 4.11 0.550037 17.3123
70 4.17 0.399675 17.6674
71 4.23 0.310269 17.9515
72 4.29 0.313159 18.2473
73 4.35 0.373185 18.6101
74 4.41 0.448479 19.0584
75 4.47 0.578349 19.6525
76 4.53 0.878047 20.5792
77 4.59 1.38295 22.0776
78 4.65 1.98896 24.2878
79 4.71 2.4825 27.1151
80 4.77 2.68472 30.2473
81 4.83 2.53971 33.2814
82 4.89 2.12322 35.8779
83 4.95 1.6147 37.8992
84 5.01 1.20365 39.4427
85 5.07 1.0014 40.7598
86 5.13 0.972077 42.0714
87 5.19 0.995907 43.4473
88 5.25 0.998873 44.8588
89 5.31 0.985841 46.2837
90 5.37 0.972176 47.7206
91 5.43 0.922375 49.1141
92 5.49 0.831488 50.3972
93 5.55 0.744907 51.5717
94 5.61 0.690273 52.684
95 5.67 0.656754 53.7656
96 5.73 0.623261 54.8141
97 5.79 0.604925 55.8533
98 5.85 0.628882 56.957
99 5.91 0.704398 58.2193
100 5.97 0.789443 59.6628
101 6.03 0.840787 61.2303
102 6.09 0.846464 62.8386
103 6.15 0.827868 64.4421
104 6.21 0.821504 66.065
105 6.27 0.848134 67.7742
106 6.33 0.896749 69.6169
107 6.39 0.930933 71.5661
108 6.45 0.928248 73.5455
109 6.51 0.906984 75.515
110 6.57 0.904963 77.5171
111 6.63 0.947251 79.6529
112 6.69 1.01412 81.9821
113 6.75 1.05193 84.4412
114 6.81 1.02274 86.8726
115 6.87 0.956294 89.1847
116 6.93 0.926648 91.4647
117 6.99 0.987771 93.9406
118 7.05 1.15815 96.8971
119 7.11 1.39087 100.51
120 7.17 1.59024 104.707
121 7.23 1.68473 109.225
122 7.29 1.66788 113.767
123 7.35 1.57319 118.118
124 7.41 1.45147 122.196
125 7.47 1.30082 125.91
126 7.53 1.13471 129.2
127 7.59 0.971144 132.061
128 7.65 0.836402 134.563
129 7.71 0.755946 136.863
130 7.77 0.724742 139.104
131 7.83 0.713069 141.345
132 7.89 0.700339 143.579
133 7.95 0.690969 145.817
134 8.01 0.696578 148.107
135 8.07 0.701528 150.449
136 8.13 0.700466 152.822
137 8.19 0.702633 155.237
138 8.25 0.722358 157.758
139 8.31 0.773396 160.498
140 8.37 0.852128 163.562
141 8.43 0.945036 167.01
142 8.49 1.03703 170.847
143 8.55 1.09737 174.963
144 8.61 1.11551 179.203
145 8.67 1.09005 183.401
