Generated by pymatgen.io.lammps.data.LammpsData

5250  atoms

   4  atom types

0.000000 39.407352  xlo xhi
0.000000 39.308664  ylo yhi
0.000000 52.924087  zlo zhi
-19.196134 1.815964 -15.916758  xy xz yz

Masses

1   6.941000
2  54.938045
3  78.960000
4  15.999400

Atoms

1     1  0.5250   3.044219   2.957570  3.726796
2     1  0.5250   1.643834   2.209181  6.083379
3     2  1.3600   5.909953   0.934207  8.205541
4     2  1.3600   4.389539   2.053210  6.029391
5     3 -0.3206   4.305914   0.245176  3.852169
6     3 -0.3206   5.460741   0.758702  0.298934
7     3 -0.3206   3.073019   1.146921  1.706569
8     4 -0.3206   3.125219  -0.323064  6.139726
9     4 -0.3206   5.490516   2.308067  2.535721
10    4 -0.3206   1.543313   0.624096  3.957085
11    4 -0.3206   0.196795  -0.366331  6.043033
12    4 -0.3206   0.251750   1.628872  1.610019
13    4 -0.3206  -0.963310   2.286305  5.980568
14    4 -0.3206   5.686713  -0.657144  5.988007
15    3 -0.3206   6.890447  -0.224897  2.521424
16    4 -0.3206   6.723274   1.293330  4.680890
17    1  0.5250   3.264977   1.324217  8.339718
18    4 -0.3206   4.486346  -1.644426  8.375983
19    4 -0.3206   1.788555  -1.258776  8.353441
20    4 -0.3206   0.535024   1.368685  8.266873
21    4 -0.3206   7.015642   3.056598  6.717540
22    1  0.5250  10.329160   2.853647  2.187695
23    1  0.5250   9.560253   2.502602  6.399836
24    2  1.3600  13.409720   0.419247  6.768940
25    2  1.3600  11.877668   1.725894  4.494376
26    2  1.3600  15.790582  -1.080704  4.482367
27    4 -0.3206  20.019079  19.416862  0.752564
28    4 -0.3206  14.449536   1.585682  4.653108
29    4 -0.3206  10.888627   0.027456  6.283991
30    4 -0.3206  13.144423   2.624316  2.226315
31    4 -0.3206   9.341761   0.894965  3.915703
32    4 -0.3206   8.196217   0.284688  6.888600
33    4 -0.3206   7.875050   2.107755  1.459094
34    4 -0.3206  14.859115   2.893415  6.932491
35    4 -0.3206  12.125260   3.056753  6.807380
36    3 -0.3206  11.626672   0.249193  2.274836
37    3 -0.3206  14.342528   0.063033  2.244736
38    2  1.3600   8.162205  -1.273718  4.764271
39    4 -0.3206   7.164760  -1.913013  8.209957
40    4 -0.3206  13.004017  -0.898679  4.447441
41    1  0.5250  17.490475   2.715346  6.623567
42    2  1.3600  21.379793   0.693909  7.518440
43    2  1.3600  19.826578   2.075704  5.064044
44    3 -0.3206  19.527668   0.591642  2.923915
45    3 -0.3206  20.690202   1.673547  0.515910
46    3 -0.3206  18.092366   1.801961  0.735474
47    4 -0.3206  22.439819   1.799221  5.059828
48    4 -0.3206  18.915028   0.161063  6.704740
49    4 -0.3206  20.912081   3.055416  2.716977
50    4 -0.3206  17.118723   1.146512  4.380830
51    4 -0.3206  16.136310   0.211794  6.790095
52    4 -0.3206  15.701969   2.315067  2.187940
53    4 -0.3206  22.663242   3.166447  7.337599
54    4 -0.3206  21.197453  -0.547147  5.140578
55    4 -0.3206  22.671633  -1.780959  7.408758
56    3 -0.3206  22.264310   0.452306  2.750096
57    4 -0.3206  17.102102  -0.359568  2.001785
58    1  0.5250  26.457582   2.935008  3.043730
59    1  0.5250  24.965085   2.273200  5.456882
60    2  1.3600  29.390909   0.928319  7.552322
61    2  1.3600  27.747212   2.027614  5.251345
62    3 -0.3206  27.623638   0.344694  3.074068
63    3 -0.3206  29.119010   0.924214  0.706408
64    3 -0.3206  26.331510   1.314660  0.767368
65    4 -0.3206  30.546329   1.736514  5.149734
66    4 -0.3206  26.347921  -0.351625  5.538657
67    4 -0.3206  29.180159   2.756654  2.962525
68    4 -0.3206  24.876583   0.809326  3.123984
69    4 -0.3206  24.058746   0.513797  7.280887
70    4 -0.3206  23.455950   1.622235  0.761425
71    4 -0.3206  31.468197   2.139132  1.701426
72    4 -0.3206  29.073886  -0.644475  5.230620
73    1  0.5250  26.621137   1.133990  7.739475
74    4 -0.3206  27.761405  -1.398402  7.732901
75    4 -0.3206  30.504267  -1.703289  7.631645
76    3 -0.3206  30.501478   0.007572  2.895803
77    2  1.3600  23.848070  -0.786905  4.956776
78    2  1.3600  31.836988  -0.912006  5.384652
79    3 -0.3206  25.319720  -2.168421  7.348827
80    1  0.5250  33.067313   2.888193  6.080424
81    2  1.3600  35.866996   2.638864  6.080101
82    3 -0.3206  35.565907   1.017436  3.754537
83    3 -0.3206  34.215423   2.017984  1.592247
84    4 -0.3206  38.351394   0.621367  3.789918
85    4 -0.3206  34.290292   0.296792  6.218614
86    4 -0.3206  36.879457   1.781404  1.509513
87    4 -0.3206  32.924936   1.151775  3.929151
88    4 -0.3206  32.060761   0.736383  7.582420
89    4 -0.3206  36.979664  -0.018266  5.999117
90    3 -0.3206  33.243545  -1.819717  7.512962
91    4 -0.3206  32.784058  -0.455735  1.614326
92    2  1.3600  37.289908   1.490056  8.307411
93    4 -0.3206  38.511635  -1.094505  8.305391
