# Time-averaged data for fix frdf
# TimeStep Number-of-rows
# Row c_gr[1] c_gr[2] c_gr[3]
99000 200
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0 0
26 1.53 0 0
27 1.59 0 0
28 1.65 0 0
29 1.71 0 0
30 1.77 0 0
31 1.83 0 0
32 1.89 0 0
33 1.95 0 0
34 2.01 0 0
35 2.07 3.71278e-06 7.68049e-07
36 2.13 2.25864e-05 5.37634e-06
37 2.19 0.000340803 7.91091e-05
38 2.25 0.00237298 0.000620584
39 2.31 0.0129737 0.00372504
40 2.37 0.0502842 0.0163687
41 2.43 0.148271 0.0553548
42 2.49 0.343468 0.149509
43 2.55 0.655809 0.3363
44 2.61 1.05643 0.647591
45 2.67 1.51047 1.10614
46 2.73 1.96413 1.71766
47 2.79 2.38441 2.47609
48 2.85 2.73968 3.36492
49 2.91 2.994 4.35711
50 2.97 3.08174 5.40414
51 3.03 2.97849 6.44583
52 3.09 2.7123 7.42585
53 3.15 2.35876 8.3083
54 3.21 1.98626 9.07924
55 3.27 1.64416 9.74157
56 3.33 1.36664 10.313
57 3.39 1.1402 10.8076
58 3.45 0.963201 11.2411
59 3.51 0.824253 11.6259
60 3.57 0.71104 11.9701
61 3.63 0.621505 12.2822
62 3.69 0.549485 12.5684
63 3.75 0.491107 12.834
64 3.81 0.444114 13.0834
65 3.87 0.407622 13.3215
66 3.93 0.383088 13.5543
67 3.99 0.365871 13.7854
68 4.05 0.360083 14.0218
69 4.11 0.364045 14.2701
70 4.17 0.379055 14.5378
71 4.23 0.404276 14.833
72 4.29 0.440483 15.1647
73 4.35 0.490011 15.5441
74 4.41 0.54735 15.9794
75 4.47 0.616702 16.4822
76 4.53 0.692237 17.0602
77 4.59 0.775138 17.7225
78 4.65 0.856641 18.4707
79 4.71 0.938792 19.3089
80 4.77 1.01761 20.2376
81 4.83 1.08613 21.2504
82 4.89 1.14788 22.3443
83 4.95 1.19622 23.5092
84 5.01 1.22869 24.7329
85 5.07 1.25515 26.0121
86 5.13 1.275 27.3421
87 5.19 1.29078 28.7202
88 5.25 1.30957 30.1505
89 5.31 1.32915 31.6339
90 5.37 1.35287 33.1744
91 5.43 1.38061 34.7761
92 5.49 1.40378 36.4334
93 5.55 1.42046 38.1383
94 5.61 1.4254 39.877
95 5.67 1.41853 41.6348
96 5.73 1.39774 43.3948
97 5.79 1.36272 45.1382
98 5.85 1.31207 46.8445
99 5.91 1.25005 48.498
100 5.97 1.17549 50.0809
101 6.03 1.09226 51.5802
102 6.09 1.00086 52.983
103 6.15 0.907184 54.2832
104 6.21 0.815498 55.4807
105 6.27 0.730969 56.5827
106 6.33 0.661248 57.6079
107 6.39 0.606797 58.5767
108 6.45 0.570723 59.5158
109 6.51 0.552529 60.4523
110 6.57 0.549241 61.4096
111 6.63 0.559633 62.4109
112 6.69 0.58311 63.4797
113 6.75 0.617117 64.6355
114 6.81 0.661062 65.8978
115 6.87 0.710123 67.2777
116 6.93 0.764033 68.7859
117 6.99 0.820959 70.43
118 7.05 0.87868 72.2128
119 7.11 0.939425 74.1416
120 7.17 1.00119 76.2203
121 7.23 1.06044 78.4449
122 7.29 1.11722 80.8121
123 7.35 1.17359 83.3242
124 7.41 1.22368 85.9695
125 7.47 1.26552 88.7345
126 7.53 1.29873 91.6039
127 7.59 1.31831 94.5511
128 7.65 1.32263 97.5463
129 7.71 1.31438 100.564
130 7.77 1.28929 103.569
131 7.83 1.2529 106.535
132 7.89 1.21113 109.45
133 7.95 1.16602 112.304
134 8.01 1.11986 115.092
135 8.07 1.07889 117.824
136 8.13 1.0439 120.51
137 8.19 1.0177 123.17
138 8.25 0.99763 125.816
139 8.31 0.984304 128.464
140 8.37 0.974438 131.121
141 8.43 0.966439 133.79
142 8.49 0.959317 136.475
