# Time-averaged data for fix frdf
# TimeStep Number-of-rows
# Row c_gr[1] c_gr[2] c_gr[3]
345400 200
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0 0
26 1.53 0 0
27 1.59 0 0
28 1.65 0 0
29 1.71 0 0
30 1.77 0 0
31 1.83 0 0
32 1.89 0 0
33 1.95 1.77295e-06 2.97859e-07
34 2.01 1.0092e-05 2.08502e-06
35 2.07 0.000219103 4.19982e-05
36 2.13 0.00167919 0.000360112
37 2.19 0.00888502 0.00210199
38 2.25 0.0326078 0.00865967
39 2.31 0.088393 0.0267576
40 2.37 0.191419 0.0660721
41 2.43 0.353995 0.138537
42 2.49 0.58099 0.25773
43 2.55 0.851959 0.434887
44 2.61 1.10403 0.67148
45 2.67 1.29088 0.95991
46 2.73 1.39769 1.28828
47 2.79 1.44355 1.64485
48 2.85 1.46415 2.02254
49 2.91 1.48722 2.41985
50 2.97 1.51443 2.83577
51 3.03 1.54504 3.26956
52 3.09 1.56314 3.71795
53 3.15 1.55878 4.17493
54 3.21 1.54121 4.63709
55 3.27 1.50542 5.0997
56 3.33 1.45787 5.55897
57 3.39 1.41128 6.01514
58 3.45 1.36076 6.4665
59 3.51 1.31431 6.91364
60 3.57 1.27175 7.3575
61 3.63 1.23412 7.79909
62 3.69 1.20385 8.24066
63 3.75 1.17477 8.68259
64 3.81 1.1495 9.12635
65 3.87 1.12122 9.57099
66 3.93 1.09316 10.017
67 3.99 1.06072 10.4632
68 4.05 1.02675 10.9088
69 4.11 0.991279 11.3538
70 4.17 0.956045 11.7981
71 4.23 0.922878 12.2432
72 4.29 0.892035 12.6895
73 4.35 0.863522 13.1381
74 4.41 0.840317 13.5916
75 4.47 0.818943 14.0508
76 4.53 0.802646 14.5181
77 4.59 0.78941 14.9957
78 4.65 0.779947 15.4857
79 4.71 0.776893 15.9922
80 4.77 0.778033 16.5182
81 4.83 0.784859 17.0681
82 4.89 0.798999 17.6472
83 4.95 0.815076 18.2577
84 5.01 0.835703 18.9034
85 5.07 0.860269 19.5875
86 5.13 0.888928 20.3134
87 5.19 0.918071 21.0816
88 5.25 0.944519 21.8901
89 5.31 0.971261 22.7385
90 5.37 0.995048 23.624
91 5.43 1.0149 24.5435
92 5.49 1.02979 25.4912
93 5.55 1.04181 26.4647
94 5.61 1.04999 27.4598
95 5.67 1.05745 28.4753
96 5.73 1.06115 29.5073
97 5.79 1.06425 30.5549
98 5.85 1.06582 31.616
99 5.91 1.0666 32.6909
100 5.97 1.06693 33.7791
101 6.03 1.06617 34.8798
102 6.09 1.06557 35.9945
103 6.15 1.06276 37.1218
104 6.21 1.05938 38.2614
105 6.27 1.05514 39.4141
106 6.33 1.05249 40.5828
107 6.39 1.04693 41.7658
108 6.45 1.04105 42.9633
109 6.51 1.03701 44.1794
110 6.57 1.03013 45.412
111 6.63 1.0245 46.664
112 6.69 1.01946 47.9372
113 6.75 1.01507 49.2333
114 6.81 1.01095 50.5539
115 6.87 1.00603 51.8986
116 6.93 1.00234 53.2698
117 6.99 0.998923 54.6676
118 7.05 0.995556 56.0922
119 7.11 0.993661 57.5453
120 7.17 0.991211 59.0263
121 7.23 0.988496 60.5339
122 7.29 0.987032 62.0693
123 7.35 0.985759 63.6324
124 7.41 0.98531 65.2234
125 7.47 0.984382 66.841
126 7.53 0.984608 68.4866
127 7.59 0.984286 70.159
128 7.65 0.984401 71.8583
129 7.71 0.985171 73.5852
130 7.77 0.986435 75.3397
131 7.83 0.986852 77.1207
132 7.89 0.987276 78.9279
133 7.95 0.989011 80.7631
134 8.01 0.990741 82.6267
135 8.07 0.990642 84.5147
136 8.13 0.991479 86.4287
137 8.19 0.992599 88.3697
138 8.25 0.992285 90.3347
139 8.31 0.991814 92.3229
140 8.37 0.991732 94.3359
