Generated by pymatgen.io.lammps.data.LammpsData

3888  atoms

   4  atom types

0.000000 34.712615  xlo xhi
0.000000 35.295938  ylo yhi
0.000000 54.144101  zlo zhi
2.081906 15.202832 5.344110  xy xz yz

Masses

1  132.905452
2    6.941000
3   47.867000
4   15.999400

Atoms

1     1  0.7900  4.839287  5.653356  6.464699
2     1  0.7900  7.373092  6.544041 15.488716
3     1  0.7900  9.906898  7.434726 24.512733
4     1  0.7900 12.440703  8.325411 33.536749
5     1  0.7900 14.974509  9.216096 42.560766
6     1  0.7900 17.508314 10.106781 51.584783
7     1  0.7900  5.186271 11.536012  6.464699
8     1  0.7900  7.720077 12.426697 15.488716
9     1  0.7900 10.253882 13.317382 24.512733
10    1  0.7900 12.787688 14.208068 33.536749
11    1  0.7900 15.321493 15.098753 42.560766
12    1  0.7900 17.855298 15.989438 51.584783
13    1  0.7900  5.533256 17.418669  6.464699
14    1  0.7900  8.067061 18.309354 15.488716
15    1  0.7900 10.600867 19.200039 24.512733
16    1  0.7900 13.134672 20.090724 33.536749
17    1  0.7900 15.668477 20.981409 42.560766
18    1  0.7900 18.202283 21.872094 51.584783
19    1  0.7900  5.880240 23.301325  6.464699
20    1  0.7900  8.414045 24.192010 15.488716
21    1  0.7900 10.947851 25.082695 24.512733
22    1  0.7900 13.481656 25.973380 33.536749
23    1  0.7900 16.015462 26.864065 42.560766
24    1  0.7900 18.549267 27.754750 51.584783
25    1  0.7900  6.227224 29.183981  6.464699
26    1  0.7900  8.761030 30.074666 15.488716
27    1  0.7900 11.294835 30.965351 24.512733
28    1  0.7900 13.828641 31.856036 33.536749
29    1  0.7900 16.362446 32.746721 42.560766
30    1  0.7900 18.896251 33.637406 51.584783
31    1  0.7900  6.574209 35.066637  6.464699
32    1  0.7900  9.108014 35.957322 15.488716
33    1  0.7900 11.641820 36.848007 24.512733
34    1  0.7900 14.175625 37.738693 33.536749
35    1  0.7900 16.709430 38.629378 42.560766
36    1  0.7900 19.243236 39.520063 51.584783
37    1  0.7900 10.624723  5.653356  6.464699
38    1  0.7900 13.158528  6.544041 15.488716
39    1  0.7900 15.692334  7.434726 24.512733
40    1  0.7900 18.226139  8.325411 33.536749
41    1  0.7900 20.759944  9.216096 42.560766
42    1  0.7900 23.293750 10.106781 51.584783
43    1  0.7900 10.971707 11.536012  6.464699
44    1  0.7900 13.505512 12.426697 15.488716
45    1  0.7900 16.039318 13.317382 24.512733
46    1  0.7900 18.573123 14.208068 33.536749
47    1  0.7900 21.106929 15.098753 42.560766
48    1  0.7900 23.640734 15.989438 51.584783
49    1  0.7900 11.318691 17.418669  6.464699
50    1  0.7900 13.852497 18.309354 15.488716
51    1  0.7900 16.386302 19.200039 24.512733
52    1  0.7900 18.920108 20.090724 33.536749
53    1  0.7900 21.453913 20.981409 42.560766
54    1  0.7900 23.987718 21.872094 51.584783
55    1  0.7900 11.665676 23.301325  6.464699
56    1  0.7900 14.199481 24.192010 15.488716
57    1  0.7900 16.733287 25.082695 24.512733
58    1  0.7900 19.267092 25.973380 33.536749
59    1  0.7900 21.800897 26.864065 42.560766
60    1  0.7900 24.334703 27.754750 51.584783
61    1  0.7900 12.012660 29.183981  6.464699
62    1  0.7900 14.546466 30.074666 15.488716
63    1  0.7900 17.080271 30.965351 24.512733
64    1  0.7900 19.614076 31.856036 33.536749
65    1  0.7900 22.147882 32.746721 42.560766
66    1  0.7900 24.681687 33.637406 51.584783
67    1  0.7900 12.359645 35.066637  6.464699
68    1  0.7900 14.893450 35.957322 15.488716
69    1  0.7900 17.427255 36.848007 24.512733
70    1  0.7900 19.961061 37.738693 33.536749
71    1  0.7900 22.494866 38.629378 42.560766
72    1  0.7900 25.028672 39.520063 51.584783
73    1  0.7900 16.410158  5.653356  6.464699
74    1  0.7900 18.943964  6.544041 15.488716
75    1  0.7900 21.477769  7.434726 24.512733
76    1  0.7900 24.011575  8.325411 33.536749
77    1  0.7900 26.545380  9.216096 42.560766
78    1  0.7900 29.079185 10.106781 51.584783
79    1  0.7900 16.757143 11.536012  6.464699
80    1  0.7900 19.290948 12.426697 15.488716
81    1  0.7900 21.824754 13.317382 24.512733
82    1  0.7900 24.358559 14.208068 33.536749
83    1  0.7900 26.892364 15.098753 42.560766
84    1  0.7900 29.426170 15.989438 51.584783
85    1  0.7900 17.104127 17.418669  6.464699
86    1  0.7900 19.637933 18.309354 15.488716
87    1  0.7900 22.171738 19.200039 24.512733
88    1  0.7900 24.705543 20.090724 33.536749
89    1  0.7900 27.239349 20.981409 42.560766
90    1  0.7900 29.773154 21.872094 51.584783
91    1  0.7900 17.451112 23.301325  6.464699
92    1  0.7900 19.984917 24.192010 15.488716
93    1  0.7900 22.518722 25.082695 24.512733
94    1  0.7900 25.052528 25.973380 33.536749
95    1  0.7900 27.586333 26.864065 42.560766
96    1  0.7900 30.120139 27.754750 51.584783
97    1  0.7900 17.798096 29.183981  6.464699
