# Time-averaged data for fix rdfout
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
2000 200
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0.000979566 9.35279e-05
26 1.53 0.00316489 0.000420875
27 1.59 0.0108849 0.00163674
28 1.65 0.0198268 0.0040217
29 1.71 0.0416255 0.00939955
30 1.77 0.230744 0.0413393
31 1.83 0.569524 0.125608
32 1.89 0.373344 0.18453
33 1.95 0.852594 0.327768
34 2.01 0.63793 0.441639
35 2.07 0.776376 0.588618
36 2.13 0.838239 0.75664
37 2.19 0.95603 0.959222
38 2.25 1.17146 1.22124
39 2.31 1.19074 1.50196
40 2.37 1.25371 1.81308
41 2.43 1.30119 2.15254
42 2.49 1.41867 2.54115
43 2.55 1.32616 2.92214
44 2.61 1.38398 3.33866
45 2.67 1.41914 3.78563
46 2.73 1.27607 4.20581
47 2.79 1.21335 4.62308
48 2.85 1.23551 5.06645
49 2.91 1.31921 5.56
50 2.97 1.13745 6.00327
51 3.03 1.2568 6.51305
52 3.09 1.22177 7.02843
53 3.15 1.13172 7.52455
54 3.21 1.03321 7.9949
55 3.27 1.08275 8.50641
56 3.33 0.929254 8.96165
57 3.39 1.04494 9.49219
58 3.45 0.914914 9.9733
59 3.51 0.996281 10.5156
60 3.57 0.891484 11.0175
61 3.63 0.922184 11.5544
62 3.69 1.00112 12.1566
63 3.75 0.974381 12.762
64 3.81 0.857452 13.3119
65 3.87 0.886976 13.8988
66 3.93 0.957966 14.5524
67 3.99 0.869134 15.1637
68 4.05 0.905912 15.8202
69 4.11 0.923832 16.5096
70 4.17 0.975842 17.2593
71 4.23 0.927118 17.9922
72 4.29 0.950024 18.7646
73 4.35 0.958959 19.5663
74 4.41 0.964937 20.3954
75 4.47 0.968079 21.25
76 4.53 0.928316 22.0916
77 4.59 0.976504 23.0005
78 4.65 0.985196 23.9416
79 4.71 0.965313 24.8877
80 4.77 1.05623 25.9494
81 4.83 1.02394 27.0047
82 4.89 1.01335 28.0752
83 4.95 1.00219 29.1601
84 5.01 1.03459 30.3074
85 5.07 1.02548 31.4719
86 5.13 1.03386 32.674
87 5.19 1.02703 33.8961
88 5.25 1.04969 35.1743
89 5.31 1.02712 36.4538
90 5.37 0.992586 37.7183
91 5.43 1.05948 39.0984
92 5.49 1.02381 40.4617
93 5.55 1.00059 41.8233
94 5.61 1.03352 43.2603
95 5.67 0.934845 44.5881
96 5.73 0.936068 45.9459
97 5.79 1.12159 47.607
98 5.85 0.960012 49.0585
99 5.91 1.0916 50.7429
100 5.97 0.947348 52.2346
101 6.03 0.962824 53.7813
102 6.09 1.02988 55.4688
103 6.15 0.976581 57.1006
104 6.21 0.98739 58.7828
105 6.27 0.990823 60.5037
106 6.33 0.940032 62.1677
107 6.39 0.963758 63.9063
108 6.45 1.04 65.8178
109 6.51 1.04137 67.7675
110 6.57 0.970159 69.6176
111 6.63 1.05127 71.6591
112 6.69 0.969015 73.5751
113 6.75 0.99733 75.5827
114 6.81 0.989078 77.6091
115 6.87 0.995134 79.6841
116 6.93 0.99237 81.7896
117 6.99 1.01977 83.9909
118 7.05 0.987924 86.1602
119 7.11 0.981078 88.3512
120 7.17 1.04118 90.716
121 7.23 1.01168 93.0523
122 7.29 0.991567 95.3803
123 7.35 1.01583 97.8048
124 7.41 0.994721 100.218
125 7.47 0.973418 102.617
126 7.53 1.00791 105.142
127 7.59 0.989902 107.662
128 7.65 0.992721 110.228
129 7.71 0.967216 112.768
130 7.77 0.985403 115.397
131 7.83 0.987797 118.072
132 7.89 0.968019 120.734
133 7.95 1.02221 123.589
134 8.01 1.0895 126.677
135 8.07 0.981945 129.502
136 8.13 0.999758 132.421
137 8.19 0.986094 135.343
138 8.25 1.0128 138.389
