# Time-averaged data for fix frdf
# TimeStep Number-of-rows
# Row c_gr[1] c_gr[2] c_gr[3]
265400 200
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0 0
26 1.53 0 0
27 1.59 0 0
28 1.65 0 0
29 1.71 0 0
30 1.77 0 0
31 1.83 0 0
32 1.89 0 0
33 1.95 0 0
34 2.01 2.52081e-06 3.87644e-07
35 2.07 3.19769e-05 6.2023e-06
36 2.13 0.000588745 0.000117068
37 2.19 0.00408603 0.000927632
38 2.25 0.0186236 0.00477577
39 2.31 0.0591755 0.0173668
40 2.37 0.141264 0.0479946
41 2.43 0.277421 0.10843
42 2.49 0.481238 0.213395
43 2.55 0.745434 0.37749
44 2.61 1.02806 0.608444
45 2.67 1.27217 0.903506
46 2.73 1.43778 1.25115
47 2.79 1.52671 1.63699
48 2.85 1.5757 2.05155
49 2.91 1.6153 2.49101
50 2.97 1.64542 2.95102
51 3.03 1.6721 3.42964
52 3.09 1.68202 3.92223
53 3.15 1.66786 4.42226
54 3.21 1.63652 4.92547
55 3.27 1.58176 5.42519
56 3.33 1.51654 5.91761
57 3.39 1.45073 6.40196
58 3.45 1.3853 6.87757
59 3.51 1.32417 7.34454
60 3.57 1.27171 7.80492
61 3.63 1.22733 8.26108
62 3.69 1.18528 8.71294
63 3.75 1.15216 9.16398
64 3.81 1.11591 9.61246
65 3.87 1.08498 10.0605
66 3.93 1.05003 10.5067
67 3.99 1.01274 10.9503
68 4.05 0.978375 11.3924
69 4.11 0.942488 11.8324
70 4.17 0.905716 12.2703
71 4.23 0.873361 12.708
72 4.29 0.843756 13.1466
73 4.35 0.819392 13.5888
74 4.41 0.799221 14.0366
75 4.47 0.778069 14.4893
76 4.53 0.764206 14.951
77 4.59 0.755718 15.4249
78 4.65 0.749903 15.9128
79 4.71 0.749257 16.4187
80 4.77 0.753279 16.9458
81 4.83 0.763391 17.4989
82 4.89 0.780056 18.0832
83 4.95 0.799255 18.7018
84 5.01 0.824683 19.3595
85 5.07 0.852914 20.0599
86 5.13 0.883345 20.8041
87 5.19 0.917621 21.5963
88 5.25 0.951297 22.4357
89 5.31 0.98126 23.3194
90 5.37 1.01269 24.2484
91 5.43 1.03917 25.2183
92 5.49 1.05935 26.2231
93 5.55 1.07701 27.2602
94 5.61 1.08914 28.3242
95 5.67 1.09664 29.4102
96 5.73 1.1039 30.5174
97 5.79 1.10711 31.642
98 5.85 1.10895 32.7826
99 5.91 1.10722 33.9355
100 5.97 1.10472 35.1003
101 6.03 1.10068 36.2754
102 6.09 1.09529 37.4606
103 6.15 1.08916 38.6555
104 6.21 1.08135 39.8595
105 6.27 1.07203 41.0715
106 6.33 1.06416 42.2943
107 6.39 1.05249 43.524
108 6.45 1.04266 44.7648
109 6.51 1.03066 46.0145
110 6.57 1.01969 47.2758
111 6.63 1.01056 48.5516
112 6.69 1.00101 49.8426
113 6.75 0.992797 51.1516
114 6.81 0.985322 52.4804
115 6.87 0.979592 53.8321
116 6.93 0.975785 55.2096
117 6.99 0.971671 56.6136
118 7.05 0.968808 58.0455
119 7.11 0.967532 59.5074
120 7.17 0.966536 61
121 7.23 0.967907 62.5264
122 7.29 0.969013 64.0856
123 7.35 0.972046 65.6806
124 7.41 0.97256 67.3066
125 7.47 0.974997 68.9662
126 7.53 0.977247 70.6583
127 7.59 0.980736 72.3851
128 7.65 0.982432 74.1428
129 7.71 0.986024 75.9337
130 7.77 0.987786 77.7546
131 7.83 0.990962 79.6077
132 7.89 0.993635 81.4923
133 7.95 0.994648 83.4049
134 8.01 0.997277 85.3487
135 8.07 0.998042 87.3193
136 8.13 0.999569 89.3188
137 8.19 1.0001 91.3447
138 8.25 1.00032 93.3965
139 8.31 1.00147 95.4761
140 8.37 1.00092 97.5801
141 8.43 1.00146 99.7112
