Generated by pymatgen.io.lammps.data.LammpsData

3888  atoms

   4  atom types

0.000000 34.467276  xlo xhi
0.000000 35.320344  ylo yhi
0.000000 56.197284  zlo zhi
2.136102 13.449792 4.775052  xy xz yz

Masses

1  132.905452
2    6.941000
3   72.640000
4   15.999400

Atoms

1     1  0.7900  3.540204  2.353746  9.251628
2     1  0.7900  5.781836  3.149588 18.617842
3     1  0.7900  8.023468  3.945430 27.984056
4     1  0.7900 10.265100  4.741272 37.350270
5     1  0.7900 12.506732  5.537114 46.716484
6     1  0.7900 14.748364  6.332956 56.082698
7     1  0.7900  3.896221  8.240470  9.251628
8     1  0.7900  6.137853  9.036312 18.617842
9     1  0.7900  8.379485  9.832154 27.984056
10    1  0.7900 10.621117 10.627996 37.350270
11    1  0.7900 12.862749 11.423838 46.716484
12    1  0.7900 15.104381 12.219680 56.082698
13    1  0.7900  4.252238 14.127194  9.251628
14    1  0.7900  6.493870 14.923036 18.617842
15    1  0.7900  8.735502 15.718878 27.984056
16    1  0.7900 10.977134 16.514720 37.350270
17    1  0.7900 13.218766 17.310562 46.716484
18    1  0.7900 15.460398 18.106404 56.082698
19    1  0.7900  4.608255 20.013918  9.251628
20    1  0.7900  6.849887 20.809760 18.617842
21    1  0.7900  9.091519 21.605602 27.984056
22    1  0.7900 11.333151 22.401444 37.350270
23    1  0.7900 13.574783 23.197286 46.716484
24    1  0.7900 15.816415 23.993128 56.082698
25    1  0.7900  4.964272 25.900642  9.251628
26    1  0.7900  7.205904 26.696484 18.617842
27    1  0.7900  9.447536 27.492326 27.984056
28    1  0.7900 11.689168 28.288168 37.350270
29    1  0.7900 13.930800 29.084010 46.716484
30    1  0.7900 16.172432 29.879852 56.082698
31    1  0.7900  5.320289 31.787366  9.251628
32    1  0.7900  7.561921 32.583208 18.617842
33    1  0.7900  9.803553 33.379050 27.984056
34    1  0.7900 12.045185 34.174892 37.350270
35    1  0.7900 14.286817 34.970734 46.716484
36    1  0.7900 16.528449 35.766576 56.082698
37    1  0.7900  9.284750  2.353746  9.251628
38    1  0.7900 11.526382  3.149588 18.617842
39    1  0.7900 13.768014  3.945430 27.984056
40    1  0.7900 16.009646  4.741272 37.350270
41    1  0.7900 18.251278  5.537114 46.716484
42    1  0.7900 20.492910  6.332956 56.082698
43    1  0.7900  9.640767  8.240470  9.251628
44    1  0.7900 11.882399  9.036312 18.617842
45    1  0.7900 14.124031  9.832154 27.984056
46    1  0.7900 16.365663 10.627996 37.350270
47    1  0.7900 18.607295 11.423838 46.716484
48    1  0.7900 20.848927 12.219680 56.082698
49    1  0.7900  9.996784 14.127194  9.251628
50    1  0.7900 12.238416 14.923036 18.617842
51    1  0.7900 14.480048 15.718878 27.984056
52    1  0.7900 16.721680 16.514720 37.350270
53    1  0.7900 18.963312 17.310562 46.716484
54    1  0.7900 21.204944 18.106404 56.082698
55    1  0.7900 10.352801 20.013918  9.251628
56    1  0.7900 12.594433 20.809760 18.617842
57    1  0.7900 14.836065 21.605602 27.984056
58    1  0.7900 17.077697 22.401444 37.350270
59    1  0.7900 19.319329 23.197286 46.716484
60    1  0.7900 21.560961 23.993128 56.082698
61    1  0.7900 10.708818 25.900642  9.251628
62    1  0.7900 12.950450 26.696484 18.617842
63    1  0.7900 15.192082 27.492326 27.984056
64    1  0.7900 17.433714 28.288168 37.350270
65    1  0.7900 19.675346 29.084010 46.716484
66    1  0.7900 21.916978 29.879852 56.082698
67    1  0.7900 11.064835 31.787366  9.251628
68    1  0.7900 13.306467 32.583208 18.617842
69    1  0.7900 15.548099 33.379050 27.984056
70    1  0.7900 17.789731 34.174892 37.350270
71    1  0.7900 20.031363 34.970734 46.716484
72    1  0.7900 22.272995 35.766576 56.082698
73    1  0.7900 15.029296  2.353746  9.251628
74    1  0.7900 17.270928  3.149588 18.617842
75    1  0.7900 19.512560  3.945430 27.984056
76    1  0.7900 21.754192  4.741272 37.350270
77    1  0.7900 23.995824  5.537114 46.716484
78    1  0.7900 26.237456  6.332956 56.082698
79    1  0.7900 15.385313  8.240470  9.251628
80    1  0.7900 17.626945  9.036312 18.617842
81    1  0.7900 19.868577  9.832154 27.984056
82    1  0.7900 22.110209 10.627996 37.350270
83    1  0.7900 24.351841 11.423838 46.716484
84    1  0.7900 26.593473 12.219680 56.082698
85    1  0.7900 15.741330 14.127194  9.251628
86    1  0.7900 17.982962 14.923036 18.617842
87    1  0.7900 20.224594 15.718878 27.984056
88    1  0.7900 22.466226 16.514720 37.350270
89    1  0.7900 24.707858 17.310562 46.716484
90    1  0.7900 26.949490 18.106404 56.082698
91    1  0.7900 16.097347 20.013918  9.251628
92    1  0.7900 18.338979 20.809760 18.617842
93    1  0.7900 20.580611 21.605602 27.984056
94    1  0.7900 22.822243 22.401444 37.350270
95    1  0.7900 25.063875 23.197286 46.716484
96    1  0.7900 27.305507 23.993128 56.082698
97    1  0.7900 16.453364 25.900642  9.251628
