# Time-averaged data for fix msdout
# TimeStep c_msdall[4]
0 5.20978e-29
200 11.6936
400 24.5697
600 37.5811
800 50.1765
1000 62.3063
1200 73.8097
1400 85.0827
1600 96.0255
1800 106.68
2000 117.082
2200 127.241
2400 136.923
2600 146.268
2800 155.354
3000 164.184
3200 172.738
3400 181.137
3600 189.333
3800 197.371
4000 205.218
4200 212.885
4400 220.306
4600 227.565
4800 234.654
5000 241.655
5200 248.489
5400 255.176
5600 261.712
5800 268.107
6000 274.428
6200 280.703
6400 286.905
6600 292.991
6800 298.942
7000 304.825
7200 310.637
7400 316.401
7600 322.097
7800 327.719
8000 333.3
8200 338.817
8400 344.242
8600 349.668
8800 355.045
9000 360.379
9200 365.658
9400 370.924
9600 376.156
9800 381.357
10000 386.553
