# Time-averaged data for fix q6out
# TimeStep c_cavg
0 14.6668
200 13.2882
400 12.8148
600 12.5465
800 12.3813
1000 12.262
1200 12.1749
1400 12.0996
1600 12.0386
1800 11.9866
2000 11.9441
2200 11.9021
2400 11.8712
2600 11.8363
2800 11.8085
3000 11.7826
3200 11.7567
3400 11.7387
3600 11.7142
3800 11.6953
4000 11.6735
4200 11.6571
4400 11.6365
4600 11.6218
4800 11.6066
5000 11.5911
5200 11.5761
5400 11.5654
5600 11.5517
5800 11.5382
6000 11.5277
6200 11.5164
6400 11.5071
6600 11.4967
6800 11.4874
7000 11.4756
7200 11.4653
7400 11.4562
7600 11.4485
7800 11.439
8000 11.4302
8200 11.4216
8400 11.4132
8600 11.4051
8800 11.3972
9000 11.3888
9200 11.3808
9400 11.3749
9600 11.3693
9800 11.3624
10000 11.355
