# Time-averaged data for fix rdfout
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
10000 200
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0.000118414 1.00863e-05
25 1.47 0.000217891 3.0259e-05
26 1.53 0.000502848 8.06907e-05
27 1.59 0.00214184 0.000312677
28 1.65 0.00432374 0.000816993
29 1.71 0.0121575 0.00234003
30 1.77 0.0892006 0.0143125
31 1.83 0.111287 0.0302792
32 1.89 0.0951727 0.0448439
33 1.95 0.184138 0.0748406
34 2.01 0.363343 0.137729
35 2.07 0.45605 0.221446
36 2.13 0.578411 0.333868
37 2.19 0.803106 0.49888
38 2.25 0.979103 0.711228
39 2.31 1.15688 0.975692
40 2.37 1.33559 1.29707
41 2.43 1.44928 1.66369
42 2.49 1.55625 2.07705
43 2.55 1.60709 2.52473
44 2.61 1.6244 2.99878
45 2.67 1.62471 3.49497
46 2.73 1.56388 3.99428
47 2.79 1.52335 4.50227
48 2.85 1.4676 5.01294
49 2.91 1.38855 5.51666
50 2.97 1.36099 6.03095
51 3.03 1.28454 6.53617
52 3.09 1.20508 7.02909
53 3.15 1.13645 7.51216
54 3.21 1.11619 8.00487
55 3.27 1.05024 8.48596
56 3.33 1.01728 8.96921
57 3.39 0.954811 9.43927
58 3.45 0.942324 9.91975
59 3.51 0.888827 10.3889
60 3.57 0.891679 10.8757
61 3.63 0.840433 11.3501
62 3.69 0.863834 11.854
63 3.75 0.850829 12.3665
64 3.81 0.820561 12.8768
65 3.87 0.825861 13.4067
66 3.93 0.835014 13.9592
67 3.99 0.837702 14.5305
68 4.05 0.840469 15.121
69 4.11 0.868071 15.7492
70 4.17 0.862309 16.3915
71 4.23 0.874654 17.062
72 4.29 0.922309 17.7891
73 4.35 0.924105 18.5382
74 4.41 0.941262 19.3224
75 4.47 0.963652 20.1473
76 4.53 0.960576 20.9917
77 4.59 0.986599 21.8821
78 4.65 1.01353 22.8209
79 4.71 1.03789 23.8073
80 4.77 1.04969 24.8304
81 4.83 1.06778 25.8975
82 4.89 1.05772 26.981
83 4.95 1.08383 28.1186
84 5.01 1.06692 29.2658
85 5.07 1.07994 30.455
86 5.13 1.07637 31.6685
87 5.19 1.06965 32.9027
88 5.25 1.05776 34.1517
89 5.31 1.05523 35.4263
90 5.37 1.05668 36.7316
91 5.43 1.05794 38.0679
92 5.49 1.03068 39.3986
93 5.55 1.03683 40.7668
94 5.61 1.02567 42.1496
95 5.67 0.997293 43.5231
96 5.73 1.02774 44.9686
97 5.79 0.996852 46.4002
98 5.85 0.99075 47.8527
99 5.91 0.995118 49.3416
100 5.97 0.975771 50.8314
101 6.03 0.976051 52.3518
102 6.09 0.992928 53.9293
103 6.15 0.970884 55.5024
104 6.21 0.96006 57.0884
105 6.27 0.968718 58.7198
106 6.33 0.966189 60.3783
107 6.39 0.954272 62.0475
108 6.45 0.978119 63.7906
109 6.51 0.963406 65.5397
110 6.57 0.970872 67.3349
111 6.63 0.976316 69.1734
112 6.69 0.98194 71.056
113 6.75 0.983423 72.9755
114 6.81 0.979264 74.921
115 6.87 0.997205 76.9371
116 6.93 1.0083 79.0115
117 6.99 0.995272 81.0947
118 7.05 1.01098 83.2472
119 7.11 1.00372 85.4208
120 7.17 1.01199 87.6495
121 7.23 1.02096 89.9357
122 7.29 1.017 92.251
123 7.35 1.00833 94.5845
124 7.41 1.02059 96.9851
125 7.47 1.01123 99.4024
126 7.53 1.01459 101.867
127 7.59 1.01183 104.364
128 7.65 1.00954 106.895
129 7.71 1.00613 109.457
130 7.77 1.00392 112.053
131 7.83 1.01633 114.722
132 7.89 1.01091 117.418
133 7.95 1.00584 120.142
134 8.01 1.02109 122.948
135 8.07 0.999961 125.738
136 8.13 0.995095 128.555
137 8.19 0.987985 131.394
