Generated by pymatgen.io.lammps.data.LammpsData

3888  atoms

   4  atom types

0.000000 34.467276  xlo xhi
0.000000 35.320344  ylo yhi
0.000000 56.197284  zlo zhi
2.136102 13.449792 4.775052  xy xz yz

Masses

1  132.905452
2    6.941000
3   72.640000
4   15.999400

Atoms

1     1  0.7900  8.148505  0.647984  5.841532
2     1  0.7900 24.336058 14.550246  1.774115
3     4 -1.1825 31.809251 14.540870  0.071314
4     1  0.7900  6.569211 10.510414 10.847313
5     1  0.7900  2.781290 11.782686  7.200931
6     4 -1.1825  8.607277  3.263499  6.383115
7     4 -1.1825  2.810972  7.546018  2.763497
8     4 -1.1825  7.577456  5.271609  8.385714
9     4 -1.1825 28.246639 18.474736 14.758351
10    3  2.1000 11.936729  3.418569 15.135304
11    4 -1.1825  5.654242  5.812976  3.923057
12    4 -1.1825 19.440669  8.404345  2.625578
13    4 -1.1825 36.888070  4.164455 10.697662
14    4 -1.1825 34.634177 17.568756  2.584355
15    4 -1.1825 37.058814  5.787497 13.664992
16    4 -1.1825 18.084679  5.684595  0.799483
17    4 -1.1825  1.930067  6.433627  0.715516
18    2  0.5250  9.196235  2.026362  0.989322
19    2  0.5250 34.676740 13.313566  3.299808
20    2  0.5250 11.620765  6.554341  4.736381
21    4 -1.1825  7.669967 18.871851 18.727125
22    4 -1.1825  4.890733  8.320146  1.021136
23    2  0.5250 35.390506  2.088467 11.299020
24    4 -1.1825  4.197045 11.472264 11.650958
25    2  0.5250 27.149420  1.890689 14.119577
26    1  0.7900  5.673072  3.397217  7.163542
27    1  0.7900  5.501130  2.809345  3.355097
28    2  0.5250 31.585569 14.462605  8.637428
29    4 -1.1825  7.919925  5.407806  2.850669
30    3  2.1000  7.971302  5.477927  5.896417
31    1  0.7900  3.124325  4.935876  3.617574
32    4 -1.1825 27.579986 11.455153  2.456679
33    1  0.7900 11.891933  2.800174  2.433565
34    4 -1.1825 10.020300  1.810480  4.678769
35    4 -1.1825 17.438999  5.315405 11.099771
36    3  2.1000  8.173254  8.282731  6.820550
37    1  0.7900 21.696587  3.629715  2.424472
38    1  0.7900 33.895484  4.592581  0.138963
39    4 -1.1825 21.512533  7.203746  3.191004
40    1  0.7900 20.023257  1.813983 17.136095
41    2  0.5250 23.185429 14.638704 17.252657
42    2  0.5250 18.994069  5.818651  4.036155
43    1  0.7900 16.222181 10.709443  6.714735
44    2  0.5250  8.311299  9.903389  4.502614
45    4 -1.1825 15.250761  5.890546  2.391500
46    1  0.7900 15.559658  3.912175  0.290622
47    4 -1.1825 15.188053  7.804077 13.667854
48    2  0.5250 23.920916 13.434548  3.713952
49    2  0.5250  6.838720  3.849821  1.276382
50    1  0.7900 19.778947 15.195414  6.168048
51    3  2.1000 26.123015  8.801723  3.312517
52    1  0.7900 30.686255  8.548096  0.343315
53    2  0.5250 12.655704  1.679234  8.547428
54    4 -1.1825 11.083317 10.718567 10.994604
55    3  2.1000 13.817057  1.228478  6.018337
56    4 -1.1825 14.002726  8.041386  1.014380
57    1  0.7900 11.996785  7.046093  1.933212
58    3  2.1000 29.085796 17.859076  2.557727
59    4 -1.1825  4.144626  2.531782  5.458514
60    3  2.1000  7.531773  2.751136  4.127853
61    2  0.5250 24.543934 10.082469  0.442829
62    1  0.7900 13.148655  3.824948  7.741822
63    1  0.7900 15.363281 12.511134  5.388048
64    4 -1.1825 33.930399  3.906932  2.382395
65    2  0.5250  9.843282  4.589742  3.867608
66    4 -1.1825 10.520388  5.442604  6.453388
67    4 -1.1825 14.339125  5.163311  5.629876
68    1  0.7900 12.152833  7.233541 12.461832
69    2  0.5250 17.123348  2.437103 16.597336
70    4 -1.1825 33.372767  0.154278  0.839334
71    1  0.7900 17.857229  7.833205  5.151203
72    3  2.1000 27.841832  3.904686  5.452326
73    2  0.5250 18.265684 18.472738 10.047386
74    2  0.5250 18.165598  3.385185  8.409397
75    1  0.7900 28.900437  4.951370  8.835843
76    2  0.5250 16.850791  8.900348  7.187557
77    4 -1.1825 14.588166 14.442795  0.866010
78    1  0.7900 21.187518  2.288874  0.274841
79    4 -1.1825 28.203283  2.308929  0.495784
80    2  0.5250 25.409541  2.495975  3.692283
81    1  0.7900 16.594564  0.731770  5.089817
82    2  0.5250  2.368562 15.646570  0.984025
83    2  0.5250  7.329594 13.719206  2.462735
84    4 -1.1825  9.347970 16.533921  1.753810
85    2  0.5250 14.294840 14.754965  6.673422
86    1  0.7900 30.035226  2.363369 17.413831
87    3  2.1000 24.028609  3.148021  7.074822
88    4 -1.1825 15.501859  1.852028  1.535787
89    3  2.1000 18.821420  0.695212  0.582958
90    4 -1.1825  8.536676 18.564900 16.107972
91    2  0.5250 17.123210  2.971133  3.591999
92    4 -1.1825 22.015932  9.335526  1.428039
93    4 -1.1825 33.188106  4.366047  6.965013
94    1  0.7900 28.245474 10.122615  0.030864
95    4 -1.1825  5.254433 15.015541  4.980184
