# Time-averaged data for fix frdfa
# TimeStep Number-of-rows
# Row c_gr[1] c_gr[2] c_gr[3]
121200 200
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 1.31263e-05 8.47452e-07
22 1.29 0 8.47452e-07
23 1.35 1.08548e-05 1.6949e-06
24 1.41 2.987e-05 4.23726e-06
25 1.47 0.000129102 1.61016e-05
26 1.53 0.000527913 6.86436e-05
27 1.59 0.00105876 0.000182202
28 1.65 0.00241973 0.000461014
29 1.71 0.0050967 0.00109067
30 1.77 0.00944692 0.00233473
31 1.83 0.0167657 0.00468726
32 1.89 0.0275152 0.0087796
33 1.95 0.0416607 0.0153262
34 2.01 0.0603573 0.0253244
35 2.07 0.0858638 0.0402929
36 2.13 0.119823 0.0621335
37 2.19 0.161079 0.0928011
38 2.25 0.212315 0.134846
39 2.31 0.277723 0.191745
40 2.37 0.370547 0.26989
41 2.43 0.498734 0.377369
42 2.49 0.676564 0.52546
43 2.55 0.898588 0.725671
44 2.61 1.1161 0.980702
45 2.67 1.27389 1.28214
46 2.73 1.37574 1.62102
47 2.79 1.44619 1.992
48 2.85 1.53206 2.39968
49 2.91 1.62923 2.84807
50 2.97 1.71718 3.33652
51 3.03 1.75902 3.85423
52 3.09 1.75857 4.39052
53 3.15 1.73052 4.93772
54 3.21 1.6734 5.48671
55 3.27 1.60581 6.03302
56 3.33 1.53691 6.57531
57 3.39 1.46266 7.11022
58 3.45 1.38829 7.63658
59 3.51 1.32015 8.15499
60 3.57 1.25516 8.66548
61 3.63 1.19157 9.1671
62 3.69 1.13574 9.66183
63 3.75 1.0862 10.1512
64 3.81 1.03628 10.634
65 3.87 0.992309 11.112
66 3.93 0.953229 11.5865
67 3.99 0.915635 12.0574
68 4.05 0.878789 12.5242
69 4.11 0.846125 12.9885
70 4.17 0.819841 13.4528
71 4.23 0.796475 13.9184
72 4.29 0.774774 14.3857
73 4.35 0.759183 14.858
74 4.41 0.745095 15.3358
75 4.47 0.732631 15.8199
76 4.53 0.729028 16.316
77 4.59 0.728314 16.8261
78 4.65 0.72873 17.3506
79 4.71 0.733369 17.8932
80 4.77 0.742329 18.457
81 4.83 0.755648 19.0457
82 4.89 0.774716 19.6642
83 4.95 0.795363 20.3145
84 5.01 0.822109 21.002
85 5.07 0.853823 21.732
86 5.13 0.888314 22.5076
87 5.19 0.92434 23.3315
88 5.25 0.960667 24.2047
89 5.31 0.996877 25.1294
90 5.37 1.03294 26.1064
91 5.43 1.06417 27.1329
92 5.49 1.09422 28.2091
93 5.55 1.12345 29.3357
94 5.61 1.14623 30.5075
95 5.67 1.16809 31.7245
96 5.73 1.1838 32.9817
97 5.79 1.1953 34.2757
98 5.85 1.20225 35.6024
99 5.91 1.20038 36.9529
100 5.97 1.19886 38.3277
101 6.03 1.18995 39.7192
102 6.09 1.17436 41.1198
103 6.15 1.1604 42.5312
104 6.21 1.13941 43.9449
105 6.27 1.11747 45.3591
106 6.33 1.09287 46.7701
107 6.39 1.06967 48.1793
108 6.45 1.04567 49.5848
109 6.51 1.02225 50.9868
110 6.57 1.00038 52.3863
111 6.63 0.979883 53.7847
112 6.69 0.963329 55.1866
113 6.75 0.947561 56.5927
114 6.81 0.93557 58.0074
115 6.87 0.924413 59.4315
116 6.93 0.915792 60.8691
117 6.99 0.908854 62.3217
118 7.05 0.904641 63.7941
119 7.11 0.903228 65.2905
120 7.17 0.902767 66.8125
121 7.23 0.903192 68.3614
122 7.29 0.906259 69.9422
123 7.35 0.909196 71.5546
124 7.41 0.914492 73.203
125 7.47 0.921722 74.8916
126 7.53 0.927287 76.6176
127 7.59 0.937276 78.3893
128 7.65 0.94538 80.204
129 7.71 0.954653 82.0644
130 7.77 0.965556 83.9741
131 7.83 0.97732 85.9353
132 7.89 0.987106 87.9451
133 7.95 0.996902 90.0044
134 8.01 1.00599 92.1123
