# Time-averaged data for fix frdf
# TimeStep Number-of-rows
# Row c_gr[1] c_gr[2] c_gr[3]
265600 200
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0 0
26 1.53 0 0
27 1.59 0 0
28 1.65 0 0
29 1.71 0 0
30 1.77 0 0
31 1.83 0 0
32 1.89 0 0
33 1.95 2.00994e-06 3.87352e-07
34 2.01 2.86083e-05 6.19763e-06
35 2.07 0.000414606 9.45139e-05
36 2.13 0.00316347 0.000805305
37 2.19 0.0148906 0.00431859
38 2.25 0.050673 0.0167836
39 2.31 0.121255 0.0475595
40 2.37 0.236899 0.108763
41 2.43 0.419292 0.217932
42 2.49 0.677574 0.395033
43 2.55 0.982841 0.653356
44 2.61 1.2696 0.991547
45 2.67 1.47767 1.39403
46 2.73 1.59717 1.8415
47 2.79 1.64816 2.31694
48 2.85 1.68536 2.81566
49 2.91 1.72257 3.336
50 2.97 1.75599 3.87508
51 3.03 1.77483 4.42892
52 3.09 1.76102 4.98863
53 3.15 1.72178 5.54691
54 3.21 1.65384 6.09568
55 3.27 1.57168 6.62988
56 3.33 1.48314 7.1471
57 3.39 1.39689 7.64708
58 3.45 1.31715 8.13064
59 3.51 1.24387 8.59913
60 3.57 1.17433 9.05317
61 3.63 1.11487 9.49578
62 3.69 1.06297 9.92957
63 3.75 1.01376 10.3554
64 3.81 0.97123 10.7763
65 3.87 0.932229 11.194
66 3.93 0.895533 11.6104
67 3.99 0.86616 12.029
68 4.05 0.840374 12.4532
69 4.11 0.817484 12.8844
70 4.17 0.79977 13.326
71 4.23 0.786794 13.7804
72 4.29 0.775187 14.2481
73 4.35 0.768655 14.732
74 4.41 0.765165 15.2334
75 4.47 0.764509 15.7546
76 4.53 0.768417 16.2989
77 4.59 0.772781 16.8669
78 4.65 0.78143 17.4628
79 4.71 0.794427 18.0906
80 4.77 0.813263 18.7567
81 4.83 0.83555 19.4652
82 4.89 0.862758 20.2208
83 4.95 0.89295 21.0269
84 5.01 0.92448 21.8848
85 5.07 0.955957 22.7939
86 5.13 0.985401 23.7504
87 5.19 1.01323 24.7513
88 5.25 1.0382 25.7915
89 5.31 1.0589 26.8652
90 5.37 1.07585 27.9674
91 5.43 1.08869 29.0926
92 5.49 1.10038 30.2396
93 5.55 1.10496 31.4004
94 5.61 1.10855 32.5747
95 5.67 1.1114 33.7628
96 5.73 1.11218 34.9631
97 5.79 1.11018 36.1736
98 5.85 1.10475 37.3918
99 5.91 1.09926 38.6194
100 5.97 1.09075 39.854
101 6.03 1.08056 41.0957
102 6.09 1.07024 42.3462
103 6.15 1.05617 43.6027
104 6.21 1.04258 44.8677
105 6.27 1.0286 46.1421
106 6.33 1.01678 47.4313
107 6.39 1.00418 48.7371
108 6.45 0.994546 50.0648
109 6.51 0.987525 51.42
110 6.57 0.98158 52.8057
111 6.63 0.978431 54.2271
112 6.69 0.975298 55.6842
113 6.75 0.974371 57.1798
114 6.81 0.972194 58.7108
115 6.87 0.9703 60.2761
116 6.93 0.967556 61.8712
117 6.99 0.965761 63.4961
118 7.05 0.963524 65.1482
119 7.11 0.962572 66.8285
120 7.17 0.963358 68.5393
121 7.23 0.966071 70.2832
122 7.29 0.969684 72.0625
123 7.35 0.972819 73.8764
124 7.41 0.979176 75.7303
125 7.47 0.985636 77.6244
126 7.53 0.990629 79.5565
127 7.59 0.99711 81.5286
128 7.65 1.00219 83.5383
129 7.71 1.00573 85.5821
130 7.77 1.00918 87.6595
131 7.83 1.01198 89.7688
132 7.89 1.01293 91.9065
133 7.95 1.01244 94.0683
134 8.01 1.01199 96.2543
135 8.07 1.01028 98.4612
136 8.13 1.00678 100.685
137 8.19 1.00253 102.924
138 8.25 0.998551 105.179
139 8.31 0.994483 107.45
140 8.37 0.992059 109.743
141 8.43 0.988885 112.056
