Generated by pymatgen.io.lammps.data.LammpsData

3888  atoms

   4  atom types

0.000000 33.121146  xlo xhi
0.000000 34.132362  ylo yhi
0.000000 51.154578  zlo zhi
2.562600 13.390740 4.852116  xy xz yz

Masses

1  85.4678
2   6.9410
3  28.0855
4  15.9994

Atoms

1     1  0.8200  4.627108  5.429878  6.234848
2     1  0.8200  6.858898  6.238564 14.760611
3     1  0.8200  9.090688  7.047250 23.286374
4     1  0.8200 11.322478  7.855936 31.812137
5     1  0.8200 13.554268  8.664622 40.337900
6     1  0.8200 15.786058  9.473308 48.863663
7     1  0.8200  5.054208 11.118605  6.234848
8     1  0.8200  7.285998 11.927291 14.760611
9     1  0.8200  9.517788 12.735977 23.286374
10    1  0.8200 11.749578 13.544663 31.812137
11    1  0.8200 13.981368 14.353349 40.337900
12    1  0.8200 16.213158 15.162035 48.863663
13    1  0.8200  5.481308 16.807332  6.234848
14    1  0.8200  7.713098 17.616018 14.760611
15    1  0.8200  9.944888 18.424704 23.286374
16    1  0.8200 12.176678 19.233390 31.812137
17    1  0.8200 14.408468 20.042076 40.337900
18    1  0.8200 16.640258 20.850762 48.863663
19    1  0.8200  5.908408 22.496059  6.234848
20    1  0.8200  8.140198 23.304745 14.760611
21    1  0.8200 10.371988 24.113431 23.286374
22    1  0.8200 12.603778 24.922117 31.812137
23    1  0.8200 14.835568 25.730803 40.337900
24    1  0.8200 17.067358 26.539489 48.863663
25    1  0.8200  6.335508 28.184786  6.234848
26    1  0.8200  8.567298 28.993472 14.760611
27    1  0.8200 10.799088 29.802158 23.286374
28    1  0.8200 13.030878 30.610844 31.812137
29    1  0.8200 15.262668 31.419530 40.337900
30    1  0.8200 17.494458 32.228216 48.863663
31    1  0.8200  6.762608 33.873513  6.234848
32    1  0.8200  8.994398 34.682199 14.760611
33    1  0.8200 11.226188 35.490885 23.286374
34    1  0.8200 13.457978 36.299571 31.812137
35    1  0.8200 15.689768 37.108257 40.337900
36    1  0.8200 17.921558 37.916943 48.863663
37    1  0.8200 10.147299  5.429878  6.234848
38    1  0.8200 12.379089  6.238564 14.760611
39    1  0.8200 14.610879  7.047250 23.286374
40    1  0.8200 16.842669  7.855936 31.812137
41    1  0.8200 19.074459  8.664622 40.337900
42    1  0.8200 21.306249  9.473308 48.863663
43    1  0.8200 10.574399 11.118605  6.234848
44    1  0.8200 12.806189 11.927291 14.760611
45    1  0.8200 15.037979 12.735977 23.286374
46    1  0.8200 17.269769 13.544663 31.812137
47    1  0.8200 19.501559 14.353349 40.337900
48    1  0.8200 21.733349 15.162035 48.863663
49    1  0.8200 11.001499 16.807332  6.234848
50    1  0.8200 13.233289 17.616018 14.760611
51    1  0.8200 15.465079 18.424704 23.286374
52    1  0.8200 17.696869 19.233390 31.812137
53    1  0.8200 19.928659 20.042076 40.337900
54    1  0.8200 22.160449 20.850762 48.863663
55    1  0.8200 11.428599 22.496059  6.234848
56    1  0.8200 13.660389 23.304745 14.760611
57    1  0.8200 15.892179 24.113431 23.286374
58    1  0.8200 18.123969 24.922117 31.812137
59    1  0.8200 20.355759 25.730803 40.337900
60    1  0.8200 22.587549 26.539489 48.863663
61    1  0.8200 11.855699 28.184786  6.234848
62    1  0.8200 14.087489 28.993472 14.760611
63    1  0.8200 16.319279 29.802158 23.286374
64    1  0.8200 18.551069 30.610844 31.812137
65    1  0.8200 20.782859 31.419530 40.337900
66    1  0.8200 23.014649 32.228216 48.863663
67    1  0.8200 12.282799 33.873513  6.234848
68    1  0.8200 14.514589 34.682199 14.760611
69    1  0.8200 16.746379 35.490885 23.286374
70    1  0.8200 18.978169 36.299571 31.812137
71    1  0.8200 21.209959 37.108257 40.337900
72    1  0.8200 23.441749 37.916943 48.863663
73    1  0.8200 15.667490  5.429878  6.234848
74    1  0.8200 17.899280  6.238564 14.760611
75    1  0.8200 20.131070  7.047250 23.286374
76    1  0.8200 22.362860  7.855936 31.812137
77    1  0.8200 24.594650  8.664622 40.337900
78    1  0.8200 26.826440  9.473308 48.863663
79    1  0.8200 16.094590 11.118605  6.234848
80    1  0.8200 18.326380 11.927291 14.760611
81    1  0.8200 20.558170 12.735977 23.286374
82    1  0.8200 22.789960 13.544663 31.812137
83    1  0.8200 25.021750 14.353349 40.337900
84    1  0.8200 27.253540 15.162035 48.863663
85    1  0.8200 16.521690 16.807332  6.234848
86    1  0.8200 18.753480 17.616018 14.760611
87    1  0.8200 20.985270 18.424704 23.286374
88    1  0.8200 23.217060 19.233390 31.812137
89    1  0.8200 25.448850 20.042076 40.337900
90    1  0.8200 27.680640 20.850762 48.863663
91    1  0.8200 16.948790 22.496059  6.234848
92    1  0.8200 19.180580 23.304745 14.760611
93    1  0.8200 21.412370 24.113431 23.286374
94    1  0.8200 23.644160 24.922117 31.812137
95    1  0.8200 25.875950 25.730803 40.337900
96    1  0.8200 28.107740 26.539489 48.863663
97    1  0.8200 17.375890 28.184786  6.234848
