# Time-averaged data for fix msdout
# TimeStep c_msdall[4]
0 1.59599e-29
200 12.4727
400 26.9289
600 41.2574
800 55.1889
1000 68.6286
1200 81.6303
1400 94.0567
1600 106.017
1800 117.29
2000 127.914
2200 138.14
2400 148.048
2600 157.511
2800 166.763
3000 175.81
3200 184.578
3400 193.074
3600 201.317
3800 209.449
4000 217.307
4200 225.034
4400 232.614
4600 240.013
4800 247.327
5000 254.57
5200 261.603
5400 268.477
5600 275.203
5800 281.808
6000 288.295
6200 294.721
6400 301.013
6600 307.172
6800 313.23
7000 319.232
7200 325.171
7400 331.04
7600 336.852
7800 342.551
8000 348.142
8200 353.678
8400 359.12
8600 364.525
8800 369.874
9000 375.182
9200 380.425
9400 385.642
9600 390.788
9800 395.889
10000 400.977
