# Time-averaged data for fix q6out
# TimeStep c_cavg
0 13.0156
200 11.8112
400 11.3939
600 11.1493
800 10.9937
1000 10.8841
1200 10.8042
1400 10.7387
1600 10.6814
1800 10.6308
2000 10.5869
2200 10.5455
2400 10.5142
2600 10.4875
2800 10.4599
3000 10.4359
3200 10.4118
3400 10.3879
3600 10.3701
3800 10.3547
4000 10.3375
4200 10.3194
4400 10.3046
4600 10.2896
4800 10.2761
5000 10.2626
5200 10.2494
5400 10.2365
5600 10.2246
5800 10.2104
6000 10.198
6200 10.1857
6400 10.1767
6600 10.1658
6800 10.1559
7000 10.1472
7200 10.138
7400 10.1285
7600 10.1196
7800 10.1116
8000 10.1039
8200 10.0959
8400 10.0868
8600 10.0788
8800 10.0706
9000 10.0643
9200 10.0569
9400 10.0506
9600 10.0442
9800 10.0377
10000 10.0315
