# Time-averaged data for fix rdfout
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
10000 200
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0.000100095 1.00863e-05
25 1.47 0.000920914 0.00011095
26 1.53 0.00238031 0.000393367
27 1.59 0.00425072 0.00093803
28 1.65 0.108622 0.0159263
29 1.71 0.0558754 0.0242072
30 1.77 0.0572971 0.0333051
31 1.83 0.10863 0.0517429
32 1.89 0.211207 0.0899802
33 1.95 0.374316 0.162118
34 2.01 0.539933 0.272674
35 2.07 0.686138 0.42168
36 2.13 0.909865 0.63089
37 2.19 1.10942 0.900559
38 2.25 1.31671 1.23839
39 2.31 1.46205 1.63379
40 2.37 1.59284 2.08722
41 2.43 1.66015 2.58404
42 2.49 1.67728 3.11108
43 2.55 1.69992 3.67129
44 2.61 1.61404 4.22852
45 2.67 1.58252 4.80027
46 2.73 1.5055 5.36892
47 2.79 1.43181 5.93376
48 2.85 1.33612 6.48377
49 2.91 1.24734 7.01908
50 2.97 1.16858 7.54149
51 3.03 1.11105 8.05844
52 3.09 1.08141 8.58173
53 3.15 0.985352 9.07723
54 3.21 0.997264 9.59801
55 3.27 0.903585 10.0877
56 3.33 0.885568 10.5853
57 3.39 0.85701 11.0845
58 3.45 0.867257 11.6076
59 3.51 0.823888 12.122
60 3.57 0.83314 12.6602
61 3.63 0.8114 13.202
62 3.69 0.793867 13.7498
63 3.75 0.816164 14.3315
64 3.81 0.80928 14.9268
65 3.87 0.823476 15.5519
66 3.93 0.848071 16.2157
67 3.99 0.865775 16.9142
68 4.05 0.882769 17.648
69 4.11 0.90027 18.4187
70 4.17 0.923674 19.2327
71 4.23 0.947989 20.0923
72 4.29 0.967283 20.9945
73 4.35 0.993278 21.947
74 4.41 1.01341 22.9458
75 4.47 1.03362 23.9925
76 4.53 1.04737 25.0817
77 4.59 1.06745 26.2214
78 4.65 1.08641 27.4119
79 4.71 1.07367 28.619
80 4.77 1.09635 29.8832
81 4.83 1.09769 31.181
82 4.89 1.09573 32.5088
83 4.95 1.09607 33.8699
84 5.01 1.08801 35.2539
85 5.07 1.0724 36.6509
86 5.13 1.06049 38.0652
87 5.19 1.05775 39.5092
88 5.25 1.03568 40.9558
89 5.31 1.02593 42.4218
90 5.37 1.01306 43.9023
91 5.43 1.00532 45.4045
92 5.49 0.989923 46.9166
93 5.55 1.00943 48.4923
94 5.61 0.966847 50.0344
95 5.67 0.96787 51.6113
96 5.73 0.983156 53.2472
97 5.79 0.955535 54.8706
98 5.85 0.960595 56.5366
99 5.91 0.951811 58.2214
100 5.97 0.959094 59.9537
101 6.03 0.958789 61.7205
102 6.09 0.957694 63.5206
103 6.15 0.967414 65.3749
104 6.21 0.968922 67.2685
105 6.27 0.962476 69.1861
106 6.33 0.99137 71.1992
107 6.39 0.987273 73.2421
108 6.45 0.978425 75.305
109 6.51 0.987076 77.425
110 6.57 1.00671 79.6272
111 6.63 1.00631 81.8689
112 6.69 1.00347 84.145
113 6.75 1.01751 86.4944
114 6.81 1.00985 88.8678
115 6.87 1.01121 91.2865
116 6.93 1.01991 93.7688
117 6.99 1.02217 96.2998
118 7.05 1.02702 98.8867
119 7.11 1.01651 101.491
120 7.17 1.02025 104.149
121 7.23 1.01966 106.85
122 7.29 1.00688 109.562
123 7.35 1.0098 112.327
124 7.41 1.00526 115.124
125 7.47 1.01328 117.989
126 7.53 1.01987 120.92
127 7.59 1.00901 123.866
128 7.65 1.00858 126.857
129 7.71 1.00332 129.879
130 7.77 1.00131 132.943
131 7.83 0.997555 136.042
132 7.89 0.995194 139.182
133 7.95 0.992605 142.361
134 8.01 0.987751 145.573
135 8.07 0.980134 148.808
136 8.13 0.982466 152.099
137 8.19 0.989039 155.461
138 8.25 1.00443 158.926
