Generated by pymatgen.io.lammps.data.LammpsData

3888  atoms

   4  atom types

0.000000 33.121146  xlo xhi
0.000000 34.132362  ylo yhi
0.000000 51.154578  zlo zhi
2.562600 13.390740 4.852116  xy xz yz

Masses

1  85.4678
2   6.9410
3  28.0855
4  15.9994

Atoms

1     4 -1.1975 26.061105  2.374757  0.430318
2     1  0.8200  8.380344  2.043756  3.823435
3     2  0.5250  4.372369  7.864072  7.563504
4     4 -1.1975  4.268485  6.513554  4.265976
5     4 -1.1975 12.588667  6.288804  0.495628
6     3  2.1000  9.643087  5.776555  2.184769
7     4 -1.1975 20.442451 14.874405  0.785959
8     4 -1.1975 31.142839 14.712629 10.994812
9     4 -1.1975 21.663621  6.310010  4.847803
10    4 -1.1975  6.554306  1.479845  2.316928
11    1  0.8200  9.282460 13.797592  9.484833
12    2  0.5250 12.835875  5.939695 11.115800
13    4 -1.1975 10.174901  4.534922 12.958803
14    4 -1.1975  6.011733  7.574337  5.587345
15    2  0.5250 29.031182 10.068324  4.920964
16    4 -1.1975  7.947898 15.240829  2.366158
17    4 -1.1975  5.629008 15.680811  7.583979
18    4 -1.1975 31.548401 10.410680  0.947053
19    4 -1.1975 28.060600  1.987244  8.906393
20    4 -1.1975 33.292115 12.933365  4.103901
21    4 -1.1975 28.207276  1.556284 13.614296
22    4 -1.1975 24.766850 14.609250 14.653427
23    2  0.5250  8.942929 10.309020  0.575943
24    3  2.1000 31.037485  9.569349  8.177158
25    4 -1.1975  9.428350  6.846554 11.601012
26    2  0.5250 32.677665  3.604084  1.646626
27    4 -1.1975  6.408882 10.683718  1.712252
28    1  0.8200  3.568021  2.102385  4.321417
29    4 -1.1975 10.215178  1.433314 12.584570
30    4 -1.1975 21.976301  9.933704 10.565419
31    3  2.1000 15.950507  5.353636 11.046268
32    2  0.5250  4.559652 10.437718  6.005909
33    4 -1.1975 17.704448  2.744997 12.111973
34    2  0.5250  6.733444  2.903432  5.519661
35    4 -1.1975  7.344087  4.385644  2.393971
36    1  0.8200 31.362590  8.958950  4.768776
37    1  0.8200 35.193631  6.217626 10.989752
38    2  0.5250  8.332198  5.158566  6.946059
39    3  2.1000  4.905223  4.015966  2.583469
40    3  2.1000  2.780683  9.585625  7.647221
41    1  0.8200 30.499388 11.902450  4.012094
42    4 -1.1975  2.514644  2.884761  6.808024
43    4 -1.1975 18.141729  8.915982  0.251268
44    1  0.8200  3.082568  6.607688  2.103021
45    1  0.8200 14.494977  2.275378  2.982613
46    4 -1.1975 11.771230  6.848692  3.001885
47    4 -1.1975 15.210712  9.694048  5.894864
48    2  0.5250 16.276441  2.900375  4.002381
49    4 -1.1975  8.763754 14.940962  0.210700
50    2  0.5250 11.486423  5.886681  5.836742
51    4 -1.1975 34.367052 17.172889  1.155120
52    2  0.5250 21.057097  3.834183  3.022013
53    4 -1.1975 20.060231  6.493048  1.783406
54    4 -1.1975 21.183995  5.262774  8.647809
55    1  0.8200  8.496413  2.682636 13.366848
56    2  0.5250 17.423478  5.916536  7.071263
57    3  2.1000  8.083863 10.404788  2.980461
58    1  0.8200 20.834551  2.428905 16.689054
59    4 -1.1975 16.122823  3.167133 15.413344
60    1  0.8200 13.853586  6.470258  2.393090
61    2  0.5250  6.002204  8.961594  8.737114
62    4 -1.1975 17.735218  6.396956  0.758740
63    4 -1.1975 17.897863  3.079918  5.835348
64    4 -1.1975 21.297596  7.951939  3.393981
65    2  0.5250 19.702388  6.148640  7.374864
66    2  0.5250 15.583839 14.658484 11.550041
67    4 -1.1975 23.760928  3.232132 15.607305
68    1  0.8200 18.313471 11.518477  4.043235
69    2  0.5250  6.174702  7.168988  0.973122
70    1  0.8200  6.563050  4.399356  9.037725
71    4 -1.1975 18.193859  5.321803  9.993868
72    1  0.8200 28.615025 17.019774  3.938543
73    2  0.5250  2.048030  3.059460  2.481489
74    3  2.1000 13.394528  6.091649  7.924815
75    4 -1.1975 29.840727  0.908849  4.074257
76    1  0.8200 33.795535  6.052028  4.799962
77    4 -1.1975 13.905024  4.136450  1.431685
78    4 -1.1975 15.036542  7.405524  7.023295
79    1  0.8200 11.925462  3.094903  4.201418
80    4 -1.1975 13.341871 10.837951  6.871221
81    4 -1.1975  8.558733  7.838235  0.733382
82    3  2.1000 16.560791  7.478638  2.128174
83    1  0.8200  5.994252  3.860663 11.562786
84    4 -1.1975 13.210707  4.612705  4.288895
85    4 -1.1975 18.581647  4.083501  7.792488
86    2  0.5250  5.036832  2.613027  9.163663
87    1  0.8200 13.083948  0.660034  4.440384
88    3  2.1000 14.847308  6.188558  5.074781
89    4 -1.1975  3.318823 15.509141  1.517556
90    3  2.1000 22.365664  4.218207  1.146203
91    3  2.1000 12.816088  3.687782  6.710166
92    1  0.8200 21.445703  0.654609  6.230872
93    2  0.5250 18.029478 14.417033  1.365182
94    4 -1.1975 20.216992  8.429948  7.478253
95    4 -1.1975 30.939961  1.299671  6.193185
