# Time-averaged data for fix frdfa
# TimeStep Number-of-rows
# Row c_gr[1] c_gr[2] c_gr[3]
121200 200
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 2.52581e-05 2.54236e-06
25 1.47 0.000203196 2.45761e-05
26 1.53 0.000605812 9.57621e-05
27 1.59 0.00148041 0.000283049
28 1.65 0.00334907 0.000738131
29 1.71 0.00745124 0.00182202
30 1.77 0.0132467 0.0038737
31 1.83 0.0228603 0.00763893
32 1.89 0.0363897 0.0139855
33 1.95 0.0551092 0.0241312
34 2.01 0.0808896 0.0398006
35 2.07 0.114246 0.0630182
36 2.13 0.158323 0.0966104
37 2.19 0.208922 0.142753
38 2.25 0.278493 0.206463
39 2.31 0.366037 0.292858
40 2.37 0.486505 0.410306
41 2.43 0.648942 0.569506
42 2.49 0.863347 0.783906
43 2.55 1.10189 1.06246
44 2.61 1.31064 1.40295
45 2.67 1.47078 1.79841
46 2.73 1.59181 2.24203
47 2.79 1.69856 2.73211
48 2.85 1.80398 3.26963
49 2.91 1.86907 3.845
50 2.97 1.8895 4.447
51 3.03 1.85935 5.06102
52 3.09 1.79468 5.67586
53 3.15 1.70571 6.28238
54 3.21 1.60782 6.87612
55 3.27 1.51582 7.45717
56 3.33 1.42172 8.02264
57 3.39 1.3322 8.5724
58 3.45 1.24696 9.10637
59 3.51 1.16794 9.62494
60 3.57 1.09889 10.131
61 3.63 1.03667 10.626
62 3.69 0.981052 11.1114
63 3.75 0.933122 11.5895
64 3.81 0.889766 12.0616
65 3.87 0.850963 12.5294
66 3.93 0.816151 12.9934
67 3.99 0.786714 13.4563
68 4.05 0.761772 13.9204
69 4.11 0.742608 14.3882
70 4.17 0.725482 14.8606
71 4.23 0.715241 15.3417
72 4.29 0.706861 15.8325
73 4.35 0.706061 16.3382
74 4.41 0.706152 16.8595
75 4.47 0.712484 17.4011
76 4.53 0.721649 17.9653
77 4.59 0.734935 18.5562
78 4.65 0.74968 19.1752
79 4.71 0.770687 19.8282
80 4.77 0.794233 20.5182
81 4.83 0.821707 21.2493
82 4.89 0.855702 22.0279
83 4.95 0.890387 22.856
84 5.01 0.931079 23.7397
85 5.07 0.972519 24.6814
86 5.13 1.01653 25.6849
87 5.19 1.05905 26.7505
88 5.25 1.0963 27.8752
89 5.31 1.13085 29.0574
90 5.37 1.16317 30.2967
91 5.43 1.1875 31.5864
92 5.49 1.20677 32.9222
93 5.55 1.22028 34.2992
94 5.61 1.22851 35.7123
95 5.67 1.23003 37.1545
96 5.73 1.22647 38.621
97 5.79 1.21371 40.101
98 5.85 1.19928 41.5934
99 5.91 1.17928 43.091
100 5.97 1.15504 44.5885
101 6.03 1.12658 46.0798
102 6.09 1.09851 47.5648
103 6.15 1.06803 49.0398
104 6.21 1.04032 50.5075
105 6.27 1.0126 51.9669
106 6.33 0.987531 53.4206
107 6.39 0.964331 54.8705
108 6.45 0.943924 56.3198
109 6.51 0.925794 57.7711
110 6.57 0.912151 59.2306
111 6.63 0.900639 60.7011
112 6.69 0.892918 62.1882
113 6.75 0.886651 63.6939
114 6.81 0.885255 65.2264
115 6.87 0.883127 66.7836
116 6.93 0.884749 68.3723
117 6.99 0.889658 69.9986
118 7.05 0.895646 71.6645
119 7.11 0.901574 73.37
120 7.17 0.910693 75.1221
121 7.23 0.918661 76.9186
122 7.29 0.928509 78.7641
123 7.35 0.941535 80.6652
124 7.41 0.953238 82.6201
125 7.47 0.965572 84.6308
126 7.53 0.979402 86.7011
127 7.59 0.992011 88.8294
128 7.65 1.00274 91.0124
129 7.71 1.01569 93.2554
130 7.77 1.02752 95.5568
131 7.83 1.03763 97.9136
132 7.89 1.04734 100.326
133 7.95 1.05323 102.787
134 8.01 1.06008 105.298
135 8.07 1.06494 107.857
136 8.13 1.06742 110.457
137 8.19 1.06792 113.095
