Generated by pymatgen.io.lammps.data.LammpsData

3888  atoms

   4  atom types

0.000000 34.091274  xlo xhi
0.000000 34.817850  ylo yhi
0.000000 51.659238  zlo zhi
2.983614 14.473608 4.972188  xy xz yz

Masses

1  85.4678
2   6.9410
3  72.6400
4  15.9994

Atoms

1     1  0.8200  4.849044  5.536980  6.275693
2     1  0.8200  7.261312  6.365678 14.885566
3     1  0.8200  9.673580  7.194376 23.495439
4     1  0.8200 12.085848  8.023074 32.105312
5     1  0.8200 14.498116  8.851772 40.715185
6     1  0.8200 16.910384  9.680470 49.325058
7     1  0.8200  5.346313 11.339955  6.275693
8     1  0.8200  7.758581 12.168653 14.885566
9     1  0.8200 10.170849 12.997351 23.495439
10    1  0.8200 12.583117 13.826049 32.105312
11    1  0.8200 14.995385 14.654747 40.715185
12    1  0.8200 17.407653 15.483445 49.325058
13    1  0.8200  5.843582 17.142930  6.275693
14    1  0.8200  8.255850 17.971628 14.885566
15    1  0.8200 10.668118 18.800326 23.495439
16    1  0.8200 13.080386 19.629024 32.105312
17    1  0.8200 15.492654 20.457722 40.715185
18    1  0.8200 17.904922 21.286420 49.325058
19    1  0.8200  6.340851 22.945905  6.275693
20    1  0.8200  8.753119 23.774603 14.885566
21    1  0.8200 11.165387 24.603301 23.495439
22    1  0.8200 13.577655 25.431999 32.105312
23    1  0.8200 15.989923 26.260697 40.715185
24    1  0.8200 18.402191 27.089395 49.325058
25    1  0.8200  6.838120 28.748880  6.275693
26    1  0.8200  9.250388 29.577578 14.885566
27    1  0.8200 11.662656 30.406276 23.495439
28    1  0.8200 14.074924 31.234974 32.105312
29    1  0.8200 16.487192 32.063672 40.715185
30    1  0.8200 18.899460 32.892370 49.325058
31    1  0.8200  7.335389 34.551855  6.275693
32    1  0.8200  9.747657 35.380553 14.885566
33    1  0.8200 12.159925 36.209251 23.495439
34    1  0.8200 14.572193 37.037949 32.105312
35    1  0.8200 16.984461 37.866647 40.715185
36    1  0.8200 19.396729 38.695345 49.325058
37    1  0.8200 10.530923  5.536980  6.275693
38    1  0.8200 12.943191  6.365678 14.885566
39    1  0.8200 15.355459  7.194376 23.495439
40    1  0.8200 17.767727  8.023074 32.105312
41    1  0.8200 20.179995  8.851772 40.715185
42    1  0.8200 22.592263  9.680470 49.325058
43    1  0.8200 11.028192 11.339955  6.275693
44    1  0.8200 13.440460 12.168653 14.885566
45    1  0.8200 15.852728 12.997351 23.495439
46    1  0.8200 18.264996 13.826049 32.105312
47    1  0.8200 20.677264 14.654747 40.715185
48    1  0.8200 23.089532 15.483445 49.325058
49    1  0.8200 11.525461 17.142930  6.275693
50    1  0.8200 13.937729 17.971628 14.885566
51    1  0.8200 16.349997 18.800326 23.495439
52    1  0.8200 18.762265 19.629024 32.105312
53    1  0.8200 21.174533 20.457722 40.715185
54    1  0.8200 23.586801 21.286420 49.325058
55    1  0.8200 12.022730 22.945905  6.275693
56    1  0.8200 14.434998 23.774603 14.885566
57    1  0.8200 16.847266 24.603301 23.495439
58    1  0.8200 19.259534 25.431999 32.105312
59    1  0.8200 21.671802 26.260697 40.715185
60    1  0.8200 24.084070 27.089395 49.325058
61    1  0.8200 12.519999 28.748880  6.275693
62    1  0.8200 14.932267 29.577578 14.885566
63    1  0.8200 17.344535 30.406276 23.495439
64    1  0.8200 19.756803 31.234974 32.105312
65    1  0.8200 22.169071 32.063672 40.715185
66    1  0.8200 24.581339 32.892370 49.325058
67    1  0.8200 13.017268 34.551855  6.275693
68    1  0.8200 15.429536 35.380553 14.885566
69    1  0.8200 17.841804 36.209251 23.495439
70    1  0.8200 20.254072 37.037949 32.105312
71    1  0.8200 22.666340 37.866647 40.715185
72    1  0.8200 25.078608 38.695345 49.325058
73    1  0.8200 16.212802  5.536980  6.275693
74    1  0.8200 18.625070  6.365678 14.885566
75    1  0.8200 21.037338  7.194376 23.495439
76    1  0.8200 23.449606  8.023074 32.105312
77    1  0.8200 25.861874  8.851772 40.715185
78    1  0.8200 28.274142  9.680470 49.325058
79    1  0.8200 16.710071 11.339955  6.275693
80    1  0.8200 19.122339 12.168653 14.885566
81    1  0.8200 21.534607 12.997351 23.495439
82    1  0.8200 23.946875 13.826049 32.105312
83    1  0.8200 26.359143 14.654747 40.715185
84    1  0.8200 28.771411 15.483445 49.325058
85    1  0.8200 17.207340 17.142930  6.275693
86    1  0.8200 19.619608 17.971628 14.885566
87    1  0.8200 22.031876 18.800326 23.495439
88    1  0.8200 24.444144 19.629024 32.105312
89    1  0.8200 26.856412 20.457722 40.715185
90    1  0.8200 29.268680 21.286420 49.325058
91    1  0.8200 17.704609 22.945905  6.275693
92    1  0.8200 20.116877 23.774603 14.885566
93    1  0.8200 22.529145 24.603301 23.495439
94    1  0.8200 24.941413 25.431999 32.105312
95    1  0.8200 27.353681 26.260697 40.715185
96    1  0.8200 29.765949 27.089395 49.325058
97    1  0.8200 18.201878 28.748880  6.275693
