Generated by pymatgen.io.lammps.data.LammpsData

3200  atoms

   4  atom types

0.000000 22.461078  xlo xhi
0.000000 53.608416  ylo yhi
0.000000 31.862463  zlo zhi
5.170074 -0.677431 4.256297  xy xz yz

Masses

1   6.9410
2  51.9961
3  28.0855
4  15.9994

Atoms

1     1  0.5250  0.976992  1.158481  3.196458
2     1  0.5250  0.807634  2.222555 11.162074
3     1  0.5250  0.638277  3.286629 19.127690
4     1  0.5250  0.468919  4.350704 27.093305
5     1  0.5250  2.269510 14.560585  3.196458
6     1  0.5250  2.100153 15.624659 11.162074
7     1  0.5250  1.930795 16.688733 19.127690
8     1  0.5250  1.761438 17.752808 27.093305
9     1  0.5250  3.562029 27.962689  3.196458
10    1  0.5250  3.392671 29.026763 11.162074
11    1  0.5250  3.223314 30.090837 19.127690
12    1  0.5250  3.053956 31.154912 27.093305
13    1  0.5250  4.854547 41.364793  3.196458
14    1  0.5250  4.685190 42.428867 11.162074
15    1  0.5250  4.515832 43.492941 19.127690
16    1  0.5250  4.346474 44.557016 27.093305
17    1  0.5250  6.592261  1.158481  3.196458
18    1  0.5250  6.422904  2.222555 11.162074
19    1  0.5250  6.253546  3.286629 19.127690
20    1  0.5250  6.084189  4.350704 27.093305
21    1  0.5250  7.884780 14.560585  3.196458
22    1  0.5250  7.715422 15.624659 11.162074
23    1  0.5250  7.546065 16.688733 19.127690
24    1  0.5250  7.376707 17.752808 27.093305
25    1  0.5250  9.177298 27.962689  3.196458
26    1  0.5250  9.007941 29.026763 11.162074
27    1  0.5250  8.838583 30.090837 19.127690
28    1  0.5250  8.669225 31.154912 27.093305
29    1  0.5250 10.469817 41.364793  3.196458
30    1  0.5250 10.300459 42.428867 11.162074
31    1  0.5250 10.131101 43.492941 19.127690
32    1  0.5250  9.961744 44.557016 27.093305
33    1  0.5250 12.207531  1.158481  3.196458
34    1  0.5250 12.038173  2.222555 11.162074
35    1  0.5250 11.868816  3.286629 19.127690
36    1  0.5250 11.699458  4.350704 27.093305
37    1  0.5250 13.500049 14.560585  3.196458
38    1  0.5250 13.330692 15.624659 11.162074
39    1  0.5250 13.161334 16.688733 19.127690
40    1  0.5250 12.991976 17.752808 27.093305
41    1  0.5250 14.792568 27.962689  3.196458
42    1  0.5250 14.623210 29.026763 11.162074
43    1  0.5250 14.453853 30.090837 19.127690
44    1  0.5250 14.284495 31.154912 27.093305
45    1  0.5250 16.085086 41.364793  3.196458
46    1  0.5250 15.915729 42.428867 11.162074
47    1  0.5250 15.746371 43.492941 19.127690
48    1  0.5250 15.577013 44.557016 27.093305
49    1  0.5250 17.822800  1.158481  3.196458
50    1  0.5250 17.653443  2.222555 11.162074
51    1  0.5250 17.484085  3.286629 19.127690
52    1  0.5250 17.314728  4.350704 27.093305
53    1  0.5250 19.115319 14.560585  3.196458
54    1  0.5250 18.945961 15.624659 11.162074
55    1  0.5250 18.776604 16.688733 19.127690
56    1  0.5250 18.607246 17.752808 27.093305
57    1  0.5250 20.407837 27.962689  3.196458
58    1  0.5250 20.238480 29.026763 11.162074
59    1  0.5250 20.069122 30.090837 19.127690
60    1  0.5250 19.899764 31.154912 27.093305
61    1  0.5250 21.700356 41.364793  3.196458
62    1  0.5250 21.530998 42.428867 11.162074
63    1  0.5250 21.361640 43.492941 19.127690
64    1  0.5250 21.192283 44.557016 27.093305
65    1  0.5250  4.345536  8.390940  7.179067
66    1  0.5250  4.176178  9.455014 15.144683
67    1  0.5250  4.006820 10.519089 23.110298
68    1  0.5250  3.837463 11.583163 31.075914
69    1  0.5250  5.638054 21.793044  7.179067
70    1  0.5250  5.468696 22.857119 15.144683
71    1  0.5250  5.299339 23.921193 23.110298
72    1  0.5250  5.129981 24.985267 31.075914
73    1  0.5250  6.930572 35.195148  7.179067
74    1  0.5250  6.761215 36.259223 15.144683
75    1  0.5250  6.591857 37.323297 23.110298
76    1  0.5250  6.422499 38.387371 31.075914
77    1  0.5250  8.223091 48.597252  7.179067
78    1  0.5250  8.053733 49.661327 15.144683
79    1  0.5250  7.884376 50.725401 23.110298
80    1  0.5250  7.715018 51.789475 31.075914
81    1  0.5250  9.960805  8.390940  7.179067
82    1  0.5250  9.791447  9.455014 15.144683
83    1  0.5250  9.622090 10.519089 23.110298
84    1  0.5250  9.452732 11.583163 31.075914
85    1  0.5250 11.253323 21.793044  7.179067
86    1  0.5250 11.083966 22.857119 15.144683
87    1  0.5250 10.914608 23.921193 23.110298
88    1  0.5250 10.745251 24.985267 31.075914
89    1  0.5250 12.545842 35.195148  7.179067
90    1  0.5250 12.376484 36.259223 15.144683
91    1  0.5250 12.207127 37.323297 23.110298
92    1  0.5250 12.037769 38.387371 31.075914
93    1  0.5250 13.838360 48.597252  7.179067
94    1  0.5250 13.669003 49.661327 15.144683
95    1  0.5250 13.499645 50.725401 23.110298
96    1  0.5250 13.330287 51.789475 31.075914
97    1  0.5250 15.576074  8.390940  7.179067
