Generated by pymatgen.io.lammps.data.LammpsData

3000  atoms

   4  atom types

0.000000 25.253908  xlo xhi
0.000000 21.870527  ylo yhi
0.000000 62.441795  zlo zhi
-12.626952 0.000000 0.000000  xy xz yz

Masses

1    6.9410
2  151.9640
3   28.0855
4   15.9994

Atoms

1     1 0.0000   1.870885  0.319493  0.989603
2     1 0.0000   1.870885  0.319493 13.477962
3     1 0.0000   1.870885  0.319493 25.966321
4     1 0.0000   1.870885  0.319493 38.454680
5     1 0.0000   1.870885  0.319493 50.943039
6     1 0.0000  -0.654505  4.693599  0.989603
7     1 0.0000  -0.654505  4.693599 13.477962
8     1 0.0000  -0.654505  4.693599 25.966321
9     1 0.0000  -0.654505  4.693599 38.454680
10    1 0.0000  -0.654505  4.693599 50.943039
11    1 0.0000  -3.179895  9.067704  0.989603
12    1 0.0000  -3.179895  9.067704 13.477962
13    1 0.0000  -3.179895  9.067704 25.966321
14    1 0.0000  -3.179895  9.067704 38.454680
15    1 0.0000  -3.179895  9.067704 50.943039
16    1 0.0000  -5.705286 13.441810  0.989603
17    1 0.0000  -5.705286 13.441810 13.477962
18    1 0.0000  -5.705286 13.441810 25.966321
19    1 0.0000  -5.705286 13.441810 38.454680
20    1 0.0000  -5.705286 13.441810 50.943039
21    1 0.0000  -8.230676 17.815915  0.989603
22    1 0.0000  -8.230676 17.815915 13.477962
23    1 0.0000  -8.230676 17.815915 25.966321
24    1 0.0000  -8.230676 17.815915 38.454680
25    1 0.0000  -8.230676 17.815915 50.943039
26    1 0.0000   6.921667  0.319493  0.989603
27    1 0.0000   6.921667  0.319493 13.477962
28    1 0.0000   6.921667  0.319493 25.966321
29    1 0.0000   6.921667  0.319493 38.454680
30    1 0.0000   6.921667  0.319493 50.943039
31    1 0.0000   4.396277  4.693599  0.989603
32    1 0.0000   4.396277  4.693599 13.477962
33    1 0.0000   4.396277  4.693599 25.966321
34    1 0.0000   4.396277  4.693599 38.454680
35    1 0.0000   4.396277  4.693599 50.943039
36    1 0.0000   1.870886  9.067704  0.989603
37    1 0.0000   1.870886  9.067704 13.477962
38    1 0.0000   1.870886  9.067704 25.966321
39    1 0.0000   1.870886  9.067704 38.454680
40    1 0.0000   1.870886  9.067704 50.943039
41    1 0.0000  -0.654504 13.441810  0.989603
42    1 0.0000  -0.654504 13.441810 13.477962
43    1 0.0000  -0.654504 13.441810 25.966321
44    1 0.0000  -0.654504 13.441810 38.454680
45    1 0.0000  -0.654504 13.441810 50.943039
46    1 0.0000  -3.179894 17.815915  0.989603
47    1 0.0000  -3.179894 17.815915 13.477962
48    1 0.0000  -3.179894 17.815915 25.966321
49    1 0.0000  -3.179894 17.815915 38.454680
50    1 0.0000  -3.179894 17.815915 50.943039
51    1 0.0000  11.972448  0.319493  0.989603
52    1 0.0000  11.972448  0.319493 13.477962
53    1 0.0000  11.972448  0.319493 25.966321
54    1 0.0000  11.972448  0.319493 38.454680
55    1 0.0000  11.972448  0.319493 50.943039
56    1 0.0000   9.447058  4.693599  0.989603
57    1 0.0000   9.447058  4.693599 13.477962
58    1 0.0000   9.447058  4.693599 25.966321
59    1 0.0000   9.447058  4.693599 38.454680
60    1 0.0000   9.447058  4.693599 50.943039
61    1 0.0000   6.921668  9.067704  0.989603
62    1 0.0000   6.921668  9.067704 13.477962
63    1 0.0000   6.921668  9.067704 25.966321
64    1 0.0000   6.921668  9.067704 38.454680
65    1 0.0000   6.921668  9.067704 50.943039
66    1 0.0000   4.396277 13.441810  0.989603
67    1 0.0000   4.396277 13.441810 13.477962
68    1 0.0000   4.396277 13.441810 25.966321
69    1 0.0000   4.396277 13.441810 38.454680
70    1 0.0000   4.396277 13.441810 50.943039
71    1 0.0000   1.870887 17.815915  0.989603
72    1 0.0000   1.870887 17.815915 13.477962
73    1 0.0000   1.870887 17.815915 25.966321
74    1 0.0000   1.870887 17.815915 38.454680
75    1 0.0000   1.870887 17.815915 50.943039
76    1 0.0000  17.023230  0.319493  0.989603
77    1 0.0000  17.023230  0.319493 13.477962
78    1 0.0000  17.023230  0.319493 25.966321
79    1 0.0000  17.023230  0.319493 38.454680
80    1 0.0000  17.023230  0.319493 50.943039
81    1 0.0000  14.497840  4.693599  0.989603
82    1 0.0000  14.497840  4.693599 13.477962
83    1 0.0000  14.497840  4.693599 25.966321
84    1 0.0000  14.497840  4.693599 38.454680
85    1 0.0000  14.497840  4.693599 50.943039
86    1 0.0000  11.972449  9.067704  0.989603
87    1 0.0000  11.972449  9.067704 13.477962
88    1 0.0000  11.972449  9.067704 25.966321
89    1 0.0000  11.972449  9.067704 38.454680
90    1 0.0000  11.972449  9.067704 50.943039
91    1 0.0000   9.447059 13.441810  0.989603
92    1 0.0000   9.447059 13.441810 13.477962
93    1 0.0000   9.447059 13.441810 25.966321
94    1 0.0000   9.447059 13.441810 38.454680
95    1 0.0000   9.447059 13.441810 50.943039
96    1 0.0000   6.921669 17.815915  0.989603
